
1,10114231,MAN 3 ACEH BARAT,DESA SIMPANG PEUT,Simpang Peut,NEGERI
2,60703077,MIN 12 ACEH BARAT,JALAN MEULABOH - BANDA ACEH DESA SIMPANG PEUT,-,NEGERI
3,60703078,MIN 13 ACEH BARAT,"JLN.PT.BAYBON WOYLA COY DESA PANTON MAKMU,KEC ARONGAN LAMBALEK",-,NEGERI
4,60703076,MIN 5 ACEH BARAT,JALAN MELABOH -BANDA ACEH,Arongan,NEGERI
5,60703079,MIS PEULANTEU,UJONG SIMPANG,-,SWASTA
6,60703080,MIS PEURIBU,PEURIBU JLN. MEULABOH-BANDA ACEH.,Peuribu,SWASTA
7,10114352,MTSN 6 ACEH BARAT,DESA SIMPANG PEUT,Simpang Peut,NEGERI
8,10107900,SD N SEUNEUBOK TEUNGOH,"Jalan Pir Batee Puteh, Desa Seuneubok Teungoh",Seuneubok Teungoh,NEGERI
9,10110676,SD NEGERI ALUE BATEE,Alue Batee,Desa Alue Batee,NEGERI
10,10110270,SD NEGERI ALUE SUNDAK,Alue Sundak,Alue Sundak,NEGERI
11,10107859,SD NEGERI ARONGAN WOYLA,Jl. Meulaboh-Banda Aceh Lama,Kubu,NEGERI
12,10107863,SD NEGERI COT BULOH,Jalan Cot Buloh,COT BULOH,NEGERI
13,10110674,SD NEGERI DRIEN RAMPAK,Jalan Drien Rampak,Drien Rampak,NEGERI
14,10107884,SD NEGERI PIR BATEE PUTEH V,Jalan Gunong Pulo,Gunong Pulo,NEGERI
15,10107887,SD NEGERI RIMBA LANGGEH,Jalan Meulaboh - Banda Aceh Rimba Langeh,RIMBA LANGEH,NEGERI
16,10107902,SD NEGERI SUAK IE BEUSOI,Jln. Meulaboh - Banda Aceh Km. 37,Suak Ie Beusoi,NEGERI
17,10107909,SD NEGERI TEUPIN PEURAHO,Jalan Meulaboh - Banda Aceh,TEUPIN PEURAHO,NEGERI
18,10107911,SD NEGERI UPT IV KR. HAMPA,Jalan Karang Hampa,Karang Hampa,NEGERI
19,10108211,SDN KEUEB,Jalan Keueb,Keub,NEGERI
20,10110635,SMAN 1 ARONGAN LAMBALEK,JL. MEULABOH - BANDA ACEH KM. 30,Simpang Peut,NEGERI
21,10110273,SMK SWASTA ARONGAN LAMBALEK,JL. MEULABOH - BANDA ACEH LAMA,Drien Rampak,SWASTA
22,10111563,SMP N 2 Arongan Lambalek,Jln. Pir Batee Puteh V. KM 8 Seuneubok Teungoh,Seuneubok Teungoh,NEGERI
23,10110598,SMP NEGERI 1 ARONGAN LAMBALEK,Jln. Nasional Simpang Lambalek,DRIEN RAMPAK,NEGERI
