
1,69895041,Daarul Muta allimiin,Jalan Ampera Dusun Denpasar III Kampung Alur Selebu,Suka Makmur,SWASTA
2,10113675,MAN 2 ACEH TAMIANG,JLN. MEDAN - BANDA ACEH,Bukit Rata,NEGERI
3,69941574,MAS Al-Fajr,Jln. Dusun Ingin Jaya,Suka Makmur,SWASTA
4,10113677,MAS NURUL IMAN,JLN. MEDAN BANDA ACEH,Seumadam,SWASTA
5,10113676,MAS SYUKRONIYAH,JALAN DUSUN LAWAS DESA JAWA,-,SWASTA
6,60703366,MIN 10 ACEH TAMIANG,JLN MEDAN-BANDA ACEH DESA KEBUN TIGA,-,NEGERI
7,60727324,MTSS KEBUN TIGA,Kebun Tiga Seumadam,Seumadam,SWASTA
8,10114118,MTSS NURUL IMAN,ALUR MENTAWAK,Seumadam,SWASTA
9,10114117,MTSS SYUKRONIYAH,JALAN DUSUN LAWAS DESA JAWA,-,SWASTA
10,10104352,SD NEGERI 1 ALUR SELEBU,Alur Selebu,Alur Selebu,NEGERI
11,10104359,SD NEGERI 1 SUNGAI LIPUT,Jln Tambang Sungai Liput,Sungai liput,NEGERI
12,60726639,SD Negeri 2 Alur Mentawak,Dusun Alur Mentawak,Seumadam,NEGERI
13,10104357,SD NEGERI 2 ALUR SELEBU,Jl. Pulau Tiga,Alur Selebu,NEGERI
14,10104260,SD NEGERI 2 SUNGAI LIPUT,Dusun Setia,Purwodadi,NEGERI
15,69948153,SD Negeri Air Mancur,Dusun Air Mancur,Alur Selebu,NEGERI
16,10104484,SD NEGERI ALUR MENTAWAK,Alur Mentawak,Seumadam,NEGERI
17,10104416,SD NEGERI BUKIT RATA,Jln. Medan - B. Aceh,Bukit Rata,NEGERI
18,10104409,SD NEGERI GERENGGAM,Jln Blang Kandis Dusun Sidorejo,Gerenggam,NEGERI
19,10104435,SD NEGERI KAMPUNG JAWA,Jln. Kampung Jawa - Sungai Liput,Kampung Jawa,NEGERI
20,10104428,SD NEGERI KARANG JADI,Karang Jadi,Karang Jadi,NEGERI
21,10107129,SD NEGERI SIDODADI,Sidodadi,Sidodadi,NEGERI
22,10104217,SD NEGERI SUKA MAKMUR,Jln Pulau Tiga,Suka Makmur,NEGERI
23,10104320,SD NEGERI SUKA MAKMUR II,Jl. Tanjung Genteng,Suka Makmur,NEGERI
24,10110580,SD NEGERI SUNGAI LIPUT,Jln. Tambang Sungai Liput,Sungai Liput,NEGERI
25,10104307,SD NEGERI TANJUNG GENTENG,Tanjung Genteng,Tanjung Genteng,NEGERI
26,10104305,SD NEGERI TANJUNG MANCANG,Tanjung Mancang,Tanjung Mancang,NEGERI
27,10104314,SD SWASTA AL-WASHLIYAH SEUMADAM,Jln.Pulau Tiga,Seumadam,SWASTA
28,69888594,SMA SWASTA MANARUL ISLAM,Jl. Medan Banda Aceh,Seumadam,SWASTA
29,10104269,SMAN 2 KEJURUAN MUDA,JL. MEDAN BANDA ACEH,Bukit Rata,NEGERI
30,10108046,SMAN 4 KEJURUAN MUDA,JL. ALUR MERANTI,Sungai Liput,NEGERI
31,10110796,SMAS AL HIDAYAH,JL. T. NYAK MAN,Sidodadi,SWASTA
32,10107157,SMAS SYAKIRAH,JL. BAKTI,Purwodadi,SWASTA
33,10104267,SMKS MAIMUN HABSYAH KUALA SIMPANG,"JL. MEDAN-BANDA ACEH KM.3,5",Bukit Rata,SWASTA
34,10107161,SMKS SYUKRONIYAH,JL. DUSUN LAWAS,Kampung Jawa,SWASTA
35,10112960,SMP NEGERI 10 KEJURUAN MUDA,Desa Seumadam,Seumadam,NEGERI
36,10104286,SMP NEGERI 2 KEJURUAN MUDA,Jln. Alur Meranti Sungai Liput,Purwodadi,NEGERI
37,10108228,SMP NEGERI 7 KEJURUAN MUDA,Jln Dusun Tualang,Tanjung Genteng,NEGERI
38,10107144,SMP SWASTA AL HIDAYAH,Jln. T. Nyakman No.37,Sidodadi,SWASTA
39,10104264,SMP SWASTA AL WASHLIYAH SEUMADAM,Jl. Pulau Tiga - Seumadam,Seumadam,SWASTA
40,10104263,SMP SWASTA DHARMA BAKTI KEJURUAN MUDA,Sungai Liput,Sungai Liput,SWASTA
41,10107147,SMP SWASTA SUKA MAKMUR,Jalan Alur Hitam,Suka Makmur,SWASTA
42,10110891,SMPN 8 Kejuruan Muda,Alur Mentawak,Seumadam,NEGERI
