
1,60703184,MIN 45 PIDIE,"JLN.TANGSE KM.11,8",Cot Nuran,NEGERI
2,10114410,MTSS KEUMALA,JALAN TANGSE KM 12 KEUMALA,-,SWASTA
3,10100706,SD N 1 KEUMALA,Jalan Tangse,Jijiem,NEGERI
4,10100896,SD N 2 KEUMALA,Jln Tangse,Sagoe,NEGERI
5,10100362,SD N NICAH,Desa Mesjid Nicah Kec. Keumala Kab. Pidie,Mesjid Nicah,NEGERI
6,10100845,SD NEGERI COT SEUTUI,Desa Cot Seutui,Cot Kreh,NEGERI
7,10100385,SD NEGERI MNS TUNONG,Desa Mns. Tunong,MNS. TUNONG,NEGERI
8,10100591,SD NEGERI U GADENG,Jl. Tangse,U GADENG,NEGERI
9,10100554,SMAN 1 KEUMALA,JL. KEUMALA-TANGSE KM. 12,Cot Nuran,NEGERI
10,10100519,SMP NEGERI 1 KEUMALA,"Jalan Tangse Km. 9,8",Pako,NEGERI
