
1,10113804,MAN 1 PIDIE,JLN.PROF A.MAJID IBRAHIM KM.114 KOMPLEK PERKAMPUNGAN PELAJAR TIJUE SIGLI,Blok Sawah,NEGERI
2,60703185,MIN 17 PIDIE,JLN. WAKI IBRAHIM NO 1 GP. KRAMAT LUAR KEC. KOTA SIGLI KAB. PIDIE,-,NEGERI
3,60703186,MIN 18 PIDIE,JALAN TGK.CHIK DI ASAN NO.2  GAMPONG ASAN SIGLI.,-,NEGERI
4,10114411,MTSN 5 PIDIE,JL. PROF. A. MAJID IBRAHIM,-,NEGERI
5,10100352,SD MUHAMMADIYAH SIGLI,Jl. Pasi Rawa,Lampoh Krueng,SWASTA
6,10100912,SD NEGERI 1 SIGLI,Jl.Diponegoro,Blok Bengkel,NEGERI
7,10100950,SD NEGERI 2 TIJUE,Komplek Pelajar Tijue,Mns Peukan,NEGERI
8,10100922,SD NEGERI 3 SIGLI,Jl. Tgk Chik Di Tiro No 06,Blang Asan,NEGERI
9,10100929,SD NEGERI 4 SIGLI,Jln. Raja Kuala Tanjung Harapan,Keramat Luar,NEGERI
10,10100931,SD NEGERI 5 SIGLI,Jl. Kembang Tanjong-sigli,Blang Paseh,NEGERI
11,10100933,SD NEGERI 6 SIGLI,"Jln. Istiqamah, Lp. Krueng",Lampoh Krueng,NEGERI
12,10100934,SD NEGERI 7 SIGLI,Kel. Kuala Pidie,Kuala Pidie,NEGERI
13,10100824,SD NEGERI BLANG ASAN,Jl. Tenang No. 1,BLANG ASAN,NEGERI
14,10100864,SD NEGERI BLOK SAWAH,Jln. Kenanga,Blok Sawah,NEGERI
15,10100417,SD NEGERI PASI RAWA,Jalan Pasi Rawa,Pasi Rawa,NEGERI
16,10108009,SD UNGGULAN IQRO,Jl Lingkar Blang Paseh,Blang Paseh,SWASTA
17,69984146,SMA ISLAM TERPADU AL-USWAH,Jl. Lingkar Blok Sawah Baru,Pante Teungoh,SWASTA
18,10100541,SMAN 1 SIGLI,JL. BANDA ACEH - MEDAN KM. 115 SIGLI,Blok Sawah,NEGERI
19,10100553,SMAN 2 SIGLI,JL. LINGKAR KEUNIREE,Gampong Asan,NEGERI
20,10100556,SMAS CHIK DITIRO SIGLI,KOMPLEK PELAJAR TIJUE JL.BANDA ACEH MEDAN KM.115 KAB.PIDIE,BLOK SAWAH,SWASTA
21,10100635,SMKN 1 SIGLI,TGK. CHIK DI REUBEE,Blang Asan,NEGERI
22,10100634,SMKN 2 SIGLI,"Jalan Lingkar Keuniree - Pidie, Sigli",Blang Asan,NEGERI
23,10110275,SMKN 3 SIGLI,KOMPLEK PERKAMPUNGAN PELAJAR TIJUE,Blok Sawah,NEGERI
24,10100511,SMP NEGERI 1 SIGLI,Jl. T. Umar No. 15,BLOK BENGKEL,NEGERI
25,10100528,SMP NEGERI 3 SIGLI,Jl. Sigli - Pasi Rawa,Pasi Rawa,NEGERI
26,10100532,SMP NEGERI 4 SIGLI,Jln. B.aceh-medan Km.114  ( Komplek Pelajar Tijue ),Blok Sawah,NEGERI
27,10108071,SMP YPPU SIGLI,Komplek Pelajar Tijue,Blok Sawah,SWASTA
28,10100578,SMPN 2 SIGLI,Jln. Banda Aceh - Medan Km.114,Blok Sawah,NEGERI
29,69771379,SMPS UNGGULAN IQRO SIGLI,JL. LINGKAR BLANG PASEH,BLANG PASEH,SWASTA
