
1,10113657,MAS AL-MUNJIYA,JL. NASIONAL LABUHANHAJI BARAT,-,SWASTA
2,10113656,MAS LABUHAN HAJI BARAT,KUTA TRIENG,-,SWASTA
3,60702954,MIS PANTON PAWOH,JLN. PAHLAWAN.DESA PANTON PAWOH.KEC.L.HAJI BARAT.  KAB.ACEH SELATAN,-,SWASTA
4,10114277,MTSS AL-MUNJIYA,KUTA TRIENG,-,SWASTA
5,10114275,MTSS LABUHANHAJI BARAT,JLN.SYECH MUDA WALI,-,SWASTA
6,10114276,MTSS PANTON PAWOH,PANTON PAWOH,-,SWASTA
7,69981097,SD IT AL-MUNJIYA,Desa Kuta Trieng,Kuta Trieng,SWASTA
8,10102691,SD NEGERI 1 BLANG BARU,Jln TGK.Syech H.M.Waly No 04 Blang baru Labuhanhaji Barat,BLANG BARU,NEGERI
9,10102684,SD NEGERI 1 BLANG KEUJEREN,Jalan Pendidikan Tengah Iboh,TENGAH IBOH,NEGERI
10,10102834,SD NEGERI 1 KUTA TRIENG,Jln Pu. T.tuan Blang Pidie,KUTA TRIENG,NEGERI
11,10102688,SD NEGERI 1 PANTON PAWOH,Jalan.Kebun Handel,Panton Pawoh,NEGERI
12,10102821,SD NEGERI 2 BLANG BARU,Desa Blang Baru,Blang Baru,NEGERI
13,10102692,SD NEGERI 2 BLANG KEUJEREN,Jalan Pendidikan Desa Tengah Iboh,TENGAH IBOH,NEGERI
14,10102654,SD NEGERI 2 KUTA TRIENG,Kuta Trieng,KUTA TRIENG,NEGERI
15,10102809,SD NEGERI 2 PANTON PAWOH,"Jl. Nyak Ameh, Dusun Panton Makmue",Panton Pawoh,NEGERI
16,10102918,SD NEGERI BLANG POROH,Jalan Darussalam 1,BLANG POROH,NEGERI
17,10111871,SD Negeri Labuhan Haji Barat,Jl. Nasional Desa Tutong,Tutong,NEGERI
18,10102645,SD NEGERI LHUENG BEURAWE,Jl.H.Syeh Muda Waly,KUTA IBOH,NEGERI
19,10102680,SD NEGERI PANTE GEULIMA,Desa Pante Geulima,PANTE GEULIMA,NEGERI
20,10102804,SD NEGERI PEULOKAN,Jln Batee Meucanang,Peulokan,NEGERI
21,10102806,SD NEGERI. UJUNG PADANG,Jln. Provinsi,Ujung Padang,NEGERI
22,10102740,SMAN 1 LABUHAN HAJI BARAT,JL. PERJUANGAN  PEULOKAN LABUHAN HAJI BARAT,Peulokan,NEGERI
23,10102718,SMP NEGERI 1.LABUHAN HAJI BARAT,Kutatrieng,Kutatrieng,NEGERI
24,10102713,SMP NEGERI 2 LABUHANHAJI BARAT,Jln Pasar  Blang Kejeren No.01,Peulokan,NEGERI
25,10102761,SMP NEGERI 3 LABUHAN HAJI BARAT,Desa Blang Baru,Blang Baru,NEGERI
