
1,10113777,MAS BUSTANUL FAKRI,"JL. HAMZAH FANSURI, GAMPONG PONDOK KEUMUNING, KECAMATAN LANGSA LAMA, KOTA LANGS",-,SWASTA
2,10114187,MTSN 1 LANGSA,JLN. JENDERAL A.YANI KP. BAROH LANGSA LAMA,-,NEGERI
3,10105762,SD N 1 KEBUN LAMA,JL. Pondok Pabrik,Pondok Pabrik,NEGERI
4,10105765,SD N 1 MEURANDEH,Jln.impres,Meurandeh,NEGERI
5,10105782,SD N 1 SEULALAH,JL. Hamzah Fanzuri,Seulalah,NEGERI
6,10105808,SD N 2 KEBUN LAMA,JL. Pondok Pabrik,Pondok Pabrik,NEGERI
7,10105811,SD N 2 MEURANDEH,JL KLONENGAN,Meurandeh,NEGERI
8,10105798,SD N 2 SEULALAH,Jl. Hamzah Fanzuri No 115,Pondok Keumuning,NEGERI
9,10105796,SD N BUKET,ASAM PETIK,Asam Peutek,NEGERI
10,10105713,SD N GAMPONG BAROH,JL. A.Yani Gg. Pendidikan,GAMPONG BAROH,NEGERI
11,10105714,SD N LANGSA LAMA,JL. A. Yani Gang Bakti Gampong Baru,GAMPONG BARO,NEGERI
12,10105721,SD N SIDOREJO,Jln. Sidorejo / Damai  No. 132,SIDOREJO,NEGERI
13,10105703,SMP N 12 LANGSA,Jln. Matang Kitan,Baroh Langsa Lama,NEGERI
14,10105727,SMP N 8 LANGSA,JL. Hamzah Fanzuri,Seulalah,NEGERI
