
1,10113758,MAS MAKMUR,JLN. SIMPANG LEUBU - ULEE GLE,-,SWASTA
2,60703311,MIN 18 BIREUEN,JLN. SIMPANG LEUBU,Ulee Gle,NEGERI
3,60703310,MIN 40 BIREUEN,JLN. SIMPANG  LEUBU ULEE GLE KM.7,-,NEGERI
4,10114090,MTSN 10 BIREUEN,ULEE GLE KEC. MAKMUR,-,NEGERI
5,10106770,SD NEGERI 1 MAKMUR,Kuta Barat,KUTA BARAT,NEGERI
6,10106797,SD NEGERI 10 MAKMUR,Ulee Gle,Ulee Gle,NEGERI
7,10106809,SD NEGERI 11 MAKMUR,JLN TANJUNG MULIA,Matang kumbang,NEGERI
8,10106818,SD NEGERI 12 MAKMUR,Jl. Bintah Sa,Sukarame,NEGERI
9,10107810,SD NEGERI 13 MAKMUR,"Jalan Tanjong Mulia,Desa Aralipeh,Kecamatan Makmur",Ara Lipeh,NEGERI
10,10106867,SD NEGERI 2 MAKMUR,Jalan sp Leubu  Ulee Gle Desa Batee Dabai,Batee Dabai,NEGERI
11,10106898,SD NEGERI 3 MAKMUR,Lapehan,Lapehan Mesjid,NEGERI
12,10106915,SD NEGERI 4 MAKMUR,Desa Blang Dalam,Blang Dalam,NEGERI
13,10106932,SD NEGERI 5 MAKMUR,Cot Kruet,Cot Kruet,NEGERI
14,10106949,SD NEGERI 6 MAKMUR,Meureubo,Meureubo,NEGERI
15,10106966,SD NEGERI 7 MAKMUR,Leubu Cot,Leubu Cot,NEGERI
16,10106981,SD NEGERI 8 MAKMUR,Jln. Bintahsa,Panton Mesjid,NEGERI
17,10106995,SD NEGERI 9 MAKMUR,Jln. Ulee Gle - Batee Dabai,Pandak,NEGERI
18,10107088,SMA NEGERI 1 MAKMUR,"JL. Sp. Leubu - Ulee Gle Km. 7,5",Ulee Gle,NEGERI
19,69981359,SMA SWASTA SIRAJUL MUDI,Jln. Sp. Leubu-Ulee Gle Km. 3,Trienggadeng,SWASTA
20,69886455,SMP ISLAM SWASTA SIRAJUL MUDI AL-AZIZIYAH,Jl. Simpang Leubu Ulee Gle,Trienggadeng,SWASTA
21,10107034,SMP NEGERI 1 MAKMUR,"Jl. Simpang Leubu-Ulee Gle KM 7,5 Kode Pos 24357",Ulee Gle,NEGERI
22,10107049,SMP NEGERI 2 MAKMUR,"Jln.Kec.Makmur Km.1,5",Leubu Cot,NEGERI
23,10107061,SMP NEGERI 3 MAKMUR,Panton Mesjid,Panton Mesjid,NEGERI
24,10112845,SMP NEGERI 4 MAKMUR,SP. Leubu - Batee Dabai KM 14,Alue Dua,NEGERI
