
1,69977142,MA UNGGUL NURUR RASYAD AL-AZIZIYAH,JL. B.ACEH-MEDAN KM.115 LORONG ANDALAS,Mesjid Runtoh,SWASTA
2,60703205,MIN 11 PIDIE,JL. SIGLI - LHOK KAJU,-,NEGERI
3,60703204,MIN 9 PIDIE,JLN. BANDA ACEH - MEDAN,-,NEGERI
4,60729614,MTSS MTSS ULUMUL QUR-AN,JLN. TIJUE-COT TEUNGOH,-,SWASTA
5,69941424,MTsS Unggul Nurur Rasyad Al Aziziyah,"Jl. Banda Aceh-Medan,  KM  115, Gp. Mesjid Runtoh",-,SWASTA
6,10100910,SD N 1 PEUKAN PIDIE,Jl. Sigli - Garot,Lampoh Lada,NEGERI
7,10100911,SD NEGERI 1 SANGGEUE,Desa Sanggeue,Meucat,NEGERI
8,10100915,SD NEGERI 1 TEUBENG,Desa Dayah Teubeng,Dayah Teubeng,NEGERI
9,10100945,SD NEGERI 2 PEUKAN PIDIE,"Jalan Rawa - Gampong Baro, Desa Rawa Gampong Kec. Pidie Kab. Pidie",Rawa,NEGERI
10,10100948,SD NEGERI 2 TEUBENG,Desa Teubeng Meucat,Teubeng Meucat,NEGERI
11,10100938,SD NEGERI 3 PEUKAN PIDIE,Peukan Pidie,Lampoh Lada,NEGERI
12,10100486,SD NEGERI 4 PEUKAN PIDIE,Desa Kampong Baro,Gajah Ayee,NEGERI
13,10100812,SD NEGERI BLANG GALANG,Blang Galang,Leubue,NEGERI
14,10100818,SD NEGERI BLANG KULA,Desa Blang Kula,Blang Kula,NEGERI
15,10100876,SD NEGERI COT GUNDUEK,Desa Cot Geunduek,Cot Gundeuk,NEGERI
16,10100853,SD NEGERI DAYAH TEUNGOH,Jalan Prof A Majid Ibrahim Km 115,Dayah Teungoh,NEGERI
17,10100856,SD NEGERI DESA PALOH,Desa Paloh,Paloh,NEGERI
18,10100441,SD NEGERI KEULIBEUET,Desa Keulibeue,Keudee,NEGERI
19,10100470,SD NEGERI LANGGO,Jln Sanggeue Grong-Grong,Keutumbu,NEGERI
20,10100404,SD NEGERI PEUKAN BARO,JALAN KUALA PEUKAN BARO,PEUKAN BARO,NEGERI
21,10100613,SD NEGERI TGK DIANJONG,Desa Cot Teungoh,Cot Teungoh,NEGERI
22,10100598,SD NEGERI TIBANG,Jln Banda Aceh Medan,Tibang,NEGERI
23,10100585,SD NEGERI TUMPOK LAWEUENG,Desa Tumpok Laweueng,Tumpok Laweung,NEGERI
24,10100639,SD NEGERI UTUE,Desa sewuriweuk,Seuri Weuk,NEGERI
25,69973572,SDIT IBNU MAS UD,Jl.Lingkar Cot Teungoh,Cot Teungoh,SWASTA
26,10107931,SMA NEGERI 3 UNGGUL SIGLI,Jln.Lingkar Blang Paseh - Sigli,Lampeudeu Baroh,NEGERI
27,69899743,SMA NEGERI ULUMUL QURAN,Jln. Tijue - Cot Teungoh,Tijue,NEGERI
28,10108241,SMA NEGERI UNGGUL SIGLI,JL. TIBANG - KRUENG RAYA Blang Galang-Sigli,Leubue,NEGERI
29,10100557,SMAN 1 PEUKAN PIDIE,DESA BLANG KULA,Blangkula,NEGERI
30,69978381,SMKS BP Sirajul Huda Al-Aziziyah,"Jl. Tibang Krueng Raya KM. 1,6",Seukeumbrok,SWASTA
31,10100633,SMKS LILAWANGSA SIGLI,LINGKAR KEUNIREE,Keuniree,SWASTA
32,10100618,SMKS TUNAS HARAPAN SIGLI,BANDA ACEH - MEDAN KM.111,LAMPOH LADA,SWASTA
33,10100632,SMP N 2 PEUKAN PIDIE,Jln Garot- Kampong Pukat,Kampong Pukat,NEGERI
34,10100509,SMP NEGERI 1 PEUKAN PIDIE,Jl. Pendidikan,BLANG KULA,NEGERI
35,69971716,SMP-UQ,Jln.Tijue - Cot Teungoh Komplek MUQ Pidie,Tijue,NEGERI
36,10112891,SMPN UNGGUL SIGLI,Jalan Tibang - Krueng Raya KM. 01 Blang Galang - Sigli,Leubue,NEGERI
37,69956757,SMPS-BP SIRAJUL HUDA AL-AZIZIAH,Jl.Tibang - Krueng raya,Seukeumbrok,SWASTA
