
1,69995630,MAS AL-MUBARAK,Jl. Bireuen-Takengon Km. 58,,SWASTA
2,69787233,MAS Darussaadah,Jln. Bireuen - Takengon Singah Mulo Km. 57,Singah Mulo,SWASTA
3,10113747,MAS NURUL ISLAM,JL. BIREUEN-TAKENGON KM. 45 BLANG RAKAL,Blang Rakal,SWASTA
4,60703441,MIS BLANG RAKAL,BLANG RAKAL,-,SWASTA
5,60728747,MTSS AL-MUBARAK,RIMBA RAYA,KM 58,SWASTA
6,10114156,MTSS BLANG RAKAL,BLANG RAKAL,BLANG RAKAL,SWASTA
7,10114155,MTSS DARUSSAADAH,SINGAH MULO,SINGAH MULO,SWASTA
8,10114154,MTSS NURUL ISLAM,BLANG RAKAL,Blang Rakal,SWASTA
9,10107209,SD NEGERI 1 RIMBA RAYA,Rimba Raya,Rimba Raya,NEGERI
10,10107218,SD NEGERI 3 GEMASIH,Jl. Takengon - Bireuen,Gemasih,NEGERI
11,10105151,SD NEGERI ARUL CINCIN,Arul Cincin,Arul Cincin,NEGERI
12,10107220,SD NEGERI ARUL GADING,Arul Gading,Alur Gading,NEGERI
13,10105240,SD NEGERI BLANG ARA,Blang Ara,Blang Ara,NEGERI
14,10107224,SD NEGERI BLANG LANCANG,Blang Lancang,Wih Porak,NEGERI
15,10107227,SD NEGERI DATU DERAKAL,Kampung Weh Porak,Weh Porak,NEGERI
16,10107228,SD NEGERI DESA BAKTI,Blang Ara,Blang Ara,NEGERI
17,10107229,SD NEGERI DIRGANTARA,Jl. Takengon - Bireuen Km. 35,Negeri Antara,NEGERI
18,69880816,SD NEGERI JALUNG SP I,Trans Jalung SP.I,Uning Emas,NEGERI
19,10107238,SD NEGERI MENDEREK,Jl. Takengon - Bireuen,Alur Gading,NEGERI
20,10107241,SD NEGERI NEGERI ANTARA,Km. 40,Km. 40,NEGERI
21,10105138,SD NEGERI PANCAR JELOBOK,Pancar Jelobok,Pancar Jelobok,NEGERI
22,10107251,SD NEGERI PANTAN LAH,PANTAN LAH,Pantanlah,NEGERI
23,69893075,SD NEGERI PANTAN SINAKU,Jln.PT APPI Pantan Sinaku,Pantan Sinaku,NEGERI
24,10110761,SD NEGERI PERDAMAIAN,Perdamaian,PERDAMAIAN,NEGERI
25,10107244,SD NEGERI RATA ARA,Rata Ara,Rata Ara,NEGERI
26,69968315,SD NEGERI SEJAHTERA,Kampung Persiapan Sejahtera Raya,Musara 58,NEGERI
27,10107248,SD NEGERI SINGAH MULO,Singah Mulo,Singah Mulo,NEGERI
28,69900371,SD NEGERI TRANS SP II TEGET,Jln. Trans SP II Teget - Pancar Jelobok,Pancar Jelobok,NEGERI
29,10105154,SD NEGERI ULU NARON,Jl. Takengon - Bireuen,ULU NARON,NEGERI
30,10110760,SD NEGERI UNING MAS,UNING MAS,Uning Mas,NEGERI
31,10113144,SD NEGERI YAKIN,Dusun Yakin,Rimba Raya,NEGERI
32,10107274,SMA NEGERI 1 PINTU RIME GAYO,JL. TAKENGON - BIREUEN,Blang Ara,NEGERI
33,10107280,SMA NEGERI 2 PINTU RIME GAYO,JL. TAKENGON-BIREUEN,Negeri Antara,NEGERI
34,69984841,SMA SWASTA HAFIDZ TERPADU DARUL MUKLASIN,Jln. Takengon-Bireuen Km. 57,Alur Gading,SWASTA
35,69855673,SMK NEGERI 3 PERTANIAN BENER MERIAH,Jln. Bireuen - Takengon Km. 45 Blang Rakal - Pintu Rime Gayo,Blang Rakal,NEGERI
36,10105162,SMP NEGERI 1 PINTU RIME GAYO,Arul Gading,Alur Gading,NEGERI
37,10105168,SMP NEGERI 2 PINTU RIME GAYO,Jln. Takengon - Bireuen,BLANG KUYU,NEGERI
38,10110748,SMP NEGERI 3 PINTU RIME GAYO,Jln. Tugu Rime Raya,Rime Raya,NEGERI
39,10110749,SMP NEGERI 4 PINTU RIME GAYO,Jln. Ulu Naron,Blang Rakal,NEGERI
40,69725914,SMP NEGERI 5 SATU ATAP PANCAR JELOBOK,Pancar Jelobok,Pancar Jelobok,NEGERI
41,10110751,SMPN 3 SATU ATAP PINTU RIME GAYO,Blang Lancang,BLANG LANCANG,NEGERI
