
1,10113662,MAN 3 ACEH SELATAN,SIMPANG TIGA,-,NEGERI
2,10114285,MTSN 4 ACEH SELATAN,JL.PU TAPAKTUAN-MEULABOH,-,NEGERI
3,69844331,SD Blang Geulinggang,Desa Blang Geulinggang,Blang Gelinggang,NEGERI
4,10102655,SD LHOK PAWOH,Desa Lhok Pawoh Kec.sawang,Lhok Pawoh,NEGERI
5,10102694,SD NEGERI 1 PANTON LUAS,Jln. Pelita,Panton Luas,NEGERI
6,10102811,SD NEGERI 2 PANTON LUAS,Jln.habib Mustapa Panton Luas,Panton Luas,NEGERI
7,10102974,SD NEGERI ALUE PAKU,Jln.pelita Desa Simpang Tiga Sawang,Simpang Iii,NEGERI
8,10102651,SD NEGERI MEULIGO,Desa Meuligo,Meuligo sawang,NEGERI
9,10102652,SD NEGERI MUTIARA,Desa Mutiara,Mutiara,NEGERI
10,10102604,SD NEGERI SAWANG,Jln. Pu Sawang Satu,Sawang,NEGERI
11,10102594,SD NEGERI SAWANG BAU,Sawang Bau,Sawang,NEGERI
12,10102601,SD NEGERI SIKULAT,Jln.Sultan malem Desa Sikulat,Sikulat Sawang,NEGERI
13,10102638,SD NEGERI TRIENG MEUDURO,Jln. Habib Mustafa Trieng Meuduro,Trieng Meuduro,NEGERI
14,10102639,SD NEGERI TRIENG MEUDURO TUNONG,Jln.gunung Seumali Trieng Meuduro Tunong,Trieng Meuduro Tunong,NEGERI
15,10102620,SD UJUNG KARANG,Desa Ujung Karang,Ujung Karang,NEGERI
16,10102623,SDN Ujung Padang,Desa Ujung Padang,ujung padang,NEGERI
17,10102785,SMAN 1 SAWANG,JL. Tapaktuan-Blang Pidie,Meuligo,NEGERI
18,10102784,SMKN 1 SAWANG,TAPAKTUAN - BANDA ACEH KM. 20,Meuligo,NEGERI
19,10102699,SMP NEGERI 1 SAWANG,Jalan Umum Banda Aceh - Tapaktuan Km. 412 No. 13,Sawang I,NEGERI
20,10102714,SMP. NEGERI 2 SAWANG,Jalan Habib Mustafa Trieng Meuduro,Trieng Meuduro Baroh,NEGERI
21,10112840,SMPN 3 Sawang,Jalan Pelita Desa Panton Luas Kecamatan Sawang Kabupaten Aceh Selatan,Panton Luas,NEGERI
