
1,10113810,MAN 6 PIDIE,JL. TANGSE - GEUMPANG KM. 46 DESA KEUDE TANGSE KECAMATAN TANGSE KABUPATEN PIDIE,-,NEGERI
2,69941568,MAS Dassa Al-Aziziyah,Jl. Tangse- Geumpang,-,SWASTA
3,69941569,MAS Syamsul Ma Rifah Al-Aziziyah,"Jl. Tangse- Geumpang,  KM  45, Gp.",-,SWASTA
4,60703212,MIN 10 PIDIE,JL. TANGSE - GEUMPANG,-,NEGERI
5,60703213,MIN 3 PIDIE,JLN. TANGSE-GEUMPANG KEC. TANGSE KAB. PIDIE,-,NEGERI
6,60703214,MIN 4 PIDIE,JL. TANGSE - GEUMPANG,-,NEGERI
7,60703217,MIS BLANG PANDAK,JALAN BLANG PANDAK KM. 34,-,SWASTA
8,60703215,MIS PULO IE,DESA PULO IE,Pulo Iee,SWASTA
9,60703216,MIS TGK. CHIK KRUENG SEUKEUK,JALAN BERUENUEN-TANGSE KM.32  GAMPONG KRUENG SEUKEUK KEMUKIMAN BEUNGGA,-,SWASTA
10,10114422,MTSN 1 PIDIE,JL. TANGSE GEUMPANG KM. 46 DESA KEUDE TANGSE KEC. TANGSE,-,NEGERI
11,69883310,MTSS Baitul Ula,Pulo Mesjid km 1,-,SWASTA
12,10114423,MTSS BEUNGGA,JALAN BEUREUNUEN-TANGSE KM. 32 GAMPONG KRUENG SEUKEUK KEMUKIMAN BEUNGGA KECAMAT,-,SWASTA
13,60729612,MTSS SYAMSUL MAARIFAH AL-AZIZIAH,JLN. BEUREUNUEN-TANGSE KM. 45,Blang Bungong,SWASTA
14,10100913,SD NEGERI 1 TANGSE,Desa Pulo Mesjid I,Pulo Mesjid I,NEGERI
15,10100914,SD NEGERI 1 TANJONG BUNGONG,Jln. beureunun - Geumpang,Blang Dhod,NEGERI
16,10100946,SD NEGERI 2 TANGSE,Desa Layan,Layan,NEGERI
17,10100947,SD NEGERI 2 TANJONG BUNGONG,Blang Bungong,Blang Bungong,NEGERI
18,10100923,SD NEGERI 3 TANGSE,Desa Keude Tangse,Keude Tangse,NEGERI
19,10100935,SD NEGERI ALUE CALONG,Desa Alue Calong,Alue Calong,NEGERI
20,10100937,SD NEGERI ALUE LHOK,Dusun Alue Lhok,Krueng Meriam,NEGERI
21,10100837,SD NEGERI BEUNGGA,Desa Beungga,Beungga,NEGERI
22,10100816,SD NEGERI BLANG JEURAT,Jalan Ujong Peunalom,Blang Jeurat,NEGERI
23,10100819,SD NEGERI BLANG MALO,Desa Blang Malo,Blang Malo,NEGERI
24,10100821,SD NEGERI BLANG PANDAK,Desa Blang Pandak,Blang Pandak,NEGERI
25,10100844,SD NEGERI BLANG TEUNGOH,Desa Blang Teungoh,Blang Teungoh,NEGERI
26,10100450,SD NEGERI GEUNIE,Desa Geunie,Lhok Keutapang,NEGERI
27,10100491,SD NEGERI KRUENG MEURIAM,Krueng Meuriam,Krueng Meuriam,NEGERI
28,10100474,SD NEGERI LHOK KEUTAPANG,Desa Lhok Keutapang,Lhok Keutapang,NEGERI
29,10100359,SD NEGERI NEBUEK BADUEK,Jalan Neubok Badeuk,Pulo Kawa,NEGERI
30,10100419,SD NEGERI PAYA GUCI,Desa Paya Guci,Paya Guci,NEGERI
31,10100390,SD NEGERI PEUNALOM II,Peunalom II,Peunalom Ii,NEGERI
32,10100399,SD NEGERI PULO SEUNONG,Jalan Mesjid Pulo Seunong,Pulo Seunong,NEGERI
33,10100603,SD NEGERI SARAH PANYANG,Jln. Blang Pandak,Ranto Panyang,NEGERI
34,10100593,SD NEGERI UJONG PEUNALOM,Desa Peunalom I,Peunalom I,NEGERI
35,10111160,SDN NEUBOK BADEUK II,Desa Neubok Badeuk,Neubok Badeuk,NEGERI
36,10100564,SMAN 1 TANGSE,JL. TANGSE - GEUMPANG,Keude Tangse,NEGERI
37,10112889,SMKN BEUNGGA,BEUREUNUEN - TANGSE KM. 30,Beungga,NEGERI
38,10100513,SMP NEGERI 1 TANGSE,Jl. Beureunuen - Geumpang,KEUDEE TANGSE,NEGERI
39,10100502,SMP NEGERI 2 TANGSE,Jl. Blang Pandak - Tangse,Blang Dhod,NEGERI
40,10100529,SMP NEGERI 3 TANGSE,Jl. Tangse  Km. 28 Beungga,Pulo Iee,NEGERI
41,10107929,SMP NEGERI 4 TANGSE,Jalan Pln Desa Layan,Layan,NEGERI
42,69993154,SMPIT DASSA AL-AZIZIYAH,GAMPONG BEUNGGA,Beungga,SWASTA
43,10111318,SMPN 5 TANGSE,Desa Blang Pandak,Blang Pandak,NEGERI
