
1,60703274,MIS SAMBAY,DESA SAMBAY KEC.TELUK DALAM KAB. SIMEULUE,-,SWASTA
2,10114072,MTSS DARUTTAQWA,DESA KUALA BAKTI KECAMATAN TELUK DALAM,-,SWASTA
3,10103308,SD NEGERI 1 TELUK DALAM,Desa Luan Balu,DESA LUAN BALU,NEGERI
4,10110853,SD NEGERI 10 TELUK DALAM,Luan Balu,Luan Balu,NEGERI
5,10110849,SD NEGERI 2 TELUK DALAM,Desa Kuala Bakti,KUALA BAKTI,NEGERI
6,10103408,SD NEGERI 3 TELUK DALAM,Gunung Putih,Gunung Putih,NEGERI
7,10103382,SD NEGERI 4 TELUK DALAM,Bulu Hadik,Bulu Hadik,NEGERI
8,10103309,SD NEGERI 5 TELUK DALAM,Dusun Sentosa Desa Lugu Sebahak,Lugu Sebahak,NEGERI
9,10103388,SD NEGERI 6 TELUK DALAM,Jl. Sinabang-Luan Balu Km. 25,Kuala Baru,NEGERI
10,10110850,SD NEGERI 7 TELUK DALAM,Jalan Luan Kabu,Muara Aman,NEGERI
11,10110851,SD NEGERI 8 TELUK DALAM,Jalan Sinabang-Luan Balu Km.28,Tanjung Raya,NEGERI
12,10110852,SD NEGERI 9 TELUK DALAM,Babussalam,BABUSSALAM,NEGERI
13,60726439,SMA NEGERI 2 TELUK DALAM,JL. NYAK ALI KM. 01,Kuala Baru,NEGERI
14,10111679,SMAN 1 TELUK DALAM,JL. LINGKAR SIMEULUE,BABUSSALAM,NEGERI
15,10110875,SMP NEGERI 1 TELUK DALAM,Babussalam,Babussalam,NEGERI
16,10110874,SMP NEGERI 2 TELUK DALAM,Jalan Nyak Ali Km 06,LUAN BALU,NEGERI
17,10110876,SMP NEGERI 3 TELUK DALAM,Bulu Hadik,Bulu Hadik,NEGERI
