
1,69976413,MA AL KAROMAH,JL. KRAMAT NO 24 MELAYA,Melaya,SWASTA
2,60729931,MAS AL-MUBAROK,JL. RAYA GILIMANUK - DENPASAR KM2,Melaya,SWASTA
3,69976404,MI MIFTAHUL ULUM,Jl. Pahlawan Sukoto No. 104 Dusun Melaya Krajan,Melaya,SWASTA
4,60721529,MIN 6 JEMBRANA,JLN. GURAMI NO. 31,Melaya,NEGERI
5,69976410,MTS RIYADLUS SHOLIHIN,DSN. MUNDUK BAYUR DESA TUWED,Tuwed,SWASTA
6,50100900,MTSN 1 JEMBRANA,JL. RAJAWALI NO.10 GILIMANUK,Gilimanuk,NEGERI
7,60702892,MTSS AL MASYHUR,JL . RAYA TAMAN NASIONAL BALI BARAT KLATAKAN,Melaya,SWASTA
8,69788437,MTsS AL-KAROMAH,JLN. KERAMAT NO.24 MELAYA PANTAI,Melaya,SWASTA
9,69967116,Pratama Widya Pasraman Kumara Bina Graha,Dusun  Katulampa,Manistutu,SWASTA
10,69967117,Pratama Widya Pasraman Widya Werdi Guna,Jalan Jaya Sakti,Melaya,SWASTA
11,50100925,SD K MARANATHA,Jln. Mawar No. 1,Blimbingsari,SWASTA
12,50100914,SD NEGERI 1 CANDI KUSUMA,Desa Candikusuma,CANDIKUSUMA,NEGERI
13,50100894,SD NEGERI 1 EKASARI,Dusun Ekasari,DESA EKASARI,NEGERI
14,50100874,SD NEGERI 1 GILIMANUK,Desa Gilimanuk,GILIMANUK,NEGERI
15,50100869,SD NEGERI 1 MANISTUTU,"Banjar Ketiman,Manistutu",Manistutu,NEGERI
16,50100868,SD NEGERI 1 MELAYA,Jln. Denpasar Gilimanuk,MELAYA,NEGERI
17,50100865,SD NEGERI 1 NUSASARI,Dusun Nusasari,Nusa Sari,NEGERI
18,50100887,SD NEGERI 1 TUKADAYA,Dusun Munduk Ranti,TUKADAYA,NEGERI
19,50100886,SD NEGERI 1 TUWED,Banjar Taman,Tuwed,NEGERI
20,50100885,SD NEGERI 1 WARNA SARI,Warnasari,Warnasari,NEGERI
21,50100980,SD NEGERI 2 CANDIKUSUMA,Dusun Moding,Candikusuma,NEGERI
22,50103363,SD NEGERI 2 EKASARI,Dusun Ekasari,Ekasari,NEGERI
23,50100728,SD NEGERI 2 GILIMANUK,Jl. Jalak Putih 02 Lingkungan Arum,GILIMANUK,NEGERI
24,50100972,SD NEGERI 2 MANISTUTU,Banjar Kemoning,Manistutu,NEGERI
25,50100971,SD NEGERI 2 MELAYA,Dsn Pangkung Tanah Kangin,Melaya,NEGERI
26,50100968,SD NEGERI 2 NUSASARI,Desa Nusasari,NUSASARI,NEGERI
27,50100992,SD NEGERI 2 TUKADAYA,Desa Tukadaya,TUKADAYA,NEGERI
28,50100991,SD NEGERI 2 TUWED,Banjar Berawantangi,Tuwed,NEGERI
29,50100990,SD NEGERI 2 WARNASARI,Br.Warnasari Kaja,Warnasari,NEGERI
30,50100944,SD NEGERI 3 CANDIKUSUMA,Desa Candikusuma,CANDIKUSUMA,NEGERI
31,50100833,SD NEGERI 3 GILIMANUK,Gilimanuk,Gilimanuk,NEGERI
32,50100937,SD NEGERI 3 MANISTUTU,Banjar Tunas Mekar,Manistutu,NEGERI
