
1,60728021,MAS Hidayatul Qomariyah,Jl. Sukamaju Rt. 04 Rw. 01,Padang Serai,SWASTA
2,10703998,MAS JA AL HAQ,Jln RE. Martadinata RT 06   RW 02,Muara Dua,SWASTA
3,60705330,MIS AL - ISLAM,Jl. Pasundan No.56 RT/RW 25/01,Sumber Jaya,SWASTA
4,60705331,MIS AL BAANI,Jl. Sumas Prundam RT/RW 09/08,Kandang Mas,SWASTA
5,69886323,MIS Ikhwanul Djauhariah,Jl. Sepakat 3 Rt.06 Rw.02,Kandang Mas,SWASTA
6,10704081,MTSN 2 KOTA BENGKULU,JL. SETIA NEGARA,Kandang Mas,NEGERI
7,10704082,MTSS JA-ALHAQ,Jl.r.e Martadinata Rt.006 Rw.002,Muara Dua,SWASTA
8,69963380,Plus Nur Rahma,Jl. Setia Negara No. 16A Puri Lestari,Kandang Mas,SWASTA
9,10702541,SD NEGERI 102 KOTA BENGKULU,Bangkahan,Teluk Sepang,NEGERI
10,69946729,SD NEGERI 105 KOTA BENGKULU,Jl. kampung Bahari Pulai Baai,Sumber Jaya,NEGERI
11,10702622,SD NEGERI 75 KOTA BENGKULU,Jl RE. MARTADINATA Kel Kandang Kec. Kampung Melayu,Kandang,NEGERI
12,10702620,SD NEGERI 77 KOTA BENGKULU,Jl. Semangka Kel. Padang Serai,Padang Serai,NEGERI
13,10702451,SD NEGERI 83 KOTA BENGKULU,Jl. Teluk Sepang,Teluk Sepang,NEGERI
14,10703115,SD NEGERI 87 KOTA BENGKULU,Perumdam Kota Bengkulu,Kandang Mas,NEGERI
15,69952292,SMA NEGERI 11 KOTA BENGKULU,Jl. Raya Budi Utomo,Kandang Mas,NEGERI
16,10703975,SMK NEGERI 6 KOTA BENGKULU,JL. KAMPUNG BAHARI,Sumber Jaya,NEGERI
17,10702478,SMP NEGERI 19 KOTA BENGKULU,Jl. Sukamaju,Padang Serai,NEGERI
18,10702979,SMP NEGERI 23 (SATU ATAP) KOTA BENGKULU,Jl. Bangkahan,Teluk Sepang,NEGERI
19,69900185,SMP NEGERI 25 KOTA BENGKULU,Jl. Kampung Bahari Sumber Jaya,Sumber Jaya,NEGERI
