
1,69851006,MAS Roudlotul Ulum,Jl.Raya Bengkul-Seluma KM.21 Desa Jenggalu,Sukaraja,SWASTA
2,69975970,MTS AN-NAJIHA,"PEREMAJAAN, RIAK SIABUN 1, KECAMATAN SUKARAJA",Riak Siabun I,SWASTA
3,69788296,MTsS AL-MUTTAQIN,DUSUN PEKALONGAN 1 DESA BUKIT PENINJAUAN II,Sukaraja,SWASTA
4,10704041,MTSS MIFTAHUL HIDAYAH,Jl.Pahlwan Desa Bukit Peninjuan I Bukit Peninjauan ISukaraja SelumaBengkulu,Bukit Peninjauan I,SWASTA
5,69788295,MTsS ROUDLOTUL ULUM,"JL. RAYA BENGKULU TAIS KM. 21,5 DESA JENGGALU",Sukaraja,SWASTA
6,10701739,SD NEGERI 101 SELUMA,Jln. Trans Migrasi Bukit Peninjauan I,Bukit Peninjauan I,NEGERI
7,10701674,SD NEGERI 102 SELUMA,Air Petai,Air Petai,NEGERI
8,10701689,SD NEGERI 103 SELUMA,Padang Pelawi,Padang Pelawi,NEGERI
9,10701461,SD NEGERI 104 SELUMA,Desa Cahaya Negeri,Cahaya Negeri,NEGERI
10,10701483,SD NEGERI 105 SELUMA,ARAU BINTANG 1,RIAK SIABUN,NEGERI
11,10701438,SD NEGERI 106 SELUMA,Desa Kuti Agung,Kuti Agung,NEGERI
12,10701698,SD NEGERI 107 SELUMA,Bukit Peninjauan II,SIDOSARI,NEGERI
13,10701452,SD NEGERI 120 SELUMA,Pir Sukaraja,SUKARAJA,NEGERI
14,10701585,SD NEGERI 13 SELUMA,Jln Raya Babatan,Babatan,NEGERI
15,10701693,SD NEGERI 133 SELUMA,Bukit Peninjauan I,Bukit Peninjauan I,NEGERI
16,10701722,SD NEGERI 140 SELUMA,JL. pandawa,Bukit Peninjauan Ii,NEGERI
17,10701470,SD NEGERI 141 SELUMA,Desa Niur,N I U R,NEGERI
18,10701422,SD NEGERI 149 SELUMA,Air Kemuning,AIR KEMUNING,NEGERI
19,10701407,SD NEGERI 157 SELUMA,Bukit Gadis,PADANG PELAWI,NEGERI
20,10701440,SD NEGERI 162 SELUMA,Desa Riak Siabun,RIAK SIABUN I,NEGERI
21,10701439,SD NEGERI 163 SELUMA,Desa Jalur,PADANG KUAS,NEGERI
22,10701432,SD NEGERI 165 SELUMA,Talang Tais,Kuti Agung,NEGERI
23,10701431,SD NEGERI 168 SELUMA,Solok Babatan,BABATAN,NEGERI
24,10701423,SD NEGERI 169 SELUMA,"Mekar Jaya, Sari Mulyo, Sukaraja, Seluma",Sari Mulyo,NEGERI
25,10701426,SD NEGERI 179 SELUMA,Riak Siabun,Sukaraja,NEGERI
26,10701574,SD NEGERI 24 SELUMA,Desa lubuk sahung,Lubuk Sahung,NEGERI
27,10701609,SD NEGERI 43 SELUMA,Sidoluhur,BUKIT PENINJAUAN I,NEGERI
28,10701579,SD NEGERI 65 SELUMA,Bukit Peninjauan II,Bukit Peninjauan Ii,NEGERI
29,10701679,SD NEGERI 66 SELUMA,Sukaraja,JENGGALU,NEGERI
30,10701716,SD NEGERI 67 SELUMA,Desa Riak Siabun,RIAK SIABUN,NEGERI
31,69900228,SDIT AL-AHSAN,Sukaraja,Sukaraja,SWASTA
32,69774868,SMAN 10 SELUMA,Padang Kuas,Padang Kuas,NEGERI
33,10702680,SMAN 6 SELUMA,PADANG PELAWI KM. 29,PADANG PELAWI,NEGERI
34,10701505,SMP NEGERI 07 SELUMA,Jl. Transmigrasi Desa  Sido Luhur,Sido Luhur,NEGERI
35,10702673,SMP NEGERI 23 SELUMA,Jl.raya Bengkulu-tais Km.31,SUKARAJA,NEGERI
36,10702674,SMP NEGERI 24 SELUMA,Air Petai,AIR PETAI,NEGERI
37,10703136,SMP NEGERI 38 SELUMA,Suka Maju,Riak Siabun,NEGERI
38,10703653,SMP NEGERI 41 SELUMA,Desa Kuti Agung,KUTI AGUNG,NEGERI
39,10703430,SMP NEGERI 43 SELUMA,Desa Bukit Gadis,Padang Pelawi,NEGERI
40,69775585,SMP NEGERI 47 SATU ATAP SELUMA,Desa Air Kemuning,AIR KEMUNING,NEGERI
41,69787444,SMP NEGERI 48 SATU ATAP SELUMA,Bukit Peninjauan I,Bukit Peninjauan I,NEGERI
