
1,10507914,MAN 1 MERANGIN,JL. MAN KEL PS. ATAS BANGKO,KOTO RAWANG,NEGERI
2,10507916,MAS AL-MUJAHADAH,JL. FATIMURA RT. 29 MERANGIN BARU KELURAHAN PEMATANG KANDIS KECAMATAN BANGKO,-,SWASTA
3,10507915,MAS AL-MUNAWAROH,SUNGAI MISANG BANGKO,-,SWASTA
4,60704671,MIN 1 MERANGIN,JL. BANGKO TINGGI,KELURAHAN DUSUN BANGKO,NEGERI
5,69733788,MIS BAITURROHIM,DESA KEROYA,-,SWASTA
6,60704673,MIS NURUL HUDA,DESA MUDO KECAMATAN BANGKO KABUPATEN MERANGIN PROPINSI JAMBI,Dusun Mudo,SWASTA
7,10508223,MTSN 1 MERANGIN,JALAN SIMPANG MAN KELURAHAN PASAR ATAS BANGKO,-,NEGERI
8,10508224,MTSS AL-MUNAWWAROH,SUNGAI MISANG KELURAHAN DUSUN BANGKO KECAMATAN BANGKO KABUPATEN MERANGIN PROPIN,-,SWASTA
9,69830447,SD IT Al-Munawwaroh,Jl.Lintas Sumatera Km 02 Bangko,KELURAHAN DUSUN BANGKO,SWASTA
10,69901938,SD IT INSAN MULIA,Jln. Pati Mura Rt.38 Rw.01 Km.03,KELURAHAN PEMATANG KANDIS,SWASTA
11,10501591,SD NEGERI 01/VI BANGKO I,"Jln.  Prof. H. M. Yamin, S.H Km.01 Rt.02 Rw.01",KELURAHAN PASAR ATAS BANGKO,NEGERI
12,10501592,SD NEGERI 02/VI BANGKO II,"Jl. Prof. H.M. Yamin, S.H Km.02 Rt.05 Rw.02",KELURAHAN PASAR ATAS BANGKO,NEGERI
13,10501593,SD NEGERI 03/VI BANGKO III,Jln.Kebun Sayur,KELURAHAN DUSUN BANGKO,NEGERI
14,10501595,SD NEGERI 05/VI KUNGKAI I,Jln.Kungkai-Bangko,Kungkai,NEGERI
15,10501166,SD NEGERI 060/VI BANGKO IV,Jalan Talang Kawo,DUSUN BANGKO,NEGERI
16,10501148,SD NEGERI 076/VI DESA MUDO,Desa Mudo,DESA MUDO,NEGERI
17,10501073,SD NEGERI 114/VI BANGKO VII,Jln. Prof. H . M . Yamin SH.Km.3 Rt.18 Rw.8 Lorong simpang  MAN,KELURAHAN PASAR ATAS BANGKO,NEGERI
18,10501074,SD NEGERI 115/VI BANGKO VIII,Jalan Ra. Kartini Bangko,KELURAHAN PEMATANG KANDIS,NEGERI
19,10501067,SD NEGERI 143/VI KUNGKAI II,Jln.Bangko-Kungkai Km.05,Kungkai,NEGERI
20,10501068,SD NEGERI 144/VI BANGKO IX,Jln. Pulau Rayo Rt.13 Rw.05,KELURAHAN DUSUN BANGKO,NEGERI
21,10501089,SD NEGERI 147/VI LANGLING I,Jln. Trans C 2,DEsa.Langling,NEGERI
22,10501382,SD NEGERI 211/VI BANGKO X,Jln. Diponegoro Rt.19 Rw.05,KELURAHAN PEMATANG KANDIS,NEGERI
23,10501383,SD NEGERI 212/VI BANGKO XI,Jln.Pensiunan Kampung Baru II,KELURAHAN PASAR BANGKO,NEGERI
24,10501425,SD NEGERI 221/VI SUNGAI KAPAS I,Jln. Lintas Sungai Kapas,Sungai Kapas,NEGERI
25,10501422,SD NEGERI 253/VI BANGKO XII,Jl. Pendidikan Rt.11,KELURAHAN PEMATANG KANDIS,NEGERI
26,10501440,SD NEGERI 255/VI SUNGAI KAPAS II,Jln. Dewi Sartika,Sungai Kapas,NEGERI
27,10501305,SD NEGERI 278/VI BANGKO XIII,"Jln,Dusun Bangko Tinggi",KELURAHAN DUSUN BANGKO,NEGERI
28,10501307,SD NEGERI 280/VI BANGKO XIV,Jln. Talang kawo Simp. Sungai murak,KELURAHAN DUSUN BANGKO,NEGERI
29,10507312,SD NEGERI 282/VI BANGKO XV,Jln. R.A Kartini Lrg. Amal Merangin Baru,KELURAHAN PEMATANG KANDIS,NEGERI
30,10501337,SD NEGERI 294/VI BANGKO XV,Jln. Lintas Sumatera Km.06  Komplek BTN Sungai Piul,KELURAHAN DUSUN BANGKO,NEGERI
31,10501360,SD NEGERI 299VI LANGLING II,Jln. Kompleks PT KDA,Langling,NEGERI
32,10501194,SD NEGERI 88/VI BANGKO V,Jl PANGERAN TEMENGGUNG SUNGAI MAS ILIR,KELURAHAN PASAR BANGKO,NEGERI
33,10501170,SD NEGERI NO.098VI BANGKO VI,JLN.KOLONEL ABUN JANI,KELURAHAN PASAR ATAS BANGKO,NEGERI
34,10501361,SMA NEGERI 1 MERANGIN,Jln. Gunung Masurai No.105,KELURAHAN PASAR ATAS BANGKO,NEGERI
35,69947379,SMA NEGERI 20 MERANGIN,Jln. Poros Sungai Kapas-Mampun Baru,Sungai Kapas,NEGERI
36,69893989,SMA TERPADU NURUSSALAM AL QONITIN,Jl. Talang Kawo - Trans C2,KELURAHAN DUSUN BANGKO,SWASTA
37,10505058,SMAN 7 MERANGIN,JL. TALANG KAWO DS. BANGKO,DUSUN BANGKO,NEGERI
38,10501369,SMKN 1 MERANGIN,JL. TALANG KAWO,KELURAHAN DUSUN BANGKO,NEGERI
39,69892404,SMP ISLAM TERPADU RAHMATAN LIL ALAMIN,Jln. Bangko -Sungai manau Km.6,Kungkai,SWASTA
40,69974136,SMP IT SYARIF HIDAYATULLAH,Jl. Lintas Talang Kawo,KELURAHAN DUSUN BANGKO,SWASTA
