
1,10502010,MAS MAFATIHUL HUDA,JL.KARYA JAYA,-,SWASTA
2,10505133,MAS RIYADHUL JANNAH,Jl. H. Syamsuddin RT.09 Tanjung Harapan,SUNGAI DUALAP,SWASTA
3,60704624,MIS 017 NURUL MUTTAQIN,RT.22 PARIT 10,BETARA KIRI,SWASTA
4,60704626,MIS SALAFIAH,SUNGAI GEBAR,-,SWASTA
5,10505186,MTSS AL-HIDAYAH,DUSUN BARAT RT 13,BETARA KIRI,SWASTA
6,10502065,MTSS MAFATIHUL HUDA,KARYA JAYA,-,SWASTA
7,10502052,MTSS RIYADHUL JANNAH,SUNGAI DUALAP,-,SWASTA
8,10502054,MTSS SALAFIYAH,DUSUN PAJAR JAYA RT.05,-,SWASTA
9,10502080,SD NEGERI 012V BETARA KANAN,Betara Kanan,desa betara kanan,NEGERI
10,10502097,SD NEGERI 016V SUNGAI GEBAR,Sungai Gebar,SUNGAI GEBAR,NEGERI
11,10501788,SD NEGERI 030V BETARA KIRI,Jln.h.ibrahim Rt.04 Dusun Timur,BETARA KIRI,NEGERI
12,10501818,SD NEGERI 047V SUNGAI GEBAR,Sungai Gebar,SUNGAI GEBAR,NEGERI
13,10501820,SD NEGERI 049/V SUNGAI PUNGGUR,Sungai Punggur,SUNGAI DUALAP,NEGERI
14,10501815,SD NEGERI 056V SUNGAI DUALAP,Desa Sungai Dualap,SUNGAI DUALAP,NEGERI
15,10501810,SD NEGERI 065V BETARA KIRI,Rt. 12 Dusun Barat,BETARA KIRI,NEGERI
16,10501721,SD NEGERI 085/V SUNGAI DUALAP,Jl.H.Abdul Hadi RT 05 dusun Bina Karya,Sungai Dungun,NEGERI
17,10501729,SD NEGERI 093V BETARA KIRI,Dusun Tengah Rt.10 Betara Kiri,BETARA KIRI,NEGERI
18,10501763,SD NEGERI 100V SUNGAI GEBAR,Parit Xi  Sungai Gebar,SUNGAI GEBAR,NEGERI
19,10501767,SD NEGERI 104/V BETARA KIIRI,Parit 15 RT 04,Dataran Pinang,NEGERI
20,10501754,SD NEGERI 117V SUNGAI GEBAR,Parit Satu Ilir,SUNGAI GEBAR,NEGERI
21,10501904,SD NEGERI 131V BETARA KIRI,Betara Kiri,BETARA KIRI,NEGERI
22,10501891,SD NEGERI 144V BETARA KIRI,Betara Kiri,BETARA KIRI,NEGERI
23,10501925,SD NEGERI 152V BETARA KIRI,Jalan Raya Muara Deli,BETARA KIRI,NEGERI
24,10501849,SD NEGERI 184V PARIT PONCO KUALA BETARA,Parit Ponco Betara Kanan,Betara kanan,NEGERI
25,10502072,SD NEGERI 189V KUALA INDAH,Kuala Indah,KUALA INDAH,NEGERI
26,69786907,SMAN 16 TANJUNG JABUNG  BARAT,JL. LINTAS DESA,BETARA KIRI,NEGERI
27,10501857,SMP NEGERI 03 BETARA,Jl.lintas Desa Betara Kiri,BETARA KIRI,NEGERI
28,10505124,SMP NEGERI SATU ATAP 1 BETARA,Sungai Gebar,SUNGAI GEBAR,NEGERI
29,10507367,SMP Satu Atap 5 Betara,Sungai Dualap,SUNGAI DUALAP,NEGERI
30,10505074,SMPN Satu Atap 2 Betara,Jl. Kihajar Dewantara RT.06/RW.00. Dusun Teladan,Sungai Dualap,NEGERI
