
1,20280256,MAS DAARUL FATHONAH TEGALGUBUG,Jl. Durian No. 23 Blok 5,Tegalgubug Lor,SWASTA
2,20280257,MAS DAR AL QUR AN TEGALGUBUG,Jl. Suropati No. 163 Tegalbugub Lor,TEGALGUBUG,SWASTA
3,20280273,MAS NUSANTARA ARJAWINANGUN,Jl. Kalibaru Timur No. 36 Arjawinangun Cirebon 45162,Arjawinangun,SWASTA
4,60708583,MIS ABNAUL WATHON,Jl. Suropati No. 9 Blok Baitul Hikmah Rt/Rw 01/06,Tegalgubug,SWASTA
5,60708586,MIS DAARUL FATHONAH,Jl. Durian No.23,Tegalgubug,SWASTA
6,60708587,MIS HIDAYATUL MUBTADIIN,Jl. Suropati Raya No. 4 Komplek Pesantren Al-Anwariyah,Tegalgubug Lor,SWASTA
7,60708584,MIS MIBARUL HIDAYAH,Jl. Tameng Pati No 5 Rembes,Tegalgubug,SWASTA
8,60708582,MIS MIFTAHUSSURUR,Tegalgubug Rt/Rw 01/08,Tegalgubug,SWASTA
9,60708588,MIS RAUMIYATUTTAQWA,Jl. Raya Suropati No. 14,Tegalgubug,SWASTA
10,60708585,MIS TANBIHUL ATHFAL,Desa.Tegalgubug Lor RT/RW : 03/02. Kec. Arjawinangun. Kab. Cirebon.,Tegalgubug Lor,SWASTA
11,20278776,MTsN 3 Cirebon,Jl. Kalibaru Timur No. 36 B,Arjawinangun,NEGERI
12,20278777,MTSS AL HILAL,Jl. Suropati Raya No. 13,Tegalgubug,SWASTA
13,20278778,MTSS AL MASUDIYAH,Ponpes Al Hidayat Rembes Tegalgubug,TEGALGUBUG,SWASTA
14,20278779,MTSS DAARUL FATHONAH,Jl.durian No.23 Rt/rw.01/08,Tegalgubug Lor,SWASTA
15,20278780,MTSS DAR AL QUR AN,Tegalgubug Lor,TEGALGUBUG LOR,SWASTA
16,20278781,MTSS MIFTAHUL ULUM,Gg. Ciasem No. 129 Blok 2,JUNGJANG,SWASTA
17,20244515,SD ISLAM TEGALGUBUG LOR,Jl. Suropati 163,Tegalgubug Lor,SWASTA
18,20215217,SD NEGERI 1 ARJAWINANGUN,Jalan Kali Baru Timur No 252,ARJAWINANGUN,NEGERI
19,20215182,SD NEGERI 1 BULAK,Jl. Ki Badang Samaran,BULAK,NEGERI
20,20215248,SD NEGERI 1 GEYONGAN,Jln Merdeka,GEYONGAN,NEGERI
21,20215074,SD NEGERI 1 JUNGJANG WETAN,Jl. Revolusi,JUNGJANG WETAN,NEGERI
22,20215037,SD NEGERI 1 KARANGSAMBUNG,Jl. Balai Desa,Karangsambung,NEGERI
23,20215060,SD NEGERI 1 KEBONTURI,Jl Sultan Agung,KEBONTURI,NEGERI
24,20215505,SD NEGERI 1 RAWAGATEL,Jl. Balai Desa,RAWAGATEL,NEGERI
25,20215511,SD NEGERI 1 SENDE,Blok 3 Desa Sende,SENDE,NEGERI
26,20215453,SD NEGERI 1 TEGALGUBUG,Jl Lapang Bola,TEGALGUBUG,NEGERI
27,20215566,SD NEGERI 1 TEGALGUBUG LOR,Jl Taman Puri Sipulo,TEGALGUBUG LOR,NEGERI
28,20215537,SD NEGERI 2 ARJAWINANGUN,Jl. Kantor Pos No. 11 Rt. 01 Rw. 02,ARJAWINANGUN,NEGERI
29,20215330,SD NEGERI 2 GEYONGAN,Jl. Desa Geyongan,Geyongan,NEGERI
30,20244346,SD NEGERI 2 JUNGJANG,Jl. Nyi Mas Gandasari No.28,Jungjang,NEGERI
31,20215421,SD NEGERI 2 JUNGJANGWETAN,Jl. Revolusi No 17,JUNGJANG WETAN,NEGERI
32,20215393,SD NEGERI 2 KARANGSAMBUNG,Jl. Balai Desa,Karangsambung,NEGERI
33,20214737,SD NEGERI 2 SENDE,Jl Lapang Bola,SENDE,NEGERI
34,20214688,SD NEGERI 2 TEGALGUBUG,Jl Pasar Sandang,Tegalgubug,NEGERI
35,20214506,SD NEGERI 3 ARJAWINANGUN,Jl Kebon Baru No. 10,ARJAWINANGUN,NEGERI
36,20214489,SD NEGERI 3 JUNGJANG,Jl Teuku Umar,JUNGJANG,NEGERI
37,20214942,SD NEGERI 3 TEGALGUBUG,Tegalgubug,TEGALGUBUG,NEGERI
38,20214947,SD NEGERI 4 ARJAWINANGUN,Jl. Kali Baru Timur,ARJAWINANGUN,NEGERI
39,20214956,SD NEGERI 4 JUNGJANG,Jl. Manggis,JUNGJANG,NEGERI
40,20214955,SD NEGERI 4 JUNGJANG WETAN,Jl. Karaang Dawa,JUNGJANG WETAAN,NEGERI
41,20214906,SD NEGERI 5 ARJAWINANGUN,Jl Kebon Pring No.04,ARJAWINANGUN,NEGERI
42,20214905,SD NEGERI 5 JUNGJANG,Jl.taruna 1 Karang Anyar,Jungjang,NEGERI
43,69983820,SDIT LEMA DUWUR,Jalan Pahlawan,Arjawinangun,SWASTA
44,69986028,SDIT TELADAN MULIA,Blok Karang Moncol RT.01 RW.03,Arjawinangun,SWASTA
45,20214903,SDN 6 ARJAWINANGUN,Jalan Ki manten,Arjawinangun,NEGERI
46,20214971,SMAN 1 ARJAWINANGUN,Jl. Sutan Syahrir,Arjawinangun,NEGERI
47,20271759,SMKS DARUL KAWAKIB,JL. SUROPATI RAYA,TEGALGUBUG LOR,SWASTA
48,20254049,SMKS DINAMIKA ARJAWINANGUN,Jalan Serayu Nomor 42,Jungjang,SWASTA
49,69769404,SMKS PAHLAWAN,ARJAWINANGUN,Arjawinangun,SWASTA
50,69758451,SMKS PLUS AL-HILAL ARJAWINANGUN,TEGALGUBUG,TEGALGUBUG,SWASTA
51,20244696,SMKS WAHIDIN ARJAWINANGUN,JALAN TARUNA BELAKANG LAPANGAN SEPAK BOLA BLOK KARANGANYAR,Jungjang,SWASTA
52,20254083,SMP AZZAHRA,Jl. Nusantara 1 Desa Karangsambung,Karangsambung,SWASTA
53,20268937,SMP DARUL KAWAKIB,Jl.Raya Tegal Gubug-Arjawinangun,Tegalgubug lor,SWASTA
54,69902575,SMP IT ISHLAHUL MUTAALLIMIN,Jl. Pamungkas Kedapang,Jungjang,SWASTA
55,20214763,SMP MUBTADIAT,Gang Ciasem No. 130,Jungjang,SWASTA
56,20214867,SMP NEGERI 1 ARJAWINANGUN,Jl. Kantor Pos No. 10 Arjawinangun,Arjawinangun,NEGERI
57,20214837,SMP NEGERI 2 ARJAWINANGUN,Jl. Dr. Setiabudi,Sende,NEGERI
58,20214757,SMP PERINTIS ARJAWINANGUN,Jln. Pahlawan No. 23,ARJAWINANGUN,SWASTA
59,69881540,SMP PLUS AL ANWARIYAH,Blok IV Al Anwariyah Desa Tegalgubug Lor,TEGALGUBUG LOR,SWASTA
60,20214765,SMP PLUS DAR AL-TAUHID,Jl. KH. A. Syatori No. 10,ARJAWINANGUN,SWASTA
61,69725671,SMP YASRI ARJAWINANGUN,Jl. Delima,Tegalgubug Lor,SWASTA
