
1,69955962,Cibeunteur,Dusun Gardu No.48 Rt.021 Rw.007,,SWASTA
2,20277088,MAN KOTA BANJAR,JL. DIPATIUKUR NO.26 PARUNGLESANG BANJAR,Banjar,NEGERI
3,20277087,MAS AL KAUTSAR,JL. PEJUANG NO.100 DESA JAJAWAR,Jajawar,SWASTA
4,20277089,MAS DARUL HUDA,JL. PETA DUSUN GARDU,-,SWASTA
5,20277090,MAS DARUL ULUM,DSN. KARANGPUCUNG DS. BALOKANG,-,SWASTA
6,60710124,MIN 3 Kota Banjar,KARANG PUCUNG,Balokang,NEGERI
7,60710125,MIS BANJAR 2,JL. MASJID AGUNG GG. KANCRA NO.184 RT.02/05 CIBULAN BANJAR,-,SWASTA
8,60710126,MIS BANTARSARI,DSN. CIKAPUNDUNG RT. 36 RW. 18,-,SWASTA
9,60710127,MIS CIBEUNTEUR,Jl. Cibeunteur No. 48 Dusun Gardu RT. 021 RW. 007,Balokang,SWASTA
10,60710128,MIS CIBONTE,Lingkungan Awiluar RT 13/04,Situbatu,SWASTA
11,69982964,MIS PLUS DAARUL HUDA,JL. CIMARAGAS DUSUN GARDU RT 16 RW 06,Balokang,SWASTA
12,20279804,MTsN 1 Kota Banjar,JL. Dewi Sartika No. 29 Kota Banjar,Banjar,NEGERI
13,60727406,MTSS AL-KAUTSAR,JL. PEJUANG NO.100 KARANGPUCUNG WETAN,Jajawar,SWASTA
14,20279807,MTSS DARUL ULUM,DSN. KARANGPUCUNG DS. BALOKANG,-,SWASTA
15,20279806,MTSS MIFTAHUL HIDAYAH,JL PADEPOKAN CIPANTARAN,Cibeureum,SWASTA
16,20279805,MTSS PGII BANJAR,JL. PERINTIS KEMERDEKAAN No.8 Banjar,Banjar,SWASTA
17,69896395,SD INSPIRATIF AL-ILHAM,JL. LOBAK NO. 519 RT. 04 RW. 15 LINGK. BANJAR KOLOT,Banjar,SWASTA
18,20225323,SD N 4 BANJAR,Lingkungan  Pintusinga No 27,BANJAR,NEGERI
19,20225162,SD NEGERI 1 BALOKANG,Dusun Balokang,Balokang,NEGERI
20,20225163,SD NEGERI 1 BANJAR,Jalan Sudiro W  No. 48,Banjar,NEGERI
21,20225291,SD NEGERI 1 CIBEUREUM,Dusun Pasirnagara RT 11 RW 03,CIBEUREUM,NEGERI
22,20225167,SD NEGERI 1 JAJAWAR,Dusun Karang Pucung   Kulon,Jajawar,NEGERI
