
1,20177980,MAS AL-FALAAH KOPO,Jl.soreang - Cipatik Km. 3 No. 28/93 Rt 01 Rw 05,-,SWASTA
2,60728047,MAS AL-HOIRIYAH,Jl. Desa Cibodas No. 85,Cibodas,SWASTA
3,20279976,MAS MATHLAUL ANWAR PAMEUNTASAN,Jl.soreang - Cipatik Km.7,Gajahmekar,SWASTA
4,60707780,MIS AL-FALAAH KOPO,Jl. Soreang Cipatik KM. 3 No. 93,-,SWASTA
5,60707785,MIS AL-MUHAJIRIN,Kp. Sukalillah No. 79 Jl. Cipatik,-,SWASTA
6,60707781,MIS ASSALAF,Kp. Bojong RT. 03 RW. 13,Gajahmekar,SWASTA
7,60707782,MIS AT-TURMUDZI,Jln. Desa Cibodas No. 85,-,SWASTA
8,60707783,MIS NURUL HUDA JEREGED,Kp.Bunijaya rt02 rw.11,Jatisari,SWASTA
9,60707784,MIS YAPIQ,Jl. Ds. Pameuntasan No. 109,-,SWASTA
10,20278116,MTSS AL-FALAAH KOPO,Jl. Soreang Cipatik Km.03 No.28,Kopo,SWASTA
11,20278117,MTSS AL-FATAH,Jl. Pameuntasan Rt. 02/08,Pameuntasan,SWASTA
12,20278118,MTSS AL-ISTIQOMAH,Kp. Tegal Kembang Rt. 02/08,-,SWASTA
13,69886391,MTSS Al-Ulum,Batu Nunggul Rt 01 Rw 05,Sukamulya,SWASTA
14,69886226,MTsS Assalaf,Kampung Bojong Rt. 03 Rw. 13,Gajahmekar,SWASTA
15,20278120,MTSS AT-TURMUDZI,Jl. Desa Cibodas No. 85,Cibodas,SWASTA
16,20278121,MTSS MA PAMEUNTASAN,Jl Soreang Cipatik Km 07 Gajah Mekar,Gajahmekar,SWASTA
17,20278122,MTSS NURUSSALAM PUNCAKMULYA,Kp. Puncakmulya Ds. Sukamulya,-,SWASTA
18,20278123,MTSS PERSIS 179 BUNIJAYA,Kp. Bunijaya Rt.01/11,Cilame,SWASTA
19,20278124,MTSS PERSIS CIBEGOL,Jl. Raya Soreang-Cipatik Km 5 Kp. Cibegol Rt 01/08,-,SWASTA
20,20278125,MTSS USWATUN HASANAH,Kp. Sari Lamping Rt 05/rw 01,Buninagara,SWASTA
21,20278126,MTSS YAPIQ CISEAH,Kp. Ciseah Rt. 01 Rw. 01 Jl. Desa Pameuntasan No. 109,-,SWASTA
