
1,69976251,AL-MUNTAHA,"JLN,Utan Kalim No.26",Cimuning,SWASTA
2,69976309,BANI HAMIM,JL. HAMIM CENTRE RT 001 RW 009,Mustika Jaya,SWASTA
3,20277110,MAS KHAIRUL BARIYYAH,JL. KHAIRUL BARIYYAH NO.29 CIMUNING,-,SWASTA
4,60709889,MIS AL CHAERIYAH,JL. AMD PABUARAN RT.3/1 CIMUNING,Cimuning,SWASTA
5,60709890,MIS AL HIKMAH,JL. KP. BABAKAN RT.2/6,MUSTIKA JAYA,SWASTA
6,60709892,MIS NUR AL ISTIQOMAH,JL. RAYA MUSTIKA SARI RT.1/5 BAB,MUSTIKA SARI,SWASTA
7,60709893,MIS NURUL ANWAR,JL. SETU KM.1 GG. H. SYARIF NO. 151,MUSTIKA JAYA,SWASTA
8,60709891,MIS NURUL IMAN,JL. RAWA MULYA CIKETING MUSTIKA JAYA,-,SWASTA
9,20279653,MTsN 3 Kota Bekasi,JL. RAYA MUSTIKAJAYA KM.01,Mustika Jaya,NEGERI
10,20279654,MTSS AL HUDA,JL. BENGKONG RAYA RT.01/03 NO.53,Mustika Jaya,SWASTA
11,69982784,MTSS FATAHILLAH,JL. ASEM JAYA GG. BUNGUR RT 04/06,Mustika Jaya,SWASTA
12,20279655,MTSS KHAIRUL BARIYYAH,JL.KHAIRUL BARIYYAH 29 RT 02/04 KEL.CIMUNING KEC. MUSTIKA JAYA KOTA BEKASI 1715,HARAPAN MULIA,SWASTA
13,20253942,SD ALAM PERTIWI,Jl. Utan Kalim Rt: 004/006,Cimuning,SWASTA
14,69873993,SD ALAM TERPADU TAMAN FIRDAUS,JL BAYAN II KAMPUNG CIKETING,Mustika Jaya,SWASTA
15,20253944,SD BINA KREASI MANDIRI,"Jl. Bayan  No.1a, Kp. Ciketing Asem Jaya",Mustika Jaya,SWASTA
16,69967111,SD BINA NUSANTARA,JL TIRTA UTAMA NO.1 BUMIWEDARI KOMP VIDA,Padurenan,SWASTA
17,69967110,SD ISLAM AL FARISI,KAMP CIBITUNG SEBRANG Gg BAWANG RT 001 RW 009 NO.89,Cimuning,SWASTA
18,20276420,SD ISLAM ASSURYANIYAH,Jl Setu - Bantar Gebang Rt.03/04 Cimuning,Cimuning,SWASTA
19,69909179,SD ISLAM IBNU HAJAR MANDIRI,JL RAWA BUNDER RT 01/03,Padurenan,SWASTA
20,20253948,SD ISLAM INSAN AULIA,Jl. An Nahl No. 1,Mustika Jaya,SWASTA
21,20254042,SD ISLAM INSAN MADANI,JL.TELKOM PADURENAN,Padurenan,SWASTA
22,69948054,SD ISLAM ISLAMIC GREEN SCHOOL,JL CIPETE RAYA NO.113 RT 003/005,Mustika Sari,SWASTA
23,69943820,SD ISLAM RIYADHUS SHALIHIN,PERUM MUTIARA INSANI RT 006/08 Padurenan,Padurenan,SWASTA
24,20231631,SD ISLAM TERATAI PUTIH GLOBAL,Jl. Kampus Teratai Putih No. 1,Cimuning,SWASTA
25,20231597,SD IT MUTIARA,Jl Masjid Al Mujahidin No. 46 Kav. Rawa Mulya,Mustika Jaya,SWASTA
26,69830096,SD IT RIYADH EL JANNAH,Perum Kodam Blok. A No.27,Mustika Jaya,SWASTA
27,20223556,SD NEGERI CIMUNING I,Jl. Raya Bt.gebang - Setu,CIMUNING,NEGERI
28,20223554,SD NEGERI CIMUNING II,Jl. Raya Bantargebang - Setu,Cimuning,NEGERI
29,20254028,SD NEGERI CIMUNING III,Jl. Bawang Cibitung Seberang,Cimuning,NEGERI
30,20223552,SD NEGERI CIMUNING IV,Jl.utan Kalim Kp. Cimuning,CIMUNING,NEGERI
31,20254552,SD NEGERI CIMUNING V,Jl. murai 2 blok h,Cimuning,NEGERI
32,20222740,SD NEGERI MUSTIKA JAYA VI,Jl Asem Jaya V Rt 01/05 Mustikajaya Bekasi,Mustika Jaya,NEGERI
33,20222745,SD NEGERI MUSTIKAJAYA I,Jl. Mustikajaya Rt 01/20,MUSTIKAJAYA,NEGERI
34,20222744,SD NEGERI MUSTIKAJAYA II,Jl. Raya Mustikajaya Kp Ciketing,MUSTIKAJAYA,NEGERI
35,20222743,SD NEGERI MUSTIKAJAYA III,Jl Raya Mustikajaya,MUSTIKAJAYA,NEGERI
36,20222742,SD NEGERI MUSTIKAJAYA IV,Jl. BKKBN Rt.02/Rw.08 Kp. Ciketing,Mustika Jaya,NEGERI
37,20253870,SD NEGERI MUSTIKAJAYA VII,MGT Blok N 10 Rt.11/12,MUSTIKAJAYA,NEGERI
38,20222739,SD NEGERI MUSTIKASARI I,Jl. Raya Mustikasari,MUSTIKASARI,NEGERI
39,20222738,SD NEGERI MUSTIKASARI II,Jl. Raya Mandor Demong,Mustika Sari,NEGERI
40,20222737,SD NEGERI MUSTIKASARI III,Jl. Caringin Rt. 05/01,Mustika Sari,NEGERI
41,20222736,SD NEGERI MUSTIKASARI IV,Jl. Raya Mustikasari,MUSTIKASARI,NEGERI
42,20253939,SD NEGERI PADURENAN I,"Jl. Raya Bantargebang - Setu Km. 2,1",Padurenan,NEGERI
43,20222749,SD NEGERI PADURENAN II,Jl.Bantargebang - Setu Rt 03/01 No.7,Padurenan,NEGERI
44,20222762,SD NEGERI PADURENAN III,Kp. Kelapa Dua Rt. 02/07,PADURENAN,NEGERI
45,20222761,SD NEGERI PADURENAN IV,Jl. Telkom Kp. Cibitung Rt.001/005,PADURENAN,NEGERI
46,20222760,SD NEGERI PADURENAN V,Jl. Margiutami Rt02/10,PADURENAN,NEGERI
47,20222759,SD NEGERI PADURENAN VI,Jl. Zamrud Selatan 3,Padurenan,NEGERI
48,20270816,SD PRIMA SAKINAH,Jl. Umar RT.001/RW.09 Ciketing,Mustika Jaya,SWASTA
49,70001481,SD TAHFIDZ YARQI,Kp Ciketing Rawa Mulya Rt 002 Rw 002,Mustika Jaya,SWASTA
50,69946830,SDI BINA INSAN MANDIRI,KP KELAPA DUA RT 010 RW 007,Padurenan,SWASTA
51,20253903,SDI UMMUL QURO,Perum Mayang Pratama,Mustika Sari,SWASTA
52,69978922,SDIT AR RAHMAH,JL BENDA RT 001/001,Padurenan,SWASTA
53,69988637,SDIT ARKAN CENDEKIA,JL BAWANG RAYA NO. 62 RT 002 RW 008,Cimuning,SWASTA
54,69984907,SDIT BAHANA MANDIRI,KP KELAPA DUA RT 002/007,Padurenan,SWASTA
55,20231546,SDIT IHSAN LEGENDA,Dukuh Zamrud Selatan III Kota Legenda,PADURENAN,SWASTA
56,20222741,SDN MUSTIKA JAYA V,Jl. Rawa Muya RT 01/03,Mustikajaya,NEGERI
