
1,20278935,MTSS AL-HIDAYAH JATISERANG,Jl. Perwira No. 40 Rt.02 Rw. 01 Blok 1,Jatiserang,SWASTA
2,69867971,SD IT TAZKIA INSANI,JL. SILIWANGI NO.72 DESA JATIPAMOR,Jatipamor,SWASTA
3,20214119,SD NEGERI BANTRANGSANA,Desa Bantrangsana,BANTRANGSANA,NEGERI
4,20214384,SD NEGERI BONANG I,Jalan Raya Bonang,BONANG,NEGERI
5,20214394,SD NEGERI BONANG II,Jalan Samiaji,BONANG,NEGERI
6,20214417,SD NEGERI CIJUREY I,Jl. Raya Desa Cijurey,CIJUREY,NEGERI
7,20214416,SD NEGERI CIJUREY II,Jalan Raya Kepuh,CIJUREY,NEGERI
8,20214332,SD NEGERI JATIPAMOR I,Jl. Raya Siliwangi,Jatipamor,NEGERI
9,20246043,SD NEGERI JATISERANG I,Jalan Perwira,Jatiserang,NEGERI
10,20214346,SD NEGERI JATISERANG II,JL. DS JATISERANG,JATISERANG,NEGERI
11,20214326,SD NEGERI KARYAMUKTI I,Cipadung,Karyamukti,NEGERI
12,20214325,SD NEGERI KARYAMUKTI II,Kirapandak,KARYAMUKTI,NEGERI
13,20213767,SD NEGERI LEUWISEENG I,Jl. Desa Leuwiseeng,LEUWISEENG,NEGERI
14,20213766,SD NEGERI LEUWISEENG II,Dusun Buniasih,LEUWISEENG,NEGERI
15,20213765,SD NEGERI LEUWISEENG III,Jl. Leuwiseeng,LEUWISEENG,NEGERI
16,20213661,SD NEGERI PANYINGKIRAN I,Jl. Desa No. 1 Panyingkiran,Panyingkiran,NEGERI
17,20213729,SD NEGERI PASIRMUNCANG I,Jalan Desa Pasirmuncang,PASIRMUNCANG,NEGERI
18,69959887,SMK Al-Anwariyyah,Blok Parunggawul,Bonang,SWASTA
19,20247198,SMKN 1 PANYINGKIRAN,JL. KIRAPANDAK,Karyamukti,NEGERI
20,20247192,SMKS RISE MAJALENGKA,JL. SILIWANGI NO.08,Karyamukti,SWASTA
21,69888699,SMP IT AL-ANWARIYYAH,BLOK PARUNGGAWUL DESA BONANG,DESA BONANG,SWASTA
22,69864013,SMP IT TAZKIA INSANI,JL. SILIWANGI NO.72,Jatipamor,SWASTA
23,20213934,SMP NEGERI 1 PANYINGKIRAN,Jalan Raya Kec. Panyingkiran Kab. Majalengka,Karyamukti,NEGERI
24,20213939,SMP NEGERI 2 PANYINGKIRAN,Jln Raya Jatiserang,Jatiserang,NEGERI
