
1,69976310,MAHASINA,Jl. Masjid No. 50 RT 01 RW 07,Jatiwaringin,SWASTA
2,20277096,MAS AL BAROKAH,JL. JATI MAKMUR RAYA NO.22  KECAMATAN PONDOK GEDE  KOTA BEKASI  JAWA BARAT,Jatimakmur,SWASTA
3,69788175,MAS AL HASSAN,Jl. Jambu Ujung Rt/Rw. 03/011 Jatimakmur,Jatimakmur,SWASTA
4,20277097,MAS AL IHYA,JL. KEAHLIAN NO. 56 RT. 004/005,Jaticempaka,SWASTA
5,20277098,MAS AL KAHFI,JL. KEMANG SARI RAYA NO.1 RT. 003/011,-,SWASTA
6,20277099,MAS AL MARZUKIYAH,JL. RAYA KEMANG NO.12 JATICEMPAKA PONDOK GEDE KOTA BEKASI JAWA BARAT,Jatimakmur,SWASTA
7,20277102,MAS AL-IHSAN,JL. MASJID NURUL IHSAN NO.1,JATIWARINGIN,SWASTA
8,20277106,MAS ASSYAFIIYAH 02,JL. RAYA JATIWARINGIN NO 8,Jaticempaka,SWASTA
9,20277109,MAS FADLURRAHMAN,JL. RAYA JATIWARINGIN NO.3,-,SWASTA
10,69983493,MAS MAHASINA,JL. MASJID RAYA NO. 50 RT 01 RW 07 KEMANG JATIWARINGIN,Kec. Pondokgede,SWASTA
11,20277111,MAS MIFTAHUL AMAL,JL. ANTARA RT 05/019 JATIMAKMUR PONDOKGEDE,-,SWASTA
12,69993968,MI DARUL ULUM MUSTIKAJAYA,JL. LAPANGAN KP. BABAKAN RT001/03,,SWASTA
13,60709894,MIS AL IKHLAS,JL. MASJID AL IKHLAS BOJONG TUA,-,SWASTA
14,60709895,MIS AL MAGHFURIYAH,JL. GAMPRIT II RT 07 / RW 14,JATIWARINGIN,SWASTA
15,60709896,MIS AL MARZUKIYAH,JL. RAYA KEMANG NO 12,-,SWASTA
16,60709897,MIS ATTAQWA 27,JL. CELEPUK I/II RT 01 RW 12,JATI MAKMUR,SWASTA
17,60709898,MIS FADLURRAHMAN,JL. RAYA JATIWARINGIN NO: 3,-,SWASTA
18,60709899,MIS HUDAL ISLAM I,JL. MASJID HUDAL ISLAM RT 07 RW 001 JATIMAKMUR,-,SWASTA
19,60709900,MIS MA MUNUL HUDA,"Jl. Cempaka Molek, Rt. 06/04 No. 99 Jaticempaka - Pondok Gede Kota Bekasi 17416",Jaticempaka,SWASTA
20,60709901,MIS MIFTAHUL AMAL,JL. ANTARA RT. 05/19 JATIMAKMUR,-,SWASTA
21,60709902,MIS MIFTAHUL HIDAYAH,"JL. KEMANG SARI IV, RT.01/09",Jatibening,SWASTA
22,60709903,MIS NURUL HIKMAH,JATI MAKMUR RT 03 RW 07,-,SWASTA
23,60709904,MIS NURUL HUDA,JL. SETIA I RT. 009 / 018,-,SWASTA
24,60709905,MIS NURUL HUSNA,JL. KEMANG SARI 1 RT.001/011 NO.59,Jatibening Baru,SWASTA
25,60709906,MIS TARBIYATUL IMAN,JL KEMANG SARI RAYA NO.05 RT.002/011 JATIBENING BARU PONDOK GEDE KOTA BEKASI,-,SWASTA
26,60709907,MIS YAHYA,JL KEMANG SARI I NO: 74,JATI KRAHMAT,SWASTA
27,69993971,MTs GEMA ISLAMI,JL. JATI KRAMAT INDAH II RT 03/11,,SWASTA
28,20279656,MTSS AL BAROKAH,JL. JATI MAKMUR NO. 22  KECAMATAN PONDOK GEDE  KOTA BEKASI  JAWA BARAT,Jatimakmur,SWASTA
29,20279657,MTSS AL IHSAN,JL. MASJID NURUL IHSAN NO.1,Jatiwaringin,SWASTA
30,20279658,MTSS AL IHYA,JL. KEAHLIAN,Jaticempaka,SWASTA
31,20279659,MTSS AL KAHFI,JL. KEMANG SARI RAYA NO.1 RT.003/011,JATI BENING,SWASTA
32,20279660,MTSS AL MARZUKIYAH,JL.RAYA KEMANG NO.12 RT. 006/002 N0. 12 JATICEMPAKA PONDOK GEDE - BEKASI,-,SWASTA
33,20279661,MTSS AS SYAFI IYAH 03,JL. JATIWARINGIN RAYA NO. 08,-,SWASTA
