
1,69956175,I anatul Khoer,Kp. Nagrog RT 02 RW 01,Nagrog,SWASTA
2,69983485,MAS AL-KAUTSAR,JL. WANAYASA-BOJONG KM.03,Kec. Wanayasa,SWASTA
3,69883273,MAS Darul Ulum,Jl. Mesjid Al-Hikmah No. 03 Rt 12/04,-,SWASTA
4,20277273,MAS YPMI WANAYASA,Jl. Raya Barat No. 06 Wanayasa,-,SWASTA
5,20277274,MAS YPPA CIPULUS,Jl. Pesantren Cipulus,Nagrog,SWASTA
6,60709102,MIN 2 Purwakarta,Jl. Ciawi II Desa Ciawi RT. 07/02,Ciawi,NEGERI
7,60709103,MIS AL ASY ARIYAH,Jl.Raya E.Sulaeman Km.17,WANASARI,SWASTA
8,60709107,MIS AL- IZUDINIYAH,Kp. Cipulus RT. 07/03,NAGROG,SWASTA
9,60709104,MIS DARUL KHOER,Kp. Krajan,SIMPANG,SWASTA
10,60709105,MIS ISLAMIYAH,Kp.Krajan Rt.04/01,TARINGGUL TONGGOH,SWASTA
11,60709106,MIS NURUL HASANAH,Kp. Tanjaknangsi Rt. 008 Rw. 03,RAHARJA,SWASTA
12,20279193,MTSS DARUL ULUM,Jl. Mesjid Al-Hikmah No 03 Rt 12/03,-,SWASTA
13,20279194,MTSS MA ARIF NU,E. Sulaeman Km.17,-,SWASTA
14,69883319,MTSS Miftahul Hidayah,H. Bakar Rt. 12 Rw. 03,-,SWASTA
15,20279191,MTSS YPMI WANAYASA,Jalan Raya Barat No. 6,Wanayasa,SWASTA
16,20279192,MTSS YPPA CIPULUS,Jl. Pasantren,-,SWASTA
17,20229539,SD NEGERI 1 NANGERANG,Kp.Peuntas RT 08 RW 03 Jln Raya Wanayasa - Bojong,NANGERANG,NEGERI
18,20217468,SD NEGERI 1 TARINGGUL TONGGOH,Jl H. Khasan Rt.01 Rw.01,Taringgul Tonggoh,NEGERI
19,20217448,SD NEGERI 1 WANAYASA,Jl Pasar Timur No.30 RT 07 RW 03,Wanayasa,NEGERI
20,20217215,SD NEGERI 2 NANGERANG,Kp Peuntas Rt.08/03,Nangerang,NEGERI
21,20217207,SD NEGERI 2 TARINGGUL TONGGOH,Kp Peuntas Rt12 Rw 04,TARINGGUL TONGGOH,NEGERI
22,20217449,SD NEGERI 2 WANAYASA,Jl Abdul Jalil,Wanayasa,NEGERI
23,20217467,SD NEGERI SUKADAMI,Sukadami,Sukadami,NEGERI
24,20217646,SD NEGERI TARINGGUL TENGAH,Jl Rangga Jadi No. 48 RT 007 RW 003,Taringgul Tengah,NEGERI
25,20268741,SD PLUS AL ISLAM,Kp Cikadu Rt 01 Rw 01,Taringgul Tengah,SWASTA
26,69987035,SDIT AL-AKHYAR,Kp. Krajan RT 10/04,Wanayasa,SWASTA
27,20217713,SDN 1 BABAKAN,Jl Lapang Olah Raga Rt 12/05 Wanayasa Purwakarta,BABAKAN,NEGERI
28,20217419,SDN 1 CIBUNTU,JALAN DESA CIBUNTU,Cibuntu,NEGERI
29,20217447,SDN 1 WANASARI,Jl Raya E Sulaeman RT 02 RW 01,WANASARI,NEGERI
30,20217715,SDN 2 BABAKAN,Jl Lapang Olah Raga,Babakan,NEGERI
31,20217420,SDN 2 CIBUNTU,Jl Raya Cibuntu Rt05/Rw02,CIBUNTU,NEGERI
32,20217717,SDN 2 WANASARI,jl raya e. sulaeman RT 12 RW 04,WANASARI,NEGERI
33,20217450,SDN 3 WANAYASA,Jl. Syahbandar Kp. Krajan RT. 12 RW. 05,Wanayasa,NEGERI
34,20217753,SDN CIAWI,Kp Ciawi,Ciawi,NEGERI
35,20217437,SDN LEGOKHUNI,Jalan Raya Legokhuni Rt.06/02,Legokhuni,NEGERI
36,20217660,SDN NAGROG,Nagrog,NAGROG,NEGERI
37,20217256,SDN RAHARJA,Jl. Desa Raharja Rt 02/01 Kp Raharja,Raharja,NEGERI
38,20217214,SDN SAKAMBANG,Kp Sakambang Rt 01/01,SAKAMBANG,NEGERI
39,20217476,SDN SUMURUGUL,Kp.Tegalpari Rt.08/03,Sumurugul,NEGERI
40,69990973,SMA AL BADAR,Jl. Pesantren Kp. Cipulus RT07/03 Purwakarta,Nagrog,SWASTA
41,20217360,SMAN 1 WANAYASA,JL. RAYA WANASARI,Wanasari,NEGERI
42,69857917,SMK AL-BADAR,KP. CIPULUS DS. NAGROG,NAGROG,SWASTA
43,20271276,SMKS MADQA IQLIMA,JL. Raya E.Sulaeman Km.17 Wanayasa,Wanasari,SWASTA
44,69946806,SMP AL-BADAR CIPULUS,KP. CIPULUS RT 07/03,Nagrog,SWASTA
45,69949994,SMP ISLAM AL-KAUTSAR,Jl. Wanayasa - Bojong Km 3,Simpang,SWASTA
46,20229728,SMP NEGERI 1 WANAYASA,Jl. Raya Timur No. 164 - Wanayasa,WANAYASA,NEGERI
47,20229619,SMP NEGERI 2 WANAYASA,Jl. Raya Sukadami - Wanayasa,SUKADAMI,NEGERI
48,20269980,SMP NEGERI SATU ATAP CIAWI,JL.Raya Desa Ciawi RT 04/01,Ciawi,NEGERI
49,69849561,SMPN SATU ATAP TERPADU NAGROG,JL. Ds. NAGROG,NAGROG,NEGERI
