
1,69853424,Al Falah,JL. LETJEN R. SOEPRAPTO NO. 79 A,,SWASTA
2,60728101,MAN 2 GROBOGAN,"JL. PILANGKIDUL GUBUG, KEC. GUBUG KAB. GROBOGAN",Gubug,NEGERI
3,20362905,MAS FUTUHIYAH,JL. RAYA NO. 02 JEKETRO,Jeketro,SWASTA
4,20362908,MAS YAFALAH,"JL. PERHUTANI NO.01 GINGGANGTANI,",-,SWASTA
5,20362906,MAS YASPIA,KAUMAN NO.2B NGROTO,Ngroto,SWASTA
6,60711970,MIN 1 GROBOGAN,JL.R.SUPRAPTO NO.79,Kuwaron,NEGERI
7,60711972,MIS ABDURROHMAN KEMIRI,DESA KEMIRI RT 04 RW II,Kemiri,SWASTA
8,60711971,MIS MIFTAHUL ISLAM RINGINHARJO,RINGINHARJO RT 01/02,Ringinharjo,SWASTA
9,60711973,MIS YAUMI,JL. KAUMAN 03/22 RINGINHARJO GUBUG GROBOGAN,Ringinharjo,SWASTA
10,69853426,MTs Utsmaniyyah,Jalan Kauman No. 01,,SWASTA
11,20363885,MTSN 1 GROBOGAN,JL. RAYA JEKETRO - GUBUG,Jeketro,NEGERI
12,20363888,MTSS MIFTAHUL MUBTADIIN TAMBAKAN,JLN. MASJID NO. 6,TAMBAKAN,SWASTA
13,20363887,MTSS SABILURRAHMAN,JL. KAUMAN 03/22 RINGINHARJO,RINGINHARJO,SWASTA
14,20363886,MTSS YAFALAH GINGGANGTANI,JL.PERHUTANI NO.01 GINGGANGTANI GUBUG GROBOGAN JAWA TENGAH,GINGGANGTANI,SWASTA
15,20363889,MTSS YASPIA NGROTO,JL. KAUMAN NO. 2B NGROTO,NGROTO,SWASTA
16,69984143,SD ISLAM NUSANTARA,Kp. Mekarsari RT. 04 RW. 07 Ds. Kuwaron Kec. Gubug,Kuwaron,SWASTA
17,20314077,SD NEGERI 1 BATURAGUNG,Batur Agung,BATUR AGUNG,NEGERI
18,20314087,SD NEGERI 1 GINGGANG TANI,Jl.perhutani,Ginggangtani,NEGERI
19,20314204,SD NEGERI 1 GUBUG,Jl. Bhayangkara No.30,GUBUG,NEGERI
20,20314180,SD NEGERI 1 JEKETRO,Jalan Raya Jeketro-Gubug KM 7,JEKETRO,NEGERI
21,20314144,SD NEGERI 1 KEMIRI,Kemiri,KEMIRI,NEGERI
22,20314168,SD NEGERI 1 KUNJENG,Kunjeng,KUNJENG,NEGERI
23,20314166,SD NEGERI 1 KUWARON,Jl.r.suprapto No.37,KUWARON,NEGERI
24,20314540,SD NEGERI 1 MLILIR,Ds. Mlilir,Mlilir,NEGERI
25,20314558,SD NEGERI 1 Ngroto,Ds. Ngroto,Ngroto,NEGERI
26,20314548,SD NEGERI 1 PENADARAN,Penadaran,PENADARAN,NEGERI
27,20314503,SD NEGERI 1 PRANTEN,Pranten,Pranten,NEGERI
28,20314510,SD NEGERI 1 RINGIN HARJO,Ringin Harjo,RINGIN HARJO,NEGERI
29,20314523,SD NEGERI 1 Rowosari,Ds. Rowosari,Rowosari,NEGERI
30,20314522,SD NEGERI 1 Saban,Jln. Tungu No. 11 Saban,Saban,NEGERI
31,20314611,SD NEGERI 1 TAMBAKAN,Tambakan,Tambakan,NEGERI
32,20314630,SD NEGERI 1 TLOGOMULYO,Jln.Raya Tlogomulyo - Gubug Km 9,Tlogomulyo,NEGERI
33,20314602,SD NEGERI 2 BATUR AGUNG,Batur Agung,Baturagung,NEGERI
34,20314388,SD NEGERI 2 GINGGANG TANI,Ginggang Tani,GINGGANG TANI,NEGERI
35,20314383,SD NEGERI 2 GUBUG,Jln. A Yani no. 165 Gubug,GUBUG,NEGERI
36,20314408,SD NEGERI 2 Jeketro,Ds. Jeketro,Jeketro,NEGERI
37,20314346,SD NEGERI 2 KUWARON,Jl.Letjend. R.  Suprapto,Kuwaron,NEGERI
38,20314462,SD NEGERI 2 MLILIR,Mlilir,MLILIR,NEGERI
39,20314479,SD NEGERI 2 NGROTO,Ngroto,NGROTO,NEGERI
40,20338029,SD NEGERI 2 PENADARAN,Penadaran,PENADARAN,NEGERI
41,20338063,SD NEGERI 2 TAMBAKAN,Tambakan,TAMBAKAN,NEGERI
42,20338080,SD Negeri 2 Tlogomulyo,Ds. Tlogomulyo,Tlogomulyo,NEGERI
43,20313662,SD NEGERI 2 Trisari,Ds. Trisari,Trisari,NEGERI
44,20313679,SD NEGERI 3 BATUR AGUNG,Batur Agung,BATUR AGUNG,NEGERI
45,20313764,SD NEGERI 3 GINGGANGTANI,Ginggangtani,Ginggangtani,NEGERI
46,20313759,SD NEGERI 3 GUBUG,Jl.KH. Hasan Anwar No 55,GUBUG,NEGERI
47,20313741,SD NEGERI 3 MLILIR,Ds Mlilir gubuk 58164,MLILIR,NEGERI
48,20338025,SD NEGERI 3 NGROTO,Ds. Ngroto,Ngroto,NEGERI
49,20338030,SD NEGERI 3 PENADARAN,Penadaran,PENADARAN,NEGERI
50,20313582,SD NEGERI 3 TLOGO MULYO,Tlogo Mulyo,TLOGO MULYO,NEGERI
51,20313645,SD NEGERI 4 Gubug,Ds. Gubug,Gubug,NEGERI
52,20313591,SD NEGERI 4 KUWARON,Jl. R. Suprapto No. 68,Kuwaron,NEGERI
53,20313987,SD NEGERI 5 GUBUG,Jl. A Yani No.40 Gubug,GUBUG,NEGERI
54,20313959,SD NEGERI 7 Gubug,JL WR SUPRATMAN 32 GUBUG,GUBUG,NEGERI
55,20313947,SD NEGERI GELAPAN,Gelapan,GELAPAN,NEGERI
56,20314044,SD NEGERI Jatipecaron,Ds. Jatipecaron,Jatipecaron,NEGERI
57,20314009,SD NEGERI PAPAN REJO,Papan Rejo,GUBUG,NEGERI
58,20314005,SD NEGERI RINGINKIDUL,Ringinkidul,RINGINKIDUL,NEGERI
59,20338085,SD NEGERI TRISARI,TRISARI,TRISARI,NEGERI
60,20350710,SDIT Al Firdaus Gubug,Jl. Pemuda No 29 B,Gubug,SWASTA
61,20313849,SMAN 1 GUBUG,JL. A. YANI 171 GUBUG,Gubug,NEGERI
62,20331036,SMAS KELUARGA GUBUG,JL. A. YANI NO. 1 GUBUG,Gubug,SWASTA
63,20313829,SMAS MUHAMMADIYAH GUBUG,JL. PEMUDA NO. 92  GUBUG,Gubug,SWASTA
64,20313854,SMAS YASIHA GUBUG,JL. K.H. HASAN ANWAR NO.9,Gubug,SWASTA
65,69895347,SMK MIFTAHUL HUDA NGROTO,JL. KAUMAN NO. 10A NGROTO KEC. GUBUG,Ngroto,SWASTA
66,20313825,SMKS BINA NEGARA GUBUG,JL. KH. HASAN ANWAR 9 GUBUG KAB. GROBOGAN,Gubug,SWASTA
67,20338341,SMKS DARUL FALAH GUBUG,KAUMAN I NO.03 RINGINHARJO,Ringinharjo,SWASTA
68,20313802,SMKS MUHAMMADIYAH GUBUG,JL. PEMUDA NO. 92 GUBUG KAB. GROBOGAN,Gubug,SWASTA
69,20313796,SMKS NUSANTARA GUBUG,JL. LET.JEN.R.SUPRAPTO GUBUG KAB. GROBOGAN,Kuwaron,SWASTA
70,20360940,SMKS YAFALAH GUBUG,Jalan Muh Urip No 7 RT 3 RW III,Ginggangtani,SWASTA
71,20313793,SMKS YASIHA GUBUG,JL. SUHADA NO. 100 GUBUG KAB. GROBOGAN,Gubug,SWASTA
72,69964727,SMP IT AL FIRDAUS GUBUG,Jl. Pemuda No. 29 Gubug,Gubug,SWASTA
73,20331032,SMP KELUARGA,Jln.Bhayangkara No.63,Gubug,SWASTA
74,20313909,SMP MUHAMMADIYAH GUBUG,Jl. Pemuda No 92 Gubug,Kuwaron,SWASTA
75,20313919,SMP NEGERI 1 GUBUG,Jl. R. Suprapto No. 71 Gubug,Kuwaron,NEGERI
76,20313865,SMP NEGERI 2 GUBUG,Jalan Raya Jeketro,Jeketro,NEGERI
77,20313886,SMP Negeri 3 Gubug,Baturagung,BATURAGUNG,NEGERI
78,20347436,SMP NEGERI 4 Satu Atap Gubug,Desa Penadaran Kecamatan Gubug,Penadaran,NEGERI
79,20313906,SMP NUSANTARA 1 GUBUG,Jl. Bandarsari No.38 Gubug,Gubug,SWASTA
80,20313905,SMP NUSANTARA 2 GUBUG,Jl.Pasar Raya Tlogomulyo,TLOGOMULYO,SWASTA
81,20313926,SMP YASIHA GUBUG,Jalan Suhada No 100 Gubug,Gubug,SWASTA
82,69894829,utsmaniyyah,Abdur rohman ganjur no 01 Desa Ngroto,-,SWASTA
