
1,20363079,MAS NU HASYIM ASYARI 3 KUDUS,JL. KEBUN JERUK NO.35 HONGGOSOCO RT.5/RW.1  JEKULO - KUDUS (59382),Honggosoco,SWASTA
2,20363080,MAS NU NURUL ULUM,JL. KAUMAN NO. 7 JEKULO KUDUS,Jekulo,SWASTA
3,20363081,MAS NU RAUDLATUT THOLIBIN,JL. SIDOMULYO RT. 1 RW. 2,Sidomulyo,SWASTA
4,20363078,MAS NU WAHID HASYIM SALAFIYAH,JL. RAYA KUDUS-PATI NO. 538,Jekulo,SWASTA
5,60712374,MIS AL YASINIYAH,JL.SEWONEGORO GG 5 NO 235 RT.3 RW.XI,Jekulo,SWASTA
6,60712379,MIS NU AL FALAH,TANJUNGREJO RT 03 RW 04 JEKULO KUDUS,Tanjung Rejo,SWASTA
7,60712370,MIS NU MAFATIHUL ULUM,JL. SELALANG,Tanjung Rejo,SWASTA
8,60712375,MIS NU MASLAKUL FALAH,"KLALING KAMBANG RT 03 RW 03, KLALING  JEKULO KUDUS 59382",Klaling,SWASTA
9,60712371,MIS NU MASLAKUL HUDA,JL. SILIWANGI RT:3 RW:7 JEKULO KUDUS  59382,Jekulo,SWASTA
10,60712372,MIS NU MATHOLIUL HUDA,BARENG CEMPLING RT 4 RW 3,Hadipolo,SWASTA
11,60712376,MIS NU MIFTAHUL HUDA,JL.DESA BULUNGKULON RT.05 RW.III,Bulung Kulon,SWASTA
12,60712378,MIS NU MIFTAHUL ULUM 01,Jl. Kebun Jeruk No.64 Rt 01 Rw 02,Honggosoco,SWASTA
13,60712381,MIS NU MIFTAHUL ULUM 02,JL.KEBUNJERUK NO.64 HONGGOSOCO RT.01RW.02,Honggosoco,SWASTA
14,69927743,MIS NU QUR`ANI KARMAINI,Dukuh Tompe RT 03 RW 01,Gondoharum,SWASTA
15,60712373,MIS NU RAUDLATUT THOLIBIN,JL. GEMPOLSONGO SIDOMULYO 3/II JEKULO KUDUS,Sidomulyo,SWASTA
16,60712377,MIS NU SALAFIYAH,JL. Kudus-Pati Km.14 RT.09 RW.III,Gondoharum,SWASTA
17,60712380,MIS NU TAMRINUSH SHIBYAN,JL.BALAIDESA PLADEN RT.01 RW.II,Pladen,SWASTA
18,20364172,MTSS NU AL-FALAH,RT 04 RW 10 JL TANJUNGREJO,Tanjung Rejo,SWASTA
19,20364166,MTSS NU HASYIM ASY`ARI 03 KUDUS,DESA HONGGOSOCO RT.5 / RW.1 KECAMATAN JEKULO KABUPATEN KUDUS,Honggosoco,SWASTA
20,20364171,MTSS NU IHYAUL ULUM,JL. DESA GONDOHARUM RT 01 RW 01,Gondoharum,SWASTA
21,20364167,MTSS NU MIFTAHUL HUDA,JL BULUNGKULON RT 04 RW 03 JEKULO KUDUS,Bulung Kulon,SWASTA
22,20364168,MTSS NU NURUL ULUM,JL. PANTISARI NO.3 RT 2  RW IX,Jekulo,SWASTA
23,20364170,MTSS NU RAUDLATUT THOLIBIN,JL. SIDOMULYO RT 01 RW 02,Sidomulyo,SWASTA
24,20364169,MTSS NU WAHID HASYIM SALAFIYAH,JL. RAYA KUDUS - PATI NO. 538,Jekulo,SWASTA
25,20317996,SD 1 BULUNGCANGKRING,Bulungcangkring Rt 3 Rw 3,BULUNGCANGKRING,NEGERI
26,20317983,SD 1 BULUNGKULON,Bulungkulon Rt04 Rw02,BULUNGKULON,NEGERI
27,20318079,SD 1 GONDOHARUM,Jalan Raya Kudus Pati Km 14,GONDOHARUM,NEGERI
28,20318075,SD 1 HADIPOLO,Hadipolo,Hadipolo,NEGERI
29,20318074,SD 1 HONGGOSOCO,Honggosoco,Honggosoco,NEGERI
30,20318058,SD 1 JEKULO,JALAN PANDEAN NO. 01 JEKULO,Jekulo,NEGERI
31,20318049,SD 1 KLALING,Klaling Rt03 Rw05,Klaling,NEGERI
32,20317886,SD 1 PLADEN,Pladen,Pladen,NEGERI
33,20317889,SD 1 SADANG,Sadang Rt 04/RwI Jekulo Kudus,Sadang,NEGERI
34,20317907,SD 1 SIDOMULYO,"Desa Sidomulyo, RT 01 RW 2",Sidomulyo,NEGERI
35,20317902,SD 1 TANJUNGREJO,Tanjungrejo Rt 1 Rw V,Tanjungrejo,NEGERI
36,20317935,SD 1 TERBAN,Terban Rt05 Rw05,TERBAN,NEGERI
37,20317975,SD 2 BULUNGCANGKRING,"Jl. Siliwangi No. 6, RT. 01 RW. 03",Bulungcangkring,NEGERI
38,20317974,SD 2 BULUNGKULON,Bulungkulon,Bulung Kulon,NEGERI
39,20317937,SD 2 GONDOHARUM,Gondoharum,Gondoharum,NEGERI
40,20317957,SD 2 HADIPOLO,Jl. Argopuro Rt 4/1,Hadipolo,NEGERI
41,20317956,SD 2 HONGGOSOCO,Honggosoco Rt.02 Rw.03,Honggosoco,NEGERI
42,20317952,SD 2 JEKULO,Jalan Pandean No 27 Jekulo,Jekulo,NEGERI
43,20317428,SD 2 KLALING,Klaling Rt02 Rw02,KLALING,NEGERI
44,20317464,SD 2 SADANG,Sadang,Sadang,NEGERI
45,20317460,SD 2 SIDOMULYO,SIDOMULYO RT 05 RW 01,Sidomulyo,NEGERI
46,20317479,SD 2 TANJUNGREJO,Tanjungrejo,TANJUNGREJO,NEGERI
47,20317476,SD 2 TERBAN,Jl. Kancilan RT 02 / RW 05,Terban,NEGERI
48,20317443,SD 3 BULUNGCANGKRING,JL. BUYUT SIPAH BULUNGCANGKRING RT 03 RW IX,BULUNGCANGKRING,NEGERI
49,20317445,SD 3 BULUNGKULON,Bulungkulon,Bulung Kulon,NEGERI
50,20317319,SD 3 HADIPOLO,Hadipolo Rt 5/5,Hadipolo,NEGERI
51,20317315,SD 3 JEKULO,JL. PANDEAN NO 14 RT. 01 / RW. 03,Jekulo,NEGERI
52,20317296,SD 3 KLALING,Klaling Rt02 Rw03,KLALING,NEGERI
53,20317369,SD 3 PLADEN,Pladen Rt 3/3,Pladen,NEGERI
54,20317373,SD 3 SADANG,"Sadang, Rt.04/01",Sadang,NEGERI
55,20317377,SD 3 TERBAN,Terban Rt 05 Rw 05,Terban,NEGERI
56,20317341,SD 4 BULUNGCANGKRING,"BULUNG CANGKRING RT3/RW6, JEKULO",BULUNG CANGKRING,NEGERI
57,20317340,SD 4 BULUNGKULON,Bulungkulon Rt 4/2,Bulung Kulon,NEGERI
58,20317358,SD 4 GONDOHARUM,Gondoharuh Rt 8 Rw 1,Gondoharum,NEGERI
59,20317354,SD 4 HADIPOLO,Hadipolo Rt 2/5,Hadipolo,NEGERI
60,20317353,SD 4 HONGGOSOCO,Honggosoco Rt03 Rw04,Honggosoco,NEGERI
61,20317351,SD 4 JEKULO,Jl Kh Ali Sanusi Jekulo Kudus,Jekulo,NEGERI
62,20317604,SD 4 KLALING,Klaling Rt05 Rw01,KLALING,NEGERI
63,20317587,SD 4 PLADEN,Pladen Rt 4/4,Pladen,NEGERI
64,20317590,SD 4 SADANG,Sadang,Sadang,NEGERI
65,20317596,SD 4 TERBAN,Terban Rt01 Rw07,Terban,NEGERI
66,20317592,SD 5 BULUNGCANGKRING,BULUNGCANGKRING RT 03 RW 06,BULUNGCANGKRING,NEGERI
67,20317659,SD 5 GONDOHARUM,Gondoharum Rt 3 Rw 4,Gondoharum,NEGERI
68,20317656,SD 5 HADIPOLO,Hadipolo Rt 3/2,Hadipolo,NEGERI
69,20317655,SD 5 HONGGOSOCO,Honggosoco Rt 5/5,Honggosoco,NEGERI
70,20317654,SD 5 JEKULO,Jl Siliwangi No 255,JEKULO,NEGERI
71,20317672,SD 5 KLALING,Klaling Rt05 Rw04,KLALING,NEGERI
72,20317633,SD 6 BULUNGCANGKRING,Jalan Pasar Puri,BULUNGCANGKRING,NEGERI
73,20317632,SD 6 BULUNGKULON,Bulung Kulon,Bulung Kulon,NEGERI
74,20317637,SD 6 HADIPOLO,Hadipolo Rt 4/4,Hadipolo,NEGERI
75,20317638,SD 6 HONGGOSOCO,Honggosoco Rt 5 Rw II,Honggosoco,NEGERI
76,20317639,SD 6 JEKULO,Jl Hastrodirono No 94,Jekulo,NEGERI
77,20317642,SD 6 TANJUNGREJO,Tanjungrejo Rt 01 Rw VI,Tanjung Rejo,NEGERI
78,20317641,SD 6 TERBAN,Terban Rt 3/1,Terban,NEGERI
79,20317640,SD 7 BULUNGCANGKRING,Jalan Pasar Puri Rt 03 Rw 10,Bulung Cangkring,NEGERI
80,20317627,SD 7 BULUNGKULON,Bulungkulon RT 04 RW 07,Bulung Kulon,NEGERI
81,20317514,SD 7 GONDOHARUM,Jalan Kudus Pati Km 14 Kudus,Gondoharum,NEGERI
82,20317512,SD 7 HADIPOLO,Hadipolo Rt 9/1,Hadipolo,NEGERI
83,20317509,SD 7 TANJUNGREJO,Tanjungrejo Rt 4 Rw 3,Tanjung Rejo,NEGERI
84,20317518,SD 8 TANJUNGREJO,Tanjungrejo Rt 5 Rw 1,Tanjung Rejo,NEGERI
85,20317526,SD 9 TANJUNGREJO,Tanjung Rejo RT 01 RW 08,Tanjung Rejo,NEGERI
86,20362021,SDIT ROHMATUL UMMAH,HASTRODIRONO NO. 40 PULUTAN,Jekulo,SWASTA
87,20317493,SMAN 1 JEKULO KUDUS,JL. RAYA KUDUS PATI KM 10 NO 34,Klaling,NEGERI
88,20360962,SMKS MUHAMMADIYAH PONPES KUDUS,KUDUS-PATI KM. 14,Gondoharum,SWASTA
89,20350570,SMKS NU MAARIF 2 KUDUS,JL. SILIWANGI GANG 1 NO. 99 JEKULO KUDUS,Jekulo,SWASTA
90,20353824,SMKS ROHMATUL UMMAH,JL. PANDEAN NO. 230 JEKULO KUDUS,Jekulo,SWASTA
91,20341329,SMP IT ROHMATUL UMMAH,Kampung Baladil Amin Pulutan RT 03 / RW 05,Jekulo,SWASTA
92,20317538,SMP NEGERI 1 JEKULO,Jl. Raya Jekulo Kudus,Hadipolo,NEGERI
93,20317541,SMP NEGERI 2 JEKULO,Tanjungrejo,Tanjungrejo,NEGERI
94,20317546,SMP NEGERI 3 JEKULO,Jl. Kudus-Pati KM.14,Gondoharum,NEGERI
