
1,20363026,MAS AL IMAN,JL. TENTARA PELAJAR NO. 27,Kemirirejo,SWASTA
2,20364808,MTSS AL IMAN,JL. TENTARA PELAJAR NO. 27,Kemirirejo,SWASTA
3,20327630,SD BUNDA WACANA,Jl Medang No 4,Rejowinangun Utara,SWASTA
4,20331957,SD ISLAM AL IMAN,Jl Sriwijaya 131 Magelang,Rejowinangun Utara,SWASTA
5,20327628,SD KANISIUS PENDOWO,Jl. Laksda Yos Sudarso Magelang,Magelang,SWASTA
6,20327618,SD KRISTEN 1,Jl. Pajajaran no.35 RT.I / RW.IV,Kemirirejo,SWASTA
7,20327619,SD KRISTEN 2,Jl A Yani No. 30 Magelang,Gelangan,SWASTA
8,20327620,SD KRISTEN INDONESIA,Gang Raharjo No. 6,Kemirirejo,SWASTA
9,20331958,SD N CACABAN 4,Jl. Mayjend Sutoyo No. 34,Cacaban,NEGERI
10,20327625,SD NEGERI CACABAN 1,Jalan Mayjend DI Panjaitan No. 10,Cacaban,NEGERI
11,20327627,SD NEGERI CACABAN 5,Jl Kyai Mojo No. 34,Cacaban,NEGERI
12,20327643,SD NEGERI CACABAN 6,Jl Mayjen D I Panjaitan nO.10,Cacaban,NEGERI
13,20327645,SD NEGERI GELANGAN 1,Jl. Waringin No 613 Magelang,Gelangan,NEGERI
14,20327661,SD NEGERI GELANGAN 24,Jln. Abimanyu No. 149,Gelangan,NEGERI
15,20327644,SD NEGERI GELANGAN 3,Pasar Tela,Gelangan,NEGERI
16,20327662,SD NEGERI GELANGAN 5,Jalan dr. Koesen Hirohoesodo Timur No 227,Gelangan,NEGERI
17,20327663,SD NEGERI GELANGAN 6,Jalan dr. Koesen Hirohoesodo Timur No 227,Gelangan,NEGERI
18,20327664,SD NEGERI GELANGAN 7,Jl. Telaga Warna No. 26,Gelangan,NEGERI
19,20327660,SD NEGERI KEMIRIREJO 1,Jln. Tentara Pelajar 110 B,Kemirirejo,NEGERI
20,20327658,SD NEGERI KEMIRIREJO 3,Jl Panembahan Senopati No 18,Kemirirejo,NEGERI
21,20327649,SD NEGERI MAGELANG 3,Jl. Alibasah Sp No. 4 Magelang,MAGELANG,NEGERI
22,20327650,SD NEGERI MAGELANG 4,Jl Pahlawan No. 41,Magelang,NEGERI
23,20327651,SD NEGERI MAGELANG 5,Jl Pahlawan No 41B Magelang,MAGELANG,NEGERI
24,20327652,SD NEGERI MAGELANG 6,Jl Pahlawan 21,Magelang,NEGERI
25,20327573,SD NEGERI REJOWINANGUN UTARA 1,Jl Telaga Sarangan 91,REJOWINANGUN UTARA,NEGERI
26,20327574,SD NEGERI REJOWINANGUN UTARA 2,Jl. Sri Wijaya Malanggaten,Rejowinangun Utara,NEGERI
27,20327575,SD NEGERI REJOWINANGUN UTARA 3,Paten Jurang,Rejowinangun Utara,NEGERI
28,20327576,SD NEGERI REJOWINANGUN UTARA 4,Jl. Rawa Pening Paten Jurang,Rejowinangun Utara,NEGERI
