
1,20362964,MAS AN-NAWAWIYAH,"JL. K. NAWAWI KM. 1,5 RT 20/04 SINANGGUL",Sinanggul,SWASTA
2,20362963,MAS MAFTAHUL FALAH,JL. JEPARA BANGSRI KM. 08 RT 30/06,Sinanggul,SWASTA
3,20362962,MAS MATHALIBUL HUDA MLONGGO,JL. JEPARA - BANGSRI KM. 09,Jambu,SWASTA
4,69955736,MAS Nawa Kartika,Jl. Jepara-Bangsri Km.11,Sekuro,SWASTA
5,60712565,MIS AL HIDAYAH,JL. K. NAWAWI DESA SINANGGUL  RT.14 RW.03,Sinanggul,SWASTA
6,69727503,MIS AL ISLAM SEKURO,Jl. Pantai Blebak RT 33 RW 07 Sekuro,Sekuro,SWASTA
7,60712571,MIS AN NUR,"JL. PAKIS ADHI, KM.1.5 SUWAWAL RT. 6/4 MLONGGO JEPARA",Suwawal,SWASTA
8,60712561,MIS DARUL HUDA 01 KARANGGONDANG,JL. MLONGGO BONDO KM. 3 DESA KARANGGONDANG,Karanggondang,SWASTA
9,60712562,MIS DARUL HUDA 02 KARANGGONDANG,JL.KH.SHOBIRIN DESA KARANGGONDANG RT.03 RW.02,Karanggondang,SWASTA
10,60712568,MIS DARUL HUDA 3,JL. MPURANCAK KM. 1 KARANGGONDANG,-,SWASTA
11,60712570,MIS DARUN NAJAH SROBYONG,JLKAUMAN DESA SROBYONG RT.04 RW.02,Srobyong,SWASTA
12,60712559,MIS I`ANATUT THOLIBIN,Jl. Mawar RT. 18 RW. 04 Dukuh Segebug,Jambu Timur,SWASTA
13,60712566,MIS ISLAMIYAH SUWAWAL,JL. KH. ABU HASAN KM. 02 DESA SUWAWAL RT.04 RW.03,Suwawal,SWASTA
14,60712557,MIS MATHOLIBUL HUDA,JL. JEPARA - BANGSI KM.09 DESA JAMBU,Jambu,SWASTA
15,60712569,MIS MATHOLIUNNAJAH SINANGGUL 04,DESA SINANGGUL RT.05 RW.01,Sinanggul,SWASTA
16,60712564,MIS MIFTAHUL FALAH SINANGGUL,DESA SINANGGUL RT 28 / RW 05,Sinanggul,SWASTA
17,60712563,MIS MIFTAHUL HUDA 01 SINANGGUL,JL. PEMUDA NO.01 RT.37 RW.07 SINANGGUL,Sinanggul,SWASTA
