
1,20584667,MAS AL HIDAYAH ARJASA,KOMPLEK PP.AL HIDAYAH ARJASA,Arjasa,SWASTA
2,60720209,MIS AL AMIN,DUSUN AENG BERO DESA KOLO-KOLO,-,SWASTA
3,60720210,MIS AL AMIN,DUSUN KARPOTE DESA KALINGANYAR,Kalinganyar,SWASTA
4,60720211,MIS AL BAROKAH,DUSUN BINTENG BARU DESA SAMBAKATI,-,SWASTA
5,60720214,MIS AL KHAWATIM,PANDEMAN,Pandeman,SWASTA
6,60720215,MIS AL WASILAH,JL. KALISANGKA DESA KALISANGKA,-,SWASTA
7,60720232,MIS AL WATHONIYAH,JL. KATAPANG DESA KOLO-KOLO,-,SWASTA
8,60720212,MIS AL-HIDAYAH,JL. AL-HIDAYAH ARJASA,-,SWASTA
9,60720213,MIS AL-KHAIRIYAH,DSN. PATEREMAN DESA ANGKATAN,-,SWASTA
10,60720216,MIS AR RAHMAN,DUSUN SAGUBING DESA BUDDI,-,SWASTA
11,60720217,MIS AR RAHMAN,DUSUN BERANGASEH DESA ANGKATAN,-,SWASTA
12,60720218,MIS ASY SYUHADA,JL. ASY SYUHADA,Buddi,SWASTA
13,60720219,MIS DARUL HAYAT,DUSUN PAJEN DESA PAJANANGGER,-,SWASTA
14,60720220,MIS MABDAUL ISLAM,DUSUN SETEMBENG DESA BUDDI,Buddi,SWASTA
15,60720221,MIS MAMBAUL ULUM,JL. RAYA ARJASA DESA ARJASA,-,SWASTA
16,60720222,MIS MIFTAHUL HUDA,DUSUN SONGLOR DESA GELAMAN,-,SWASTA
17,69983042,MIS NURUL HIDAYAH,JL. KENARI INDAH,Kec. Arjasa,SWASTA
18,60720223,MIS NURUL HIKMAH,JLN. AENG LARANGAN DESA KOLO-KOLO,-,SWASTA
19,60720224,MIS NURUL HUDA,JLN. RAYA BILIS-BILIS DESA BILIS-BILIS,-,SWASTA
20,60720225,MIS NURUL HUDA,KOLO-KOLO,-,SWASTA
21,60720226,MIS NURUL ISLAM,JL. RAYA LAOK JANG-JANG,-,SWASTA
22,60720227,MIS NURUS SHOLIHIN,JL. RAYA BATU GULOK DESA BILIS-BILIS,-,SWASTA
23,60720228,MIS RAUDLATUL JANNAH,DUSUN LAOK SONGAI DESA ANGKATAN,-,SWASTA
24,60720229,MIS RAUDLATUL MUSLIM,DUSUN LABBUAN BERO DESA PAJANANGGER,-,SWASTA
25,60720230,MIS WADIL QURA,JL. RAYA PABIAN DESA PABIAN,-,SWASTA
26,60720231,MIS ZAINUL HUDA,JL. RAYA DUKO DESA DUKO,-,SWASTA
27,20583507,MTSS AL HIDAYAH,JL. RAYA AL HIDAYAH ARJASA KANGEAN SUMENEP,-,SWASTA
28,20583508,MTSS AL-WATHANIYAH,JL. KATAPANG KOLO-KOLO ARJASA,Kolo Kolo,SWASTA
29,20583509,MTSS AR-RAHMAN,DESA ANGKATAN ARJASA,-,SWASTA
30,20583510,MTSS DARUL FALAH ARJASA,JL. RAYA PERHUTANI SAWAH SUMUR ARJASA KANGEAN,-,SWASTA
31,20583511,MTSS MAMBAUL ULUM,JL. RAYA ARJASA DESA ARJASA,-,SWASTA
32,20583512,MTSS NURUL FATAH,DUSUN KARANG LOAR DESA BILIS-BILIS,Bilis Bilis,SWASTA
33,20583506,MTSS NURUL ULUM,JL. BATANG PUTIH DS. PAJANANGGER,-,SWASTA
34,20583514,MTSS NURUL YAKIN,DESA GELAMAN KEC. ARJASA KAB. SUMENEP,Gelaman,SWASTA
35,20583513,MTSS YPPMI,KOMPLEK AT TAQWA KALIKATAK KEC. ARJASA KAB. SUMENEP,Kalikatak,SWASTA
36,20577776,SD ISLAM AL-ISHLAH,Dusun Patereman RT.006 RW.003,Angkatan,SWASTA
37,69984094,SD MUHAMMADIYAH KANGEAN,Jl. Raya Paseraman,Paseraman,SWASTA
38,20529625,SD N ANGKATAN IV,Angkatan,Angkatan,NEGERI
39,20529629,SD N ARJASA II,Jl.Aeng Parao Arjasa,Arjasa,NEGERI
40,20529722,SD N BILIS BILIS I,Jl.raya Bilis-bilis,Bilis-Bilis,NEGERI
41,20529725,SD N BILIS BILIS IV,Jl. Gunong Tenggi Bilis - Bilis,Desa Bilis-Bilis,NEGERI
42,20529716,SD N BUDDI,Dusun Tembang,Buddi,NEGERI
43,20529461,SD N GELAMAN II,Dusun Tanjung RT.001 RW.001,Gelaman,NEGERI
44,20529462,SD N GELAMAN III,Dsn Songlor,Gelaman,NEGERI
45,20529596,SD N KALIKATAK I,Dsn Pacinan,Kalikatak,NEGERI
46,20529588,SD N KALIKATAK II,Jln. At - Taqwa No 21 Kalikatak,Kalikatak,NEGERI
47,20529587,SD N KALIKATAK III,Jl.Nyamplong Ondung,Kalikatak,NEGERI
48,20529586,SD N KALINGANYAR,Dusun Karpote RT.004 RW.004,Kalinganyar,NEGERI
49,20529578,SD N KALISANGKA I,Dusun Mandar RT.001 RW.001,Kalisangka,NEGERI
50,20529552,SD N KOLO KOLO I,Dsn.parse,Kolo-Kolo,NEGERI
51,20529553,SD N KOLO KOLO II,Dusun Jembu RT.001 RW.001,Kolo Kolo,NEGERI
52,20529554,SD N KOLO KOLO III,Dsn Aeng Larangan,Kolo-Kolo,NEGERI
53,20529559,SD N LAOK JANG JANG 1,Laok Jang-jang,Laok Jang-Jang,NEGERI
54,20529560,SD N LAOK JANG JANG II,Dsn. Ngombar Laok Jang-jang,Laok jang-Jang,NEGERI
55,20530034,SD N PABIAN,Jl. Raya Pelabuhan Pabian,Pabian,NEGERI
56,20530149,SD N PAJANANGGER III,Pajanangger,Pajanangger,NEGERI
57,20530151,SD N PAJANANGGER V,Dsn Batang Putih,Pajanangger,NEGERI
58,20530097,SD N PASERAMAN I,Jl. Raya Paseraman,Paseraman,NEGERI
59,20552022,SD N PASERAMAN II,Paseraman,Paseraman,NEGERI
60,20529857,SD N SAMBAKATI II,Ds.Sambakati,Sambakati,NEGERI
61,20529622,SD NEGERI ANGKATAN I,Jl. Raya Angkatan,Angkatan,NEGERI
62,20529623,SD NEGERI ANGKATAN II,Dusun Apal RT.001 RW.001,Angkatan,NEGERI
63,20529624,SD NEGERI ANGKATAN III,Dsn Laok Songai,Angkatan,NEGERI
64,20529626,SD NEGERI ANGON ANGON I,Angon-angon,Angon-Angon,NEGERI
65,20529627,SD NEGERI ANGON ANGON II,Dusun Nyangkreng RT.001 RW.001,Angon Angon,NEGERI
66,20529628,SD NEGERI ARJASA I,Jl. PP. Al-Hidayah No. 3,Arjasa,NEGERI
67,20529723,SD NEGERI BILIS BILIS II,Bilis-bilis,Bilis-Bilis,NEGERI
68,20529724,SD NEGERI BILIS BILIS III,Dusun Batuguluk RT.001 RW.001,Bilis Bilis,NEGERI
69,20529460,SD NEGERI GELAMAN I,Dusun Tengah RT.001 RW.001,Gelaman,NEGERI
70,20529579,SD NEGERI KALISANGKA II,Dusun Mamburit RT.005 RW.005,Kalisangka,NEGERI
71,20530082,SD NEGERI PAJANANGGER I,Dusun Mustika RT.001 RW.004,Pajanangger,NEGERI
72,20530137,SD NEGERI PAJANANGGER II,Dusun Labuan Beru RT.001 RW.001,Pajanangger,NEGERI
73,20530169,SD NEGERI PANDEMAN II,Jl.pandeman,Pandeman,NEGERI
74,20529856,SD NEGERI SAMBAKATI I,jln. togung no.9 sambakati,Sambakati,NEGERI
75,20529876,SD NEGERI SAWAH SUMUR I,Dusun Panebbalan RT.001 RW.001,Sawahsumur,NEGERI
