
1,60720880,MIS AL IKHSAN,DUPAK MASIGIT 9 BUNTU NO.14,-,SWASTA
2,60720879,MIS DARUSSALAM,JL. JEPARA I NO. 16,Bubutan,SWASTA
3,20531915,SD DUMAS,Jl.Dupak Masigit III No.1,Jepara,SWASTA
4,20539156,SD HALIMAH,Jl.Kawatan VI No.17-22,Alon-Alon Contong,SWASTA
5,20539170,SD K ABDULLAH UBAID I,Tembok Dukuh 22-24,Tembok Dukuh,SWASTA
6,20539089,SD KATOLIK STELLA MARIS,Jl. Tembaan 18-22,Bubutan,SWASTA
7,20532847,SD KH RIDWAN ABDULLAH,Jl. Bubutan VI/2 LT. 2,Alon-Alon Contong,SWASTA
8,20532867,SD KH THOHIR BAKRI,Jl. Gundih III/32,Gundih,SWASTA
9,20533107,SD KRISTEN ALETHEIA,Jl. Tembok Dukuh 134,Tembok Dukuh,SWASTA
10,20539086,SD KRISTEN PIRNGADI SURABAYA,Jl. Pirngadi 4 - 6,Bubutan,SWASTA
11,20533137,SD MARGORUKUN,Margorukun I/19,Gundih,SWASTA
12,20539184,SD MUHAMMADIYAH 12,Dupak Jaya V/21-29,Jepara,SWASTA
13,20533072,SD MUHAMMADIYAH 20,Jl. Tembok Dukuh Butulan No.7,Tembok Dukuh,SWASTA
14,20539081,SD NASIONAL MAYANGSARI,Jl. Dupak IV / 36,Jepara,SWASTA
15,20532831,SD NEGERI ALUN-ALUN CONTONG I-87,Jl. Sulung Sekolahan No.1,Alun-alun Contong,NEGERI
16,20532956,SD NEGERI BUBUTAN II-70 SURABAYA,Jl. Koblen Tengah No.21 Surabaya,Bubutan,NEGERI
17,20532957,SD NEGERI BUBUTAN III71,Jl. Koblen Kidul No. 6,Bubutan,NEGERI
18,20532958,SD NEGERI BUBUTAN IV72,Jl. Semarang 90,BUBUTAN,NEGERI
19,20532931,SD NEGERI BUBUTAN VIII,Jl.Kranggan IV No.5-7,Bubutan,NEGERI
20,20533488,SD NEGERI GUNDIH I-81,Jl.dupak No.22,Gundih,NEGERI
21,20533516,SD NEGERI JEPARA I90,Purwodadi Raya No.84 Surabaya,Jepara,NEGERI
22,20532286,SD NEGERI TEMBOK DUKUH,Jl. Demak 45 Surabaya,TEMBOK DUKUH,NEGERI
23,20532288,SD NEGERI TEMBOK DUKUH III85 SURABAYA,Jl. Asem Jaya Sekolahan 1,Tembok Dukuh,NEGERI
24,20532289,SD NEGERI TEMBOK DUKUH IV86,Jl. Demak No. 2 Surabaya,TEMBOK DUKUH,NEGERI
25,20533100,SD NURUL HIDAYAH I,"Dupak Jaya 3/26-28,  4/27",JEPARA,SWASTA
26,20533088,SD PANCASILA 45,Jl. Tembok Dukuh VI/10,Tembok Dukuh,SWASTA
27,20532848,SD ROUDLOTUL ULUM,Jl. Dupak Baru 3/43a,Jepara,SWASTA
28,20532849,SD RW X DEMAK JAYA,Jl. Demak Jaya Iii / 55 Surabaya,Tembok Dukuh,SWASTA
29,20541300,SD USWATUN HASANAH,Dupak Magersari No. 1 Surabaya,Jepara,SWASTA
30,20539172,SD.K . ABDULLAH UBAID III,Jl. Margodadi III No. 76 Surabaya,Gundih,SWASTA
31,20539171,SDK ABDULLAH UBAID II,Tembok Dukuh 22-24,Tembok Dukuh,SWASTA
32,20539237,SMAS KR PIRNGADI,JL. PIRNGADI 12 - 14,Bubutan,SWASTA
33,69829367,SMK YPPI,JL.SULUNG 41-47 SURABAYA,Alon-Alon Contong,SWASTA
34,20532197,SMKN 7 SURABAYA,JL. PAWIYATAN NO. 2 SURABAYA,BUBUTAN,NEGERI
35,20532256,SMKS BUBUTAN,JL. BUBUTAN NO. 87,Bubutan,SWASTA
36,20532790,SMP ISLAM,Jl. Demak Jaya V No. 43-45,TEMBOK DUKUH,SWASTA
37,20532733,SMP KATOLIK STELLA MARIS,Jl. Tembaan 18-22,Bubutan,SWASTA
38,20532781,SMP KRISTEN ALETHEIA,Tembok Dukuh 134,TEMBOK DUKUH,SWASTA
39,20532532,SMP MUHAMMADIYAH 7 SURABAYA,Jl. Dupak Jaya  V / 49-53,Jepara,SWASTA
40,20562450,SMP NEGERI 43 SURABAYA,Jl. Raden Saleh No. 12 Surabaya,BUBUTAN,NEGERI
41,20532747,SMP PIRNGADI,Jalan Pirngadi 12 - 14 Surabaya,Bubutan,SWASTA
42,20539228,SMP WACHID HASYIM 2,Jl. Tuban Raya No. 73 - 75 Surabaya,Jepara,SWASTA
43,20532592,SMP WACHID HASYIM 4,Bubutan Kawatan VI / 17- 22,Alon-Alon Contong,SWASTA
