
1,20584253,MAS HASANUDDIN,JALAN MAYJEND SUNGKONO,-,SWASTA
2,20584265,MAS MIFTAHUL ULUM,JLN RAYA MADURESO,Madureso,SWASTA
3,60717171,MIS DARUL ULUM,DUSUN GENCENG,-,SWASTA
4,60717169,MIS HASANUDDIN I PULOREJO,JLN. MAYJEN SOENGKONO NO. 54 PULOREJO KEC. DAWARBLANDONG KAB. MOJOKERTO,Pulorejo,SWASTA
5,60717176,MIS HASANUDDIN II,DSN. BERU RT 03 RW 12,Pulorejo,SWASTA
6,60717168,MIS HASYIM ASY`ARI,DS. SURU KEC. DAWARBLANDONG,Suru,SWASTA
7,60717170,MIS MIFTAHUL ULUM DAWAR,JLN. RAYA MADURESO,Madureso,SWASTA
8,60717175,MIS RADEN PAKU,DS. CENDORO,Cendoro,SWASTA
9,60717177,MIS SUNAN AMPEL,JL. IMAM BONJOL BANGERAN,Bangeran,SWASTA
10,60717174,MIS SUNAN BONANG,Jl. Raya Dusun Garung,Bangeran,SWASTA
11,69927922,MISNuruz Zaman,Dusun Brayu Wetan,-,SWASTA
12,20582225,MTsN 4 MOJOKERTO,Jl..ISMU ROHMAH NO.01 GOGOR,Madureso,NEGERI
13,20582226,MTSS FATAHILLAH,DSN. SIMOKERTO RT 002 RW 010,Simongagrok,SWASTA
14,20582229,MTSS HASANUDDIN,JALAN MAYJEN SUNGKONO DUSUN SIDOKERTO,Pulorejo,SWASTA
15,20582227,MTSS HASYIM ASY`ARI,Jl. Utama No. 01,Suru,SWASTA
16,20582228,MTSS SUNAN BONANG,Dsn Garung,Bangeran,SWASTA
17,69895168,Prestasi Al Fatah,Temuireng,Temuireng,SWASTA
18,20502838,SDN BANGERAN 1,Dsn.bangeran,Bangeran,NEGERI
19,20502837,SDN BANGERAN 2,Dsn. Gempol,Bangeran,NEGERI
20,20502830,SDN BANYULEGI,Dusun Glagah,Banyulegi,NEGERI
21,20502860,SDN BRAYUBLANDONG,Brayu Wetan,Brayublandong,NEGERI
22,20502869,SDN CENDORO,Jl. Budi Utomo,Cendoro,NEGERI
23,20502875,SDN CINANDANG,Cinandang,Cinandang,NEGERI
24,20502759,SDN DAWARBLANDONG,Dusun Dawarblandong,Dawarblandong,NEGERI
25,20502744,SDN GUNUNGAN,Jl. Raya Gunungan,Gunungan,NEGERI
26,20502746,SDN GUNUNGSARI,Dsn.gunungsari,Gunungsari,NEGERI
27,20502812,SDN JATIROWO 1,Dusun Jatirowo,Jatirowo,NEGERI
28,20502813,SDN JATIROWO 2,Jatirowo,Jatirowo,NEGERI
29,20503021,SDN MADURESO,Dusun Guyangan,Madureso,NEGERI
30,20502505,SDN PUCUK 1,Dusun Pucuk,Pucuk,NEGERI
31,20502506,SDN PUCUK 2,Dsn.brejel Kidul,Pucuk,NEGERI
32,20502509,SDN PULOREJO 1,Pulorejo,Pulorejo,NEGERI
33,20502510,SDN PULOREJO 2,Dusun Pulorejo,Pulorejo,NEGERI
34,20502563,SDN RANDEGAN,Randegan,Randegan,NEGERI
35,20502447,SDN SIMONGAGROK 1,Jl Simongaggrok No. 02,Simongagrok,NEGERI
36,20502448,SDN SIMONGAGROK 2,Jl.yon Isa Idris,Simongagrok,NEGERI
37,20502431,SDN SUMBERWULUH,Sumberwuluh,Sumberwuluh,NEGERI
38,20502427,SDN SURU,Dusun Suru,Suru,NEGERI
39,20502480,SDN TALUN,Dsn. Talun,Talun,NEGERI
40,20502461,SDN TEMUIRENG 1,Dusun Tambakrejo,Temuireng,NEGERI
41,20502462,SDN TEMUIRENG 2,Temuireng,Temuireng,NEGERI
42,20502720,SMAN 1 DAWARBLANDONG,JL. JON DJAROT  SUBIANTORO,Dawarblandong,NEGERI
43,20548665,SMAS ISLAM SIMONGAGROK,Jl. Yon Isa Idris No. 46,Simongagrok,SWASTA
44,20502676,SMAS YPD DAWARBALNDONG,JL. Yon Jarot Subiantoro No. 28,Pulorejo,SWASTA
45,20502707,SMKS NASIONAL DAWARBLANDONG,Jl. Pulorejo Dawarblandong No. 2,Pulorejo,SWASTA
46,60726179,SMKS PRESTASI AL-FATAH,Dusun Temuireng,Temuireng,SWASTA
47,20502600,SMP BANYULEGI,Dusun Banyulegi,Banyulegi,SWASTA
48,20502609,SMP ISLAM RANDEGAN,Randegan Dawarblandong,Randegan,SWASTA
49,20555611,SMP PGRI DAWARBLANDONG,Jln. Y.D.Sugondo,Jatirowo,SWASTA
50,20502643,SMPN 1 DAWARBLANDONG,Jl. Bung Tomo,Pulorejo,NEGERI
51,20502621,SMPN 2 DAWARBLANDONG,Ds. Sumberwuluh,Sumberwuluh,NEGERI
