
1,69963558,As Salam,Jl. Pelabuhan Jujugan No. 12,-,SWASTA
2,69963422,At-Taqwa,Desa Jate Kecamatan Giligenting - Sumenep,-,SWASTA
3,20584675,MAS AL-ARIEF,JL. K. HABRIYA,-,SWASTA
4,60728157,MAS AN-NUR,JL. K. HASANUDDIN NO.12 SUMBER GEDUGAN,Gedugan,SWASTA
5,20584725,MAS NURUL HIKMAH,JL. TENGGER DESA LOMBANG GILIGENTING,Lombang,SWASTA
6,20580541,MAS NURUL ULUM,JL.RAYA BANMALENG PP.NURUL ULUM BANMALENG GILI RAJA,Banmaleng,SWASTA
7,69963491,Miftahul Arifin,Jl. K. Muta` Bangsul No.03,-,SWASTA
8,60720401,MIS AL-HIDAYAH,GEDUGAN,Gedugan,SWASTA
9,60720391,MIS ANNIBROS I,JL. RAYA GALIS RT.02 RW.01 NO.27,Galis,SWASTA
10,60720392,MIS ANNIBROS II,"JL. KH. ANWARUDDIN NO, 02",-,SWASTA
11,60720402,MIS AS-SALAM,DESA JATE GILIGENTING,Jate,SWASTA
12,60720393,MIS DARUL ULUM,JLN. H. MOH.SYUKUR NO. 03 DUSUN SOKARAME,-,SWASTA
13,60720394,MIS MIFTAHUL FALAH,JL. MASJID AL-MUNAWWARAH NO. 01,Galis,SWASTA
14,60720395,MIS MIFTAHUL ULUM,JL. RAYA SEMERU NO. 4 AENG ANYAR,-,SWASTA
15,60720403,MIS MIFTAHUL-ARIFIN,BANMALENG GILIGETENG,-,SWASTA
16,60720396,MIS NURUL HIKMAH,JL. TENGGER NO. 03,-,SWASTA
17,60720397,MIS NURUL HUDA,JL. K. MAHFUDH NO.3 BANBARU,Banbaru,SWASTA
18,60720398,MIS NURUL JADID,JL. LAUT INDAH PULAU GILINGAN DESA BANMALENG,Banmaleng,SWASTA
19,60720399,MIS NURUL ULUM I,JL.SIMPANG TIGA PP.NURUL ULUM BANMALENG GILI RAJA,-,SWASTA
20,60720400,MIS TARBIYATUL ISLAMIYAH,DSN.KALANG MANGGA DESA JATE KEC. GILIGENTING SUMENEP,-,SWASTA
21,20583593,MTSS AL-ARIEF,JLN. K. HABRIYA NO. 06,-,SWASTA
22,20583598,MTSS AL-HASAN,JL.K.HASANUDIN NO.02 SUMBER,Galis,SWASTA
23,20583597,MTSS ANWARUDDIN,JL.KH. ANWARUDDIN NO. 02,-,SWASTA
24,20585013,MTSS DARUL ULUM,DESA BANMALENG,-,SWASTA
25,20583594,MTSS NURUL HUDA,JL. K. MAHFUD NO. 2,-,SWASTA
26,20583595,MTSS NURUL ULUM,JALAN SIMPANG TIGA PP. NURUL ULUM,Banmaleng,SWASTA
27,20583596,MTSS TOHA PRAKTIKA,JL. RAYA SEMERU NO.04 AENGANYAR,Aenganyar,SWASTA
28,69928102,MTsSAS-SALAM,Jl. Pelabuhan Jujugan No. 12,-,SWASTA
29,20529698,SD N AENGANYAR I,Jl. Semeru No. 111,Aenganyar,NEGERI
30,20529652,SD N BANBARU II,Jl. Pelabuhan,Banbaru,NEGERI
31,20529714,SD N BRINGSANG I,Jl. Raya Pelabuhan Bringsang,Bringsang,NEGERI
32,20529519,SD N GALIS,Jl Raya Galis,Galis,NEGERI
33,20530060,SD N LOMBANG I,Lombang,Lombang,NEGERI
34,20530061,SD N LOMBANG II,Kampung Taman,Lombang,NEGERI
35,20530073,SD N LOMBANG III,Jl.pelabuhan Cang Cang,Lombang,NEGERI
36,20529653,SD NEGERI BANBARU I,Banbaru,Banbaru,NEGERI
37,20529458,SD NEGERI GEDUGAN I,Jalan Raya Gedugan,Gedugan,NEGERI
38,20529471,SD NEGERI JATE,Jate,Jate,NEGERI
39,20529765,SDN BANMALENG,Banmaleng,Banmaleng,NEGERI
40,20529715,SDN BRINGSANG II,Jl.melon 13,BRINGSANG,NEGERI
41,20529459,SDN GEDUGAN II,Jl. Raya Kahuripan No.02,Gedugan,NEGERI
42,20564429,SMAS TOHA PRAKTIKA,GILIGENTING,Aenganyar,SWASTA
43,69958473,SMK ANWARUDDIN,DESA GALIS,Galis,SWASTA
44,69815344,SMK AR-ROHMAN,DESA JATE GILIGENTING,Jate,SWASTA
45,69935098,SMK AT-TAQWA,Jl. Raya Masjid At-Taqwa No.3,Jate,SWASTA
46,20564359,SMP Islam Nurul Hikmah,DS. Lombang,Lombang,SWASTA
47,20529889,SMP N 1 GILIGENTENG,Jl.Raya Galis,Galis,NEGERI
48,20529929,SMP N 2 GILIGENTENG,Jl. Raya Agung Demang,Banbaru,NEGERI
