
1,69977811,MA AR RIYADH,KRAJAN SELATAN KERTONEGORO JENGGAWAH JEMBER,Kertonegoro,SWASTA
2,60728112,MAS AL ISHLAH JENGGAWAH,JL MATARAM 07 RT. 18 RW. 02 JENGGAWAH,Jenggawah,SWASTA
3,20580283,MAS ARIF NU JENGGAWAH,JL. KH. WAHID HASYIM NO. 18 JENGGAWAH,Jenggawah,SWASTA
4,60728113,MAS DARUL HIKAM,JL KEMBANG SORE 87 KERTONEGORO,Kertonegoro,SWASTA
5,69894850,MAS MADINATUL ULUM,Jl. Tempurejo No. 20-24,Cangkring,SWASTA
6,20580289,MAS MAMBAUL ULUM,JL. TEMPUREJO NO. 27,Wonojati,SWASTA
7,69983532,MAS PLUS JALALUDDIN AR-RUMI,DUSUN SUKOSARI,Jatisari,SWASTA
8,60715557,MIS AL - HAMIDI,Jl. Kotta Blater Gg. V No. 6 Curahrejo,Cangkring,SWASTA
9,60715558,MIS JAMIYATUL MUBTADIIN,JL. SEKAR POTE NO. 99 WETAN GUNUNG WONOJATI JENGGAWAH,Wonojati,SWASTA
10,60715559,MIS MALIK IBRAHIM,JL.K.H.MUSLIH NO 01 DARUNGAN SRUNI,Sruni,SWASTA
11,60715560,MIS MAMBAUL ULUM,JL. TEMPUREJO NO. 27,Wonojati,SWASTA
12,60726985,MIS MIFTAHUL HUDA,JL.SAHARA /KENANGA DESA KERTONEGORO,Kertonegoro,SWASTA
13,60728844,MIS MIFTAHUL ULUM,SUKOSARI,Jatisari,SWASTA
14,60715561,MIS MIFTAHUL ULUM,JL. SUPRIYADI NO. 62  KEBONSADENG - KEMUNINGSARI KIDUL,Kemuning Sari Kidul,SWASTA
15,60715562,MIS NAWA KARTIKA,JL. KH ABD RAHMAN SRUNI-JENGGAWAH,Sruni,SWASTA
16,60715563,MIS NURUL ULUM,JL. BALUNG GUMUKRASE KEMUNINGSARI KIDUL,Kemuning Sari Kidul,SWASTA
17,60715566,MIS PLUS TAHDZIBUT TAUHID,JL. BALUNG KEBONSADENG,Kemuning Sari Kidul,SWASTA
18,60715564,MIS SALAFIYAH RIYADLATUL UQUL,JL. KOTTA BLATER NO.17 JATIMULYO,Jatimulyo,SWASTA
19,60715565,MIS SYIRKAH SALAFIYAH,JLN. A. YANI 164 PONDOKLALANG,Wonojati,SWASTA
20,60715567,MIS TARBIYATUL HUDA,JL. KARTINI NO.57 KEMUNINGSARI KIDUL,Kemuning Sari Kidul,SWASTA
21,60715568,MIS WALISONGO,JL. RAYA AMBULU NO. 65 KERTONEGORO JENGGAWAH JEMBER,-,SWASTA
22,69977757,MTS AR RIYADH,KRAJAN SELATAN KERTONEGORO JENGGAWAH JEMBER,Kertonegoro,SWASTA
23,60728767,MTS DARUL HIKAM,JL. KEMBANG SORE No 87,Kertonegoro,SWASTA
24,20581482,MTSS AL - ISHLAH,JL. MATARAM NO. 7 RT. 18 RW. 02,Jenggawah,SWASTA
25,20581486,MTSS AL HAMIDI,JLN. KOTTA BLATER GG. V NO. 6 CURAHREJO CANGKRING,Jenggawah,SWASTA
26,20581481,MTSS AR - RAUDLAH,JL. WALISONGO NO. 05 SUKOSARI,Jatisari,SWASTA
27,60728611,MTSS AS SHOBIER,JL TEMPUREJO NO. 54,Wonojati,SWASTA
28,20581488,MTSS DARUSSALAM SRUNI,JL. K. KHUSNAN NO 4 SRUNI JENGGAWAH,Sruni,SWASTA
29,60728766,MTSS MA`ARIF NU JENGGAWAH,JL. KH. WAHID HASYIM NO 18,Jenggawah,SWASTA
30,20581485,MTSS MAFTAHUL HUDA,JL.SAHARA NO. 05 KERTONEGORO,Kertonegoro,SWASTA
31,20581483,MTSS MAMBAUL ULUM,JL. TEMPUREJO NO. 27,Wonojati,SWASTA
32,20581489,MTSS SYIRKAH SALAFIYAH,JL. A. YANI 164 PONDOKLALANG WONOJATI JENGGAWAH,Wonojati,SWASTA
33,20581484,MTSS TARBIYATUL HUDA,JL. KARTINI NO. 57 KEMUNINGSARI KIDUL JENGGAWAH - JEMBER,Kemuning Sari Kidul,SWASTA
34,20581487,MTSS WAHID HASYIM,JL. KOTTA BLATER NO. 77 DARUSSALAM JATIMULYO JENGGAWAH JEMBER,Jatimulyo,SWASTA
35,20525045,SDN CANGKRING 01,Jl. Tempurejo,Cangkring,NEGERI
36,20525049,SDN CANGKRING 02,Cangkring Baru,Cangkring,NEGERI
37,20525047,SDN CANGKRING 03,Jl. KH.Syamhadi No.18 Darungan,Cangkring,NEGERI
38,20525048,SDN CANGKRING 04,JL KOTTA BLATER CURAH REJO,Cangkring,NEGERI
39,20524724,SDN JATIMULYO 01,SDN  Jatimulyo 1,Jatimulyo,NEGERI
40,20524723,SDN JATIMULYO 02,Darussalam,Jatimulyo,NEGERI
41,20524730,SDN JATISARI 01,Jln. Diponegoro No. 153 Dusun Grujugan,Jatisari,NEGERI
42,20524731,SDN JATISARI 02,Jl. Diponegoro No. 50,Jatisari,NEGERI
43,20524806,SDN JATISARI 03,Jln. A. Yani No.25 Jatisari,Jatisari,NEGERI
44,20524875,SDN JENGGAWAH 01,Jln. Raya Kawi No. 14,Jenggawah,NEGERI
45,20524868,SDN JENGGAWAH 02,Jln. Raya Kawi 124/a,Jenggawah,NEGERI
46,20524873,SDN JENGGAWAH 03,Gayasan B,Jenggawah,NEGERI
47,20524870,SDN JENGGAWAH 04,Curah Buntu,Jenggawah,NEGERI
48,20524874,SDN JENGGAWAH 05,Babatan,Jenggawah,NEGERI
49,20524872,SDN JENGGAWAH 06,JL.RAYA KAWI NO. 28 JENGGAWAH,Jenggawah,NEGERI
50,20524876,SDN JENGGAWAH 07,Utara Alun - alun No. 04,Jenggawah,NEGERI
51,20553942,SDN KEMUNINGSARI KIDUL 01,Jln. Kartini No. 56,Kemuning Sari Kidul,NEGERI
52,20553943,SDN KEMUNINGSARI KIDUL 02,Jl. Manggarejo No. 03 Dusun Tegal Gayam,Kemuning Sari Kidul,NEGERI
53,20523594,SDN KERTONEGORO 01,Jln. Diponegoro,Kertonegoro,NEGERI
