
1,20584156,MAN 2 KOTA PROBOLINGGO,JL. SUKARNO HATTA NO. 255,Curahgrinting,NEGERI
2,69881496,MAS  HIDAYAT,Jl. Supriadi Gg. Pesantren No. 25 Kanigaran Kota Probolinggo,Kanigaran,SWASTA
3,20584161,MAS RAUDLATUL HASANIYAH,JL. KH. ABD. HAMID GG. PESANTREN NO. 35 A,Kebonsari Kulon,SWASTA
4,60720805,MIS AL-QUR`ANUL HAKIM,JL. KH. ABDUL AZIZ NO 29,Kebonsari Kulon,SWASTA
5,60720807,MIS HIDAYAT,Jl. Supriadi Gg. Pesantren No. 25 A,Kanigaran,SWASTA
6,60720809,MIS MIFTAHUL ULUM,JL.COKROAMINOTO GG.III/266,Kebonsari Kulon,SWASTA
7,60720808,MIS NUR - AZIZ,JALAN RAYA PANGLIMA SUDIRMAN GG. VI A,Kebonsari Kulon,SWASTA
8,60720806,MIS ZAINUL YASIN,JL KH HASAN GENGGONG GG BAYUSARI V/231,Kebonsari Wetan,SWASTA
9,20583831,MTSN KOTA PROBOLINGGO,JL. CITARUM 009,Curahgrinting,NEGERI
10,20583832,MTSS HIDAYAT,JL. SUPRIADI NO. 07,Kanigaran,SWASTA
11,20583833,MTSS UNGGULAN TUNAS BANGSA,JL. CITARUM NO 57 KENTANGAN,Curahgrinting,SWASTA
12,69963493,MTSS ZAINUL ISHLAH,JL.COKROAMINOTO GG. LISTRIKAN,Kanigaran,SWASTA
13,69753171,SD ISLAM AINUR RAHMAH,JL. WALIKOTA GATOT NO. 31 PROBOLINGGO,KANIGARAN,SWASTA
14,20536336,SD K MATER DEI,Jalan Suroyo 36,Tisnonegaran,SWASTA
15,69987073,SD KRISTEN ALETHEIA INKLUSI,Jl. Suroyo No. 19 Probolinggo,Tisnonegaran,SWASTA
16,69893965,SD KRISTEN SYALOM EDUCATION CENTER,Jl. Kolonel Sugiono No. 07 Probolinggo,Tisnonegaran,SWASTA
17,69889049,SD MUHAMMADIYAH PLUS,Jl. Mastrip No. 163,Kanigaran,SWASTA
18,20536321,SD NEGERI CURAHGRINTING 1,Jl. Hasyim Mas No.15,CURAHGRINTING,NEGERI
19,20536320,SD NEGERI CURAHGRINTING 3,Jl. Kapuas No. 01,CURAHGRINTING,NEGERI
20,20536346,SD NEGERI KANIGARAN 1,Jl. Cokroaminoto 49,Kanigaran,NEGERI
21,20536378,SD NEGERI KANIGARAN 3,Jl. Sultan Agung No.1,KANIGARAN,NEGERI
22,20536375,SD NEGERI KANIGARAN 6,Jl. Slamet Riyadi No 141 A,KANIGARAN,NEGERI
23,20536381,SD NEGERI KEBONSARI KULON 1,Jl. Cokroaminoto 09,KEBONSARI KULON,NEGERI
24,20536389,SD NEGERI KEBONSARI KULON 3,Jl. Kh Ahmad Dahlan No 110,Kebonsari Kulon,NEGERI
25,20536386,SD NEGERI KEBONSARI KULON 6,Jl. Kh Akhmad Dahlan No 127,KEBONSARI KULON,NEGERI
26,20536384,SD NEGERI KEBONSARI WETAN 1,Jl. Sunan Muria 324,Kebonsari Wetan,NEGERI
27,20536383,SD NEGERI KEBONSARI WETAN 3,Jl. Sunan Muria 70,KEBONSARI WETAN,NEGERI
28,20536230,SD NEGERI SUKOHARJO 1,Jl. Kh Hasan Genggong No 117,SUKOHARJO,NEGERI
29,20536228,SD NEGERI SUKOHARJO 3,Jl. Kh. Hasan Genggong No. 173,SUKOHARJO,NEGERI
30,20536215,SD NEGERI SUKOHARJO 4,Jl. Kh. Hasan No 71,Sukoharjo,NEGERI
31,20536207,SD NEGERI TISNONEGARAN 1,Jl. Suroyo No. 2,Tisnonegaran,NEGERI
32,20536217,SD NEGERI TISNONEGARAN 3,Jl. Letjen Sutoyo No. 3,TISNONEGARAN,NEGERI
33,69945082,SMA ISLAM ANDALAS,Jl. Walikota Gatot RT. 01 RW. 06,Kanigaran,SWASTA
34,20536288,SMAN 1 PROBOLINGGO,JL. SOEKARNO HATTA 137,Curahgrinting,NEGERI
35,20536297,SMAN 2 PROBOLINGGO,JL. KI HAJAR DEWANTARA,Kanigaran,NEGERI
36,20536295,SMAN 4 PROBOLINGGO,JL. SLAMET RIYADI,Kanigaran,NEGERI
37,20536281,SMAS SETIA PROBOLINGGO,JL.SLAMET RIYADI,Kanigaran,SWASTA
38,20536279,SMAS TAMAN MADYA PROBOLINGGO,Jl. Suroyo No. 8 Probolinggo,Tisnonegaran,SWASTA
39,20536289,SMKN 2 PROBOLINGGO,JL. MASTRIP NO.153 PROBOLINGGO,Kanigaran,NEGERI
40,20536277,SMKN 3 PROBOLINGGO,JL. PAHLAWAN NO. 26A,Kebonsari Kulon,NEGERI
41,20536293,SMKS AHMAD YANI PROBOLINGGO,JL. MASTRIP. NO. 152 PROBOLINGGO,Kanigaran,SWASTA
42,20536924,SMKS PGRI 1 PROBOLINGGO,JL. DR. MOH. SALEH NO. 5,Tisnonegaran,SWASTA
43,20536276,SMKS SORE PROBOLINGGO,JL. MASTRIP NO. 155A,Kanigaran,SWASTA
44,20536263,SMKS TAMAN SISWA 2 PROBOLINGGO,JL. DR. MOCH. SALEH NO.03 PROBOLINGGO,TISNONEGARAN,SWASTA
45,20536275,SMKS TAMANSISWA 1 PROBOLINGGO,JL. DR. MOCH. SALEH NO. 3 PROBOLINGGO,Tisnonegaran,SWASTA
46,20571841,SMP ISLAM AL-MUKARROMAH,JL. Indra Giri,Kanigaran,SWASTA
47,20573771,SMP IT PELITA,Jl. Sutan Syahrir 22,Tisnonegaran,SWASTA
48,20536255,SMP K MATER DEI PROBOLINGGO,Jl. Panglima Sudirman No 22 Probolinggo,Tisnonegaran,SWASTA
49,20536274,SMP NEGERI 10 PROBOLINGGO,Jl. Soekarno Hatta Probolinggo no. 263 Q,Tisnonegaran,NEGERI
50,20536273,SMP NEGERI 2 PROBOLINGGO,Jl. Dr.moch.saleh No.7,TISNONEGARAN,NEGERI
51,20536270,SMP NEGERI 5 PROBOLINGGO,Jl. Cokroaminoto No 26 Probolinggo,Kanigaran,NEGERI
52,20536268,SMP NEGERI 7 PROBOLINGGO,Jl. Walikota Gatot 181,Kanigaran,NEGERI
53,20536266,SMP NEGERI 9 PROBOLINGGO,Jl. Cokroaminoto No. 11,Kebonsari Kulon,NEGERI
54,20536259,SMP PGRI 1 PROBOLINGGO,Jl. Dr. Moh. Saleh No 5,Tisnonegaran,SWASTA
55,20536258,SMP SETIA,Jl. Slamet Riyadi,Kanigaran,SWASTA
56,20536256,SMP TAMAN DEWASA PROBOLINGGO,Jl. Suroyo 8,Tisnonegaran,SWASTA
57,69849765,SMPI ANDALAS,Jl. Walikota Gatot RT. 01 RW. 06 Kota Probolinggo,Kanigaran,SWASTA
