
1,20584774,MAS SALAFIYAH,JL. RAYA KEREK - TUBAN (DEPAN TELKOM) MARGOMULYO,Margomulyo,SWASTA
2,69886304,MAS Sendang Dlingu,Jalan Raya Kerek Montong Desa Hargoretno,Hargoretno,SWASTA
3,69993745,MI SYIFA`UL JINAN,DUSUN DUKOH RT.02/RW.02 DESA MARGOREJO KECAMATAN KEREK KABUPATEN TUBAN,Margorejo,SWASTA
4,60718223,MIS AL - HIDAYAH,Jl. Mustajab No. 01 RT. 06 RW. 02,Kasiman,SWASTA
5,60718228,MIS AL FALAHIYAH,DUSUN PUTER DESA KEDUNGREJO,Kedungrejo,SWASTA
6,60718225,MIS AL HIDAYAH,"JL.PEMUDA NO.798 DESA KARANGLO, KEC.KEREK",Karanglo,SWASTA
7,60718227,MIS ISLAMIYAH P2A,JL. RAYA MASJID JAMI` NO. 01,Gaji,SWASTA
8,60718226,MIS NURUL HUDA TEGAL PERON,DSN TEGAL PERON PADASAN,Padasan,SWASTA
9,60718224,MIS SALAFIYAH,JL. MASJID AL-QOHAR NOMOR 305 DESA PADASAN,Padasan,SWASTA
10,60718222,MIS SALAFIYAH,JL. RAYA KEREK NO. 232 DESA MARGOMULYO,Margomulyo,SWASTA
11,60718229,MIS SALAFIYAH NURUL JADID,JL.SENDANG MANUNGGAL NO:10 DS.MLIWANG,Mliwang,SWASTA
12,20582681,MTSS AL HIDAYAH KARANGLO,JALAN PEMUDA 798 KARANGLO KEREK TUBAN,Karanglo,SWASTA
13,20582682,MTSS BAITUSSALAF,JLN. MASJID JAMI` NO. 01,Gaji,SWASTA
14,20582680,MTSS SALAFIYAH,JL. TANJUNG NO.613,Margomulyo,SWASTA
15,20582683,MTSS SENDANG DLINGU,JL.RAYA KEREK-MONTONG DS.HARGORETNO,Hargoretno,SWASTA
16,69975050,SD ISLAM TERPADU AL-HIKMAH,Jalan Kelud 27 (Komplek PP Al-Hikmah) Desa Margomulyo,Margomulyo,SWASTA
17,20505584,SD NEGERI GAJI I,Jl. Raya Gaji,GAJI,NEGERI
18,20505583,SD NEGERI GAJI II,Jl. Raya Gaji,Gaji,NEGERI
19,20505581,SD NEGERI GAJI IV,Dusun Sidorejo,GAJI,NEGERI
20,20505580,SD NEGERI GAJI V,Rt 01 Rw 07 Dusun Gesikan,GEMULUNG,NEGERI
21,20505605,SD NEGERI GEMULUNG I,Dusun Gandu,GEMULLUNG,NEGERI
22,20505604,SD NEGERI GEMULUNG II,Dsn. Gesikan,GEMULUNG,NEGERI
23,20505603,SD NEGERI GEMULUNG III,Ds. Gemulung,GEMULUNG,NEGERI
24,20505541,SD NEGERI HARGORETNO I,Jl. Raya Kerek Montong KM.3,HARGORETNO,NEGERI
25,20505540,SD NEGERI HARGORETNO II,Jalan Raya Hargoretno,Hargoretno,NEGERI
26,20505574,SD NEGERI JAROREJO I,Jl. Raya Jarorejo 323,JAROREJO,NEGERI
27,20505573,SD NEGERI JAROREJO II,Jl. Pemuda 35,JAROREJO,NEGERI
28,20505657,SD NEGERI KARANGLO I,Jln. Nusantara,KARANGLO,NEGERI
29,20505681,SD NEGERI KARANGLO III,Jl. P. Sudirman,KARANGLO,NEGERI
30,20505663,SD NEGERI KASIMAN,Kasiman,Kasiman,NEGERI
31,20505613,SD NEGERI KEDUNGREJO I,Jl. Raya Kedungrejo No 6034,KEDUNGREJO,NEGERI
32,20505612,SD NEGERI KEDUNGREJO II,Desa Kedungrejo,Kedungrejo,NEGERI
33,20504886,SD NEGERI MARGOMULYO,Jln. Kawi No. 185 Margomulyo - Kerek,Margomulyo,NEGERI
34,20504900,SD NEGERI MARGOREJO,Jl. Raya Margorejo,MARGOREJO,NEGERI
35,20504978,SD NEGERI MLIWANG,Jalan Raya Kerek-Glondong,MLIWANG,NEGERI
36,20504961,SD NEGERI PADASAN,Jl. Pemuda 01,PADASAN,NEGERI
37,20504826,SD NEGERI SIDONGANTI I,Dusun Soco,Sidonganti,NEGERI
38,20504825,SD NEGERI SIDONGANTI II,Jl. Raya Sidonganti,Sidonganti,NEGERI
39,20505141,SD NEGERI SUMBERARUM,Jalan Raya Desa Sumberarum,SUMBERARUM,NEGERI
40,20505214,SD NEGERI TEMAYANG,Jl. Raya Temayang,TEMAYANG,NEGERI
41,20505212,SD NEGERI TENGGERWETAN I,Jl. Raya Tenggerwetan,Tengger Wetan,NEGERI
42,20505211,SD NEGERI TENGGERWETAN II,Dusun Nglunde,Tengger Wetan,NEGERI
43,20505217,SD NEGERI TRANTANG,Jl Desa Trantang,TRANTANG,NEGERI
44,20505041,SD NEGERI WOLUTENGAH I,Jln Raya Wolutengah NO 98,WOLUTENGAH,NEGERI
45,20505040,SD NEGERI WOLUTENGAH II,Dsn Kanoman,WOLUTENGAH,NEGERI
46,20546978,SMAN 1 KEREK,Jl. Raya Kerek-Montong,Jarorejo,NEGERI
47,20505074,SMP NEGERI 2 KEREK,Jl. Raya Wolutengah 01 Kerek,WOLUTENGAH,NEGERI
48,20505126,SMPN 1 KEREK,Jl. Tanjung No 784,Margomulyo,NEGERI
49,20539023,SMPN 3 KEREK,Ds. Trantang Kec. Kerek,Trantang,NEGERI
50,69894690,Sunan Kalijogo,Jln. Raya Sidorejo Nomor 45,Wolutengah,SWASTA
