
1,20584296,MAS NAHDLATUL ULAMA,MOJOSARI - NGEPEH,Ngepeh,SWASTA
2,20584302,MAS PSM LOCERET,SUGIHWARAS,Bajulan,SWASTA
3,60717627,MIS HIDAYATUL MUBTADIIN,DSN. NGUNUT DESA NGLABAN,-,SWASTA
4,60717626,MIS NU MOJOSARI,MOJOSARI NGEPEH LOCERET,Ngepeh,SWASTA
5,60717625,MIS PSM I SUGIHWARAS,SUGIHWARAS RT/RW.01/12,Ngepeh,SWASTA
6,69927925,MISMi Baitussa`Adah,Jl. ANGGREK RT/RW : 01/01,-,SWASTA
7,60727507,MTSS NU LOCERET,Dusun Mojosari Desa Ngepeh kec. Loceret,Ngepeh,SWASTA
8,60727508,MTSS PSM LOCERET,"DS. SUGIHWARAS, NGEPEH LOCERET",Ngepeh,SWASTA
9,20537701,SD NEGERI 1 BAJULAN,Dusun Pogoh,Bajulan,NEGERI
10,20537639,SD NEGERI 1 CANDIREJO,Candirejo,Candirejo,NEGERI
11,20537805,SD NEGERI 1 GENJENG,Dusun Genjeng,Genjeng,NEGERI
12,20537814,SD NEGERI 1 GODEAN,Godean,Godean,NEGERI
13,20537646,SD NEGERI 1 JATIREJO,Jalan Sumber Waringin 17,Jatirejo,NEGERI
14,20537987,SD NEGERI 1 KENEP,Kenep,Kenep,NEGERI
15,20538019,SD NEGERI 1 KWAGEAN,Dusun Kwagean,Kwagean,NEGERI
16,20538025,SD NEGERI 1 LOCERET,Jl. Raya Kediri No. 108 Loceret,Loceret,NEGERI
17,20538032,SD NEGERI 1 MACANAN,Macanan,Macanan,NEGERI
18,20538061,SD NEGERI 1 MUNGKUNG,Mungkung,Mungkung,NEGERI
19,20538077,SD NEGERI 1 NGEPEH,Dusun Ngepeh,Ngepeh,NEGERI
20,20538088,SD NEGERI 1 NGLABAN,Dusun Nglaban,Nglaban,NEGERI
21,20538129,SD NEGERI 1 PATIHAN,Jln.raya Kediri NO. 01 Patihan,Patihan,NEGERI
22,20512897,SD NEGERI 1 PUTUKREJO,Putukrejo,Putukrejo,NEGERI
23,20538184,SD NEGERI 1 SEKARAN,Sekaran,Sekaran,NEGERI
24,20538273,SD NEGERI 1 TEKENGLAGAHAN,Tekenglagahan,Teken Glagahan,NEGERI
25,20537634,SD NEGERI 2 BAJULAN,Dusun Semanding,Bajulan,NEGERI
26,20537642,SD NEGERI 2 GEJAGAN,Desa Gejagan,Gejagan,NEGERI
27,20537643,SD NEGERI 2 GENJENG,Dsn Dadi Desa Genjeng,Genjeng,NEGERI
28,20537645,SD NEGERI 2 GODEAN,Godean,Godean,NEGERI
29,20537657,SD NEGERI 2 LOCERET,Loceret,Loceret,NEGERI
30,20537658,SD NEGERI 2 MACANAN,Macanan,Macanan,NEGERI
31,20537661,SD NEGERI 2 MUNGKUNG,Jl. Letjen Suprapto Mungkung,Mungkung,NEGERI
32,20538089,SD NEGERI 2 NGLABAN,Jalan Kantil Nomor 19,Nglaban,NEGERI
33,20537675,SD NEGERI 2 PUTUKREJO,Putukrejo,Putukrejo,NEGERI
34,20537806,SD NEGERI 3 GENJENG,Dusun Sumberkajar,Genjeng,NEGERI
35,20538030,SD NEGERI 3 MACANAN,Desa Macanan,Macanan,NEGERI
36,20538076,SD NEGERI 3 NGEPEH,Desa Ngepeh Kecamatan Loceret Kabupaten Nganjuk,Ngepeh,NEGERI
37,20537700,SD NEGERI 4 BAJULAN,Jalan Sersan Sumarsono No. 01,Bajulan,NEGERI
38,20537644,SD NEGERI 4 GENJENG,Dusun Genjeng,Genjeng,NEGERI
39,20538031,SD NEGERI 4 MACANAN,Macanan,Macanan,NEGERI
40,20538078,SD NEGERI 4 NGEPEH,Dusun Sumberunut,Ngepeh,NEGERI
41,20537951,SD NEGERI KARANGSONO,"Jl. Panglima Sudirman 68, Karangsono, Loceret, Nganjuk",Karangsono,NEGERI
42,20538204,SD NEGERI SOMBRON,Desa Sombron,Sombron,NEGERI
43,20538230,SD NEGERI SUKOREJO,"Jl. Merapi 20, Sukorejo, Loceret",Sukorejo,NEGERI
44,20538266,SD NEGERI TANJUNGREJO,Jalan Semeru VII No.08,Tanjungrejo,NEGERI
45,20538275,SD NEGERI TEMPELWETAN,Tempelwetan,Tempel Wetan,NEGERI
46,20555646,SDI As Syafiah Loceret,"Ponpes Mojosari, Loceret",Ngepeh,SWASTA
47,69943439,SDI KHADIJAH,"DUSUN BESUK, DESA SUKOREJO, LOCERET",Sukorejo,SWASTA
48,20554840,SDI Salsabila Loceret,Jalan Rosalia No. 02,Nglaban,SWASTA
49,20554706,SDIT ULUL ALBAB,Jl. Merapi IV Gang Bengkel,Sukorejo,SWASTA
50,69965840,SMA ISLAM ASSYAFIAH,Ponpes Mojosari,Ngepeh,SWASTA
51,20538322,SMAN 1 LOCERET,JL. DR. SUTOMO LOCERET,Ngepeh,NEGERI
52,20539813,SMKS AL BASTHOMI LOCERET,JL. MOJOSARI -NGEPEH,Ngepeh,SWASTA
53,20538332,SMKS AL HUSNA,JL. RAYA KEDIRI GG. KWAGEAN NO. 4 LOCERET,Loceret,SWASTA
54,20538352,SMP 17 LOCERET,Jl. Selatan Kebun Buah,LOCERET,SWASTA
