
1,69894891,AL-HAMIDY,LPI Al-Hamidy Banyuanyar Potoan Daya,-,SWASTA
2,69937255,DIRASATUL MUALIMIN AL-ISLAMIYYAH (DMI) PP AL-HAMIDY,Banyuanyar Palengaan Kabupaten Pamekasan,-,SWASTA
3,20584372,MA DARUL ULUM BANYUANYAR,Jl. PP. Banyuanyar Potoan Daya Palengaan Pamekasan,Potoan Daja,SWASTA
4,69881494,MAS  Al-Azhar,Dusun Bata Bata,Panaan,SWASTA
5,69881490,MAS  Miftahul Ulum,Dusun Bringin Laok Somber,Angsanah,SWASTA
6,69881491,MAS  MIFTAHUL ULUM,Sumber Taman Banyupelle Palengaan,Banyupelle,SWASTA
7,20584349,MAS AL KAROMAH,PP. AL-KAROMAH TIMUR GUNUNG LARANGAN BADUNG PALENGAAN PAMEKASAN,Larangan Badung,SWASTA
8,69888904,MAS AL-HAMIDY KARANG TENGAH,"KOMIS, AL-HAMIDY KARANG TENGAH",Palengaan Daja,SWASTA
9,69941765,MAS AL-KHADIJAH,Sumber Kuning,-,SWASTA
10,60729925,MAS BAITUL ULUM,JL. PP. BAITUL ULUM,Palengaan Daja,SWASTA
11,20584368,MAS BUSTANUL ULUM,SUMBER ANOM ANGSANAH,Angsanah,SWASTA
12,20584367,MAS BUSTANUL ULUM,DSN. NAGA SARI DESA PALENGAAN LAOK,-,SWASTA
13,60729924,MAS FUTUHIYAH,JL. PP MIFTAHUL QULUB BATU NGAMPAR,Banyupelle,SWASTA
14,20584381,MAS MAMBAUL ULUM,Jln. Ponpes Bata-Bata,Panaan,SWASTA
15,69983573,MAS MAMBAUL ULUM BATA-BATA 1,PONPES BATA-BATA,Panaan,SWASTA
16,69886307,MAS Mambaul Ulum Batu Gungsing,Batu Gungsing,Rek Kerrek,SWASTA
17,20584391,MAS MIFTAHUL ULUM,SEK GERSEK,Palengaan Laok,SWASTA
18,20584390,MAS MIFTAHUL ULUM,JL. RAYA PANYEPEN,Potoan Laok,SWASTA
19,20584392,MAS MIFTAHUL ULUM,DSN. GUNUNG TANGIS,Rek Kerrek,SWASTA
20,20584401,MAS NOER FADILAH,SUMBER PANJALIN,Akkor,SWASTA
21,60729927,MAS NURUL ISTIQLAL,DUSUN ANGSOKAH TIMUR A,Palengaan Daja,SWASTA
22,20584407,MAS NURUS SALAM,JL:Masjid YAMP Saba Tambak Palengaan Laok,Palengaan Laok,SWASTA
23,20584408,MAS NURUS SHOLAH,BATULABANG AKKOR,Akkor,SWASTA
24,20584410,MAS PUTRI MIFTAHUL ULUM,KEBUN BARU,Kacok,SWASTA
25,20584414,MAS SIROJUT THOLIBIN,GLUGUR II PALENGAAN LAOK,Palengaan Laok,SWASTA
26,20584417,MAS TARBIYATUS SHIBYAN,SUMBER PAPAN,Larangan Badung,SWASTA
27,20584418,MAS THARIQAT SHUFIYAH,JL. KH. AHMAD SA`DUDDIN - LOTPOLOT,Kacok,SWASTA
28,20584421,MAS WACHID HASYIM,JL. KH. MOH. ASY`ARI PALENGAAN LAOK,Banyupelle,SWASTA
