
1,20584564,MAS MAMBAUL ULUM,SEMKEREP GULBUNG,-,SWASTA
2,60719720,MIS HIDAYATUL MUHTADIN,JL. EMPU RONGGO 11/II - OMBUL,Apaan,SWASTA
3,60719721,MIS MA`SYARUT TAALLUM,Danan,Apaan,SWASTA
4,20583252,MTSS HIDAYATUL MUHTADIN,JL. EMPU RONGGO II/11,Pangarengan,SWASTA
5,20583255,MTSS MAMBAUL ULUM,SEMKEREP GULBUNG,-,SWASTA
6,20583253,MTSS NURUL HUDA AL MARONIYAH,JL. KH.ZAHID HISBULLAH PANGARENGAN SAMPANG,-,SWASTA
7,20583254,MTSS SITI KHODIJAH,DESA GULBUNG,Pangarengan,SWASTA
8,20549106,SDN APAAN 1,Jl Raya Apaan,APAAN,NEGERI
9,20549107,SDN APAAN 2,Desa Apaan,APAAN,NEGERI
10,20528476,SDN GULBUNG 1,Jl Raya Gulbung,GULBUNG,NEGERI
11,20528455,SDN GULBUNG 2,Jl Raya Gulbung,GULBUNG,NEGERI
12,20528454,SDN GULBUNG 3,Dsn Srapong,GULBUNG,NEGERI
13,20528453,SDN GULBUNG 4,Kampung Rabasan,Gulbung,NEGERI
14,20528711,SDN PACANGGAAN 1,Jl Raya Pacanggaan,PACANGGAAN,NEGERI
15,20528712,SDN PACANGGAAN 2,Dusun Semkerrep,Pacanggaan,NEGERI
16,20528725,SDN PANGARENGAN 1,Jl Raya Pangarengan No. 50,Pangarengan,NEGERI
17,20528705,SDN PANGARENGAN 2,Ds Pangarengan,PANGARENGAN,NEGERI
18,20528704,SDN PANGARENGAN 3,Dsn Plasah,Pangarengan,NEGERI
19,20528686,SDN PANYERANGAN 1,Dsn Pranggasan,PANYERANGAN,NEGERI
20,20528687,SDN PANYERANGAN 2,Dusun Gubbu,Panyerangan,NEGERI
21,20528703,SDN PANYERANGAN 3,Dsn Anyer,PANYERANGAN,NEGERI
22,20528807,SDN RAGUNG 1,Jl Raya  Ragung,RAGUNG,NEGERI
23,20528806,SDN RAGUNG 2,Jl Raya Ragung,RAGUNG,NEGERI
24,20528805,SDN RAGUNG 3,Gubbu Timur,Ragung,NEGERI
25,20528804,SDN RAGUNG 4,Dusun Taman,RAGUNG,NEGERI
26,69923012,SMAS DARUT TAUHID AL MALIKY,Jl. Ponpes Darut Tauhid,Gulbung,SWASTA
27,20549198,SMAS HIDAYATUL MUHTADIN,JL. EMPU RONGGO II/11 Dusun Ombul,Apaan,SWASTA
28,20564168,SMAS TERPADU AL MAARIF,JL. JAYA MAKMUR,Pangarengan,SWASTA
29,20562997,SMKS ISLAM SITI KHODIJAH,JALAN RAYA GULBUNG PANGARENGAN,Gulbung,SWASTA
30,20528614,SMPN 1 PANGARENGAN,Jl. Jaya Makmur No.96,Pangarengan,NEGERI
31,20558446,SMPN 2 PANGARENGAN,Jl. Raya Ragung,Ragung,NEGERI
32,20549195,SMPN 3 PANGARENGAN,Dsn Pranggasan,Panyerangan,NEGERI
33,69966628,SMPS DARUT TAUHID AL MALIKY,Jl. Hasan Busri,Gulbung,SWASTA
34,20570418,SMPS ISLAM RAUDLATUL ULUM PANGARENGAN,Desa Gulbung,Gulbung,SWASTA
35,69923011,SMPS MAKARIMUL AKHLAQ,Dusun Gubbu,Panyerangan,SWASTA
