
1,20580153,MAS AL FALAH,JL. PAKISAN NO 18 DS. KAJAR,Kajar,SWASTA
2,20580155,MAS AL HIDAYAH BATAAN,KAMPUNG HAJI DESA BATAAN,Bataan,SWASTA
3,20580163,MAS Bahrul Ulum Tangsil Kulon,"TANGSIL KULON, TENGGARANG, BONDOWOSO",Tangsil Kulon,SWASTA
4,69788068,MAS Darul Hikmah Koncer Kidul,JL. TAMANAN KONCER KIDUL RT 25 RW 09,Koncer Kidul,SWASTA
5,69941744,MAS Darul Muhajirin,Jl. Pengarang Rt.01/Rw.01 Ds. Pekalangan,Pekalangan,SWASTA
6,60728108,MAS NURUL HUDA KONCER,JL. KH. Abdul Mu`iz Tirmidzi Ds. Koncer DA,Koncer Darul Aman,SWASTA
7,69888383,MAS Salafiyah Syafi`iyah Bataan,Jl. Pakisan No. 28,Bataan,SWASTA
8,60716150,MIS AL FALAH KAJAR,JL. PAKISAN NO. 18,Kajar,SWASTA
9,69983010,MIS AL HIDAYAH BATAAN,JL. KHR. AS`AD SAMSUL ARIFIN DSN. KAMPUNG HAJI,Kec. Tenggarang,SWASTA
10,69819599,MIS Al Huda Dawuhan,Jl. Masjid Nurul Huda Rt 11/ Rw 05 Dawuhan,Tenggarang,SWASTA
11,69927449,MIS Bahrul Ulum Tangsil Kulon,Jl. Raya Situbondo RT. 06 RW. 02 Tangsil Kulon,Tangsil Kulon,SWASTA
12,60716151,MIS DARUS SALAM SUMBER SALAM,JL. PAKISAN,Sumbersalam,SWASTA
13,60716152,MIS NURUL ANWAR,Dsn. Kampung Baru Ds. Koncer D A,Koncer Darul Aman,SWASTA
14,60716153,MIS NURUL HIDAYAH KONCER KIDUL,JL. TAMANAN  DUSUN JATIAN RT 26 RW 09,Koncer Kidul,SWASTA
15,60716154,MIS Nurul Huda Koncer,JL. AIP MOEGIMAN,Koncer Kidul,SWASTA
16,20581778,MTSS AL FALAH,JL. PAKISAN NO. 18 DESA KAJAR KECAMATAN TENGGARANG KAB. BONDOWOSO,Kajar,SWASTA
17,20581779,MTSS ALHIDAYAH TENGGARANG,KAMPUNG HAJI BATAAN TENGGARANG BONDOWOSO,Bataan,SWASTA
18,20581780,MTSS BAHRUL ULUM TANGSIL KULON,JL. RAYA SITUBONDO,Tangsil Kulon,SWASTA
19,69853364,MTsS Darul Hikmah Koncer Kidul,Jl. Tamanan Koncer Kidul Tenggarang Bondowoso,Koncer Kidul,SWASTA
20,69927450,MTsS Darul Muhajirin,Jl. Pengarang Rt 001 Rw 001 Ds. Pekalangan,Pekalangan,SWASTA
21,20581781,MTSS NURUL HIDAYAH KONCER KIDUL,DSN. TAMANAN JATIAN DS. KONCER KIDUL,Koncer Kidul,SWASTA
22,69788359,MTsS NURUL HUDA KONCER,JL. KH. Abdul Mu`iz Tirmidzi Koncer DS,Koncer Darul Aman,SWASTA
23,20581782,MTSS SALAFIYAH SYAFI`IYAH BATAAN,JL. PAKISAN NO.28 DS. BATAAN,Bataan,SWASTA
24,69833713,SMA ISLAM NURUL KHALIL,JL. PAKISAN,Bataan,SWASTA
25,20521712,SMAN 1 TENGGARANG,Jl. Raya Situbondo - Tenggarang No. 96,Tenggarang,NEGERI
26,69772523,SMKS AL HIKAM,JL. PAKISAN,Pekalangan,SWASTA
27,20570367,SMKS NU,RAYA PAKISAN 341,Bataan,SWASTA
28,20583986,SMKS Nurul Hidayah,Jl. Tamanan Koncer Kidul,Koncer Kidul,SWASTA
29,20576021,SMP ISLAM NURUL KHALIL,JL. Pakisan RT. 11 RW. 04 Bataan,Bataan,SWASTA
30,20521794,SMP NU 01,Jl. Tamanan,Koncer Kidul,SWASTA
31,20554276,SMP NU 04,Jl Pakisan,Pekalangan,SWASTA
32,20554358,SMP NURUL ULAMA,Jl. Raya Pakisan No.341 Desa Bataan Kec. Tenggarang Kab. Bondowoso,Bataan,SWASTA
33,69831484,SMP WISMA ASWAJA,RT. 19 RW. 04,PEKALANGAN,SWASTA
34,20521664,UPTD SPF SD Negeri  Pekalangan 2 Kec. Tenggarang,Jl. Pakisan No. 11,Pekalangan,NEGERI
35,20539330,UPTD SPF SD Negeri Bataan 1 Kec. Tenggarang,Jln. Pakisan No. 11,Bataan,NEGERI
36,20522355,UPTD SPF SD Negeri Bataan 2 Kec. Tenggarang,Jln. Pakisan No. 38,Bataan,NEGERI
37,20555044,UPTD SPF SD Negeri Dawuhan Kec. Tenggarang,Jln Perikanan No. 82,Dawuhan,NEGERI
38,20522169,UPTD SPF SD Negeri Gebang Kec. Tenggarang,Gebang Kec. Tenggarang,Gebang,NEGERI
39,20522327,UPTD SPF SD Negeri Kajar 1 Kec. Tenggarang,Desa Kajar Kec. Tenggarang,Kajar,NEGERI
40,20522326,UPTD SPF SD Negeri Kajar 2 Kec. Tenggarang,Jl. Pakisan No. 418,Kajar,NEGERI
41,20522317,UPTD SPF SD Negeri Kasemek 1 Kec. Tenggarang,Jln. Pakisan,Kasemek,NEGERI
42,20522316,UPTD SPF SD Negeri Kasemek 2 Kec. Tenggarang,Desa Kasemek Kec. Tenggarang,Kasemek,NEGERI
43,20521632,UPTD SPF SD Negeri Koncer 1 Kec. Tenggarang,Jln Tamanan No. 75,Koncer Kidul,NEGERI
44,20521631,UPTD SPF SD Negeri Koncer 2 Kec. Tenggarang,Jl. Aip Moegiman No. 01,Koncer Kidul,NEGERI
45,20521636,UPTD SPF SD Negeri Lojajar Kec. Tenggarang,Lojajar,Lojajar,NEGERI
46,20521667,UPTD SPF SD Negeri Pekalangan 1 Kec. Tenggarang,Jl. Pakisan Ds Pekalangan Kec Tenggarang,Pekalangan,NEGERI
47,20521663,UPTD SPF SD Negeri Pekalangan 3 Kec. Tenggarang,Jln. Raya Pakisan Desa Pekalangan Kec. Tenggarang Bondowoso,Pekalangan,NEGERI
48,20521862,UPTD SPF SD Negeri Sumber Salam 1 Kec. Tenggarang,Desa Sumber Kec. Tenggarang,Sumbersalam,NEGERI
49,20521861,UPTD SPF SD Negeri Sumber Salam 2 Kec. Tenggarang,Jln. Grujugan No. 77,Sumbersalam,NEGERI
50,20539343,UPTD SPF SD Negeri Tangsil Kulon 1 Kec. Tenggarang,Jl. Situbondo,Tangsil Kulon,NEGERI
51,20521902,UPTD SPF SD Negeri Tangsil Kulon 2 Kec. Tenggarang,Jl. Situbondo,Tangsil Kulon,NEGERI
52,20521909,UPTD SPF SD Negeri Tenggarang 1 Kec. Tenggarang,Jl. KHR. As`ad Syamsul Arifin,Tenggarang,NEGERI
53,20521908,UPTD SPF SD Negeri Tenggarang 2 Kec. Tenggarang,Jl. Perikanan Darat No. 25,Tenggarang,NEGERI
54,20521894,UPTD SPF SD Negeri Tenggarang 3 Kec. Tenggarang,Jln. Raya Situbondo No. 25,Tenggarang,NEGERI
55,20521801,UPTD SPF SMP Negeri 1 Tenggarang,Jl.pakisan No.54,Lojajar,NEGERI
56,20521761,UPTD SPF SMP Negeri 2 Tenggarang,Jl. Raya Situbondo No. 96 A Tenggarang,Tenggarang,NEGERI
