
1,20580253,MAS AL FALAH,JL. H. SHOLIH NO.01 KEPEL,Ampel,SWASTA
2,20580275,MAS DARUL HIDAYAH,JL. PERHUTANI GROBYOG TANJUNGREJO,Tanjung Rejo,SWASTA
3,69788209,MAS MA`ARIF ANNUR,Jl. Ki Hajar Dewantara No. 70 Dusun Tegalbanteng,Kesilir,SWASTA
4,20580288,MAS MA`ARIF WULUHAN,JL. PAHLAWAN 186,Dukuh Dempok,SWASTA
5,69963543,MAS Naudlatut Tholabah,Jl. K H Imam Bukhori Demangan,Kesilir,SWASTA
6,69975762,MI UNGGULAN ANNUR,JL. SUNAN KALIJAGA 09 KESILIR WULUHAN JEMBER,Kesilir,SWASTA
7,60715840,MIS ABBASIYYAH,JL. PAHLAWAN GG. ABBAS WULUHAN JEMBER,Dukuh Dempok,SWASTA
8,69819594,MIS AL HIKMAH,Jl. Imam Bonjol No. 128,Tanjung Rejo,SWASTA
9,60715844,MIS AR RAHMAN,JL. MAELANG SEBANEN LOJEJER,Lojejer,SWASTA
10,69819593,MIS BAITUN NAIM,Jl. Ky. Syahid No.12 Dusun Krajan,Kesilir,SWASTA
11,60715828,MIS DARUL HIDAYAH,JL SUNAN BONANG POMO,Ampel,SWASTA
12,60715841,MIS MA 38 HIDAYATUL MUBTADIIN,JL. G. WATANGAN NO 29 RT.06 RW.09 KEPEL,Lojejer,SWASTA
13,60715842,MIS MA 75 AL HIDAYAH,JL. SULTAN AGUNG NO.7,Lojejer,SWASTA
14,60715831,MIS MIFTAHUL HIDAYAH,JL. KAKAK TUA 04 GLUNDENGAN,Glundengan,SWASTA
15,60715843,MIS MIMA 39 HIDAYATUL MURID,Jl. KH Dewantara 176,Ampel,SWASTA
16,60715839,MIS MIMA 41 TARBIYATUL ISLAMIYAH,GONDOSARI RT 003 RW 018 TAMANSARI,Tamansari,SWASTA
17,60715830,MIS MIMA 42 HIDAYATUD DINIYAH,JL. A. YANI NO. 56 GAWOK WULUHAN JEMBER,Dukuh Dempok,SWASTA
18,60715829,MIS MIMA DARUS SALAM,"JL.KARTINI II/47 SUMBEREJO, GLUNDENGAN - WULUHAN",Glundengan,SWASTA
19,60715832,MIS MUHAMMADIYAH 01 TANJUNGREJO,JL. AMBULU NO. 78 TANJUNGREJO,Tanjung Rejo,SWASTA
20,60715833,MIS MUHAMMADIYAH 02 TAMANSARI,JL. A. YANI NO. 64 GONDOSARI - TAMANSARI - WULUHAN,Tamansari,SWASTA
21,60715834,MIS MUHAMMADIYAH 03 DUKUHDEMPOK,JL. FLAMBOYAN NO.26,Dukuh Dempok,SWASTA
22,60715835,MIS MUHAMMADIYAH 04 AMPEL,JL. KH MANSYUR SHOLEH NO.62,Ampel,SWASTA
23,60715836,MIS MUHAMMADIYAH 05 AMPEL,JL.SUNAN MURIA 48 AMPEL,Ampel,SWASTA
24,60715837,MIS NAHDLATUTH THALABAH,JL. Kenanga kesilir,Kesilir,SWASTA
25,60715838,MIS NURUL ISLAM LOJEJER,JL. DIPONEGORO NO. 133 LOJEJER WULUHAN JEMBER,Lojejer,SWASTA
26,20581617,MTSS ABBASIYYAH,JLN.PAHLAWAN GG.ABBAS WULUHAN JEMBER,Dukuh Dempok,SWASTA
27,60727481,MTSS AL MAARIF,JL PAHLAWAN 127,Dukuh Dempok,SWASTA
28,20581616,MTSS DARUL HIDAYAH,Jl. Sunan Bonang Pomo,Ampel,SWASTA
29,20581619,MTSS MA`ARIF ANNUR,JL. KI HAJAR DEWANTARA NO. 70,Kesilir,SWASTA
30,20581621,MTSS NAHDLATUTH THALABAH,JL. KH. IMAM BUKHORI KESILIR WULUHAN JEMBER,Kesilir,SWASTA
31,20581618,MTSS NURUL ISLAM WULUHAN,JL. PB. SUDIRMAN NO. 133,Lojejer,SWASTA
32,60728765,MTSS SA AL FALAH,JL. H. SHOLIH NO. 01 KEPEL,Ampel,SWASTA
33,20581620,MTSS SA TAHSINUL KHULUQ,JL.PASAR KESILIR NO.12 KESILIR WULUHAN JEMBER,-,SWASTA
34,20525037,SD ISLAM NU 07,Jl. Cokroaminoto Krajan Wetan,Tanjung Rejo,SWASTA
35,20525023,SD NU 01,Jl. Pasar Kesilir No.12,Kesilir,SWASTA
36,20525024,SD NU 02 DIPONEGORO,Jl. Hos. Cokroaminoto No. 33,Dukuh Dempok,SWASTA
37,20554021,SD NU 03 NURUL HUDA,Jl. Cempaka No. 13,Dukuh Dempok,SWASTA
38,20525025,SD NU 04 AMPEL,Jl. Pasir Putih,AMPEL,SWASTA
39,20525040,SD NU 05 HIDAYUTUL MURID AMPEL,Jl. Kh Dewantara No. 176,Ampel,SWASTA
40,20554253,SD NU 06 MIFTAHUL ULUM,Jl. Watu  Ulo Rt. 06 Rw. 02 Grobyok,TANJUNGREJO,SWASTA
41,20524924,SD NU 08 MAARIF,Jl. H. Moh. Sholeh No. 1 Kepel,AMPEL,SWASTA
42,20524939,SD NU 09 RIYADLATUL UQUL,KH. Zuhdi Zain No. 150 Kepel,AMPEL,SWASTA
43,20524940,SD NU 10,Jl. Sulawesi 75,Dukuh Dempok,SWASTA
44,20554024,SD NU 12 DARUN NAJAH,Jl. Masjid Al Musthofa No. 03,Tamansari,SWASTA
45,20554025,SD NU 13 ROUDLOTUL MUBTADIIN,Jl. Balai Desa No. 184  Dusun Tamanrejo,Tamansari,SWASTA
46,20554026,SD NU 18 DARUS SHOLAH,Jl. Pb. Sudirman 133,LOJEJER,SWASTA
47,20554252,SD NU XI NAHDLATUTH THALABAH,Jl. Kh Im Buchori Po Box 10 Kesilir,KESILIR,SWASTA
48,20524944,SD PLUS AL MUTHOHHIRIN,"Jl. KH. Ahmad Thohir No. 1, Dusun Krajan",Kesilir,SWASTA
49,20524947,SD SDIT AL IKHLAS,Jl. Anggrek No. 80,Dukuh Dempok,SWASTA
50,20524976,SDN AMPEL 01,Jl. Watangan No. 185 Kepel,Ampel,NEGERI
51,20524977,SDN AMPEL 02,Jl. Puger No. 247,Ampel,NEGERI
52,20524967,SDN AMPEL 03,Jl. Ki Hajar Dewantoro No. 9 Pomo,Ampel,NEGERI
53,20524979,SDN AMPEL 04,Jl. Sunan Muria,Ampel,NEGERI
54,20524763,SDN DUKUHDEMPOK 01,Jl Pahlawan 63,Dukuh Dempok,NEGERI
55,20524764,SDN DUKUHDEMPOK 02,Jl. Pahlawan 117,Dukuh Dempok,NEGERI
56,20524765,SDN DUKUHDEMPOK 03,Jl. Kh. Dewantara No. 09,Dukuh Dempok,NEGERI
57,20524766,SDN DUKUHDEMPOK 04,Jl. Pahlawan 151,Dukuh Dempok,NEGERI
58,20524768,SDN DUKUHDEMPOK 05,Jl. Bali 02,Dukuh Dempok,NEGERI
59,20524769,SDN DUKUHDEMPOK 06,Jl. A. Yani No. 36,Dukuh Dempok,NEGERI
60,20524784,SDN GLUNDENGAN 01,Jl. Ambulu 304,Glundengan,NEGERI
61,20524785,SDN GLUNDENGAN 02,Jl. Kemuning Sari  134,Glundengan,NEGERI
62,20524786,SDN GLUNDENGAN 03,Jl. Kemuningsari 262,Glundengan,NEGERI
63,20524790,SDN GLUNDENGAN 04,Jl. Garuda 262,Glundengan,NEGERI
64,20524783,SDN GLUNDENGAN 05,Jl. Sedap Malam No. 231,Glundengan,NEGERI
65,20524788,SDN GLUNDENGAN 06,Jl. Nogosari Tanjungsari 231,Glundengan,NEGERI
66,20523519,SDN KESILIR 01,Jl. Ambulu No. 135 Demangan,Kesilir,NEGERI
67,20523515,SDN KESILIR 02,Jl. Ambulu 91,Kesilir,NEGERI
68,20523520,SDN KESILIR 03,Jl. Kh. Dewantara No. 20,Kesilir,NEGERI
69,20523517,SDN KESILIR 04,Jl. Kh Dewantara N0. 23,Kesilir,NEGERI
70,20523518,SDN KESILIR 05,Tegal Banteng,Kesilir,NEGERI
71,20523541,SDN LOJEJER 01,Jl. Pb. Sudirman No. 01,Lojejer,NEGERI
72,20523691,SDN LOJEJER 02,Jl. Puger No. 5,Lojejer,NEGERI
73,20523616,SDN LOJEJER 03,Jl. Brawijaya No. 2,Lojejer,NEGERI
74,20523692,SDN LOJEJER 04,Jl. Pb. Sudirman No. 133,Lojejer,NEGERI
75,20523693,SDN LOJEJER 05,Jl. Puskesmas No. 2,Lojejer,NEGERI
76,20523694,SDN LOJEJER 06,Jl. Papuma 59 Grintingan,Lojejer,NEGERI
77,20524018,SDN TAMANSARI 01,Jl. Lojejer,Tamansari,NEGERI
78,20524016,SDN TAMANSARI 02,Jl. A. Yani No. 17,Tamansari,NEGERI
79,20524021,SDN TAMANSARI 03,Jl. Ambulu No. 89,Tamansari,NEGERI
80,20524022,SDN TAMANSARI 04,Jl. Pb. Sudirman No. 50 Gondosari,Tamansari,NEGERI
81,20524009,SDN TANJUNGREJO 01,Jl. Diponegoro No. 181 Tanjungrejo,Tanjung Rejo,NEGERI
82,20524160,SDN TANJUNGREJO 02,Jl. Sunan Gunungjati 191,Tanjung Rejo,NEGERI
83,20524011,SDN TANJUNGREJO 03,Jl. Watangan Grobyog,Tanjung Rejo,NEGERI
84,20524027,SDN TANJUNGREJO 04,Krajan Wetan,Tanjung Rejo,NEGERI
85,20524085,SDN TANJUNGREJO 05,Jl. Mawar No. 10 Krajan Wetan,Tanjung Rejo,NEGERI
86,20524145,SDN TANJUNGREJO 06,Jl. Grobyog Gg. 05,Tanjung Rejo,NEGERI
87,69988517,SDS HIDAYATUL MURID FULL DAY,JL KI HAJAR DEWANTARA NO.121,Ampel,SWASTA
88,20554029,SDS MUHAMMADIYAH 01,Jl. Ki Hajar Dewantoro No 72 Wuluhan,AMPEL,SWASTA
89,69757938,SDS NU 22 FULL DAY AL-HIKMAH,Jl. Kenanga 33/35 Dusun Demangan,Kesilir,SWASTA
90,20523793,SMAS 2 DIPONEGORO WULUHAN,JL. PAHLAWAN  186,Dukuh Dempok,SWASTA
91,20523796,SMAS MUHAMMADIYAH 2 WULUHAN,JL. AMBULU 4,Tanjung Rejo,SWASTA
92,20523831,SMKS 01 DIPONEGORO WULUHAN,"JL. PAHLAWAN NO. 186, PURWOJATI",Dukuh Dempok,SWASTA
93,60724706,SMKS 08 MA ARIF NU,JL. KH. ZUHDI ZAIN NO.197,Ampel,SWASTA
94,20523832,SMKS 1 BUSTANUL ULUM WULUHAN,Jl. Seruni No. 03,Dukuh Dempok,SWASTA
95,69830460,SMKS AL BUKHORI,"Jalan KH. Abdul Karim, 19",Kesilir,SWASTA
96,69830461,SMKS AL HIDAYAH,JL PESANTREN N0 10,Tamansari,SWASTA
97,20558760,SMKS NAHDLATUTH THALABAH WULUHAN,JL. K.H. IMAM BUKHORI PO. BOX 10,Kesilir,SWASTA
98,20523737,SMP 06 DIPONEGORO,Jl. Pahlawan No 127 Wuluhan - Jember,Dukuh Dempok,SWASTA
99,20523782,SMP BUSTANUL ULUM,Jl. Seruni 03,DUKUHDEMPOK,SWASTA
100,20523784,SMP DAERAH,Jl Ki Hajar Dewantoro No.18,DUKUHDEMPOK,SWASTA
101,20523933,SMP MUHAMMADIYAH 11 WULUHAN,Jl. Pahlawan No. 303,DUKUHDEMPOK,SWASTA
102,20523911,SMP MUHAMMADIYAH 6 WULUHAN,Jl. Ambulu No. 5,Tanjung Rejo,SWASTA
103,20523912,SMP MUHAMMADIYAH 7 WULUHAN,Jl. A. Yani No 42 Tamansari Wuluhan,Tamansari,SWASTA
104,20523955,SMP PGRI KESILIR,Jl Ambulu No 10 Kesilir,KESILIR,SWASTA
105,20555452,SMP PLUS DARUL HIKMAH II WULUHAN,"Jl. Nogosari No, 04 Tanjungsari Glundengan Wuluhan",Glundengan,SWASTA
