
1,30105772,SD NEGERI 01 KUMPANG ILONG,Dusun Kumpang Ilong,KUMPANG ILONG,NEGERI
2,30105874,SD NEGERI 02 BALAI SEPUAK,Jl. Dwikora RT. 08,BALAI SEPUAK,NEGERI
3,30105924,SD NEGERI 03 SUNGAI TAPAH,Sungai Tapah,Sei Tapah,NEGERI
4,30105950,SD NEGERI 04 SEBETUNG,Sebetung,SEBETUNG,NEGERI
5,30105966,SD NEGERI 05 TERDUK DAMPAK,Dusun Terduk Dampak,Terduk Dampak,NEGERI
6,30105978,SD NEGERI 06 TABUK,Tabuk Hulu,TABUK HULU,NEGERI
7,30105986,SD NEGERI 07 PAKIT MULAU,Pakit Mulau,Paket Mulau,NEGERI
8,30105996,SD NEGERI 08 BATUK,Batuk Mulau,BATUK MULAU,NEGERI
9,30106021,SD NEGERI 09 SINGKAM,Singkam,BATUK MULAU,NEGERI
10,30105643,SD NEGERI 10 SUNGAI ANTU HULU,Sungai Antu Hulu,Sei Antu Hulu,NEGERI
11,30105647,SD NEGERI 11 BALAI SEPUAK,Jl. Panggi Rugok,BALAI SEPUAK,NEGERI
12,30105661,SD NEGERI 12 BALAU MILUT,Dusun Balau Milut,BALAU MILUT,NEGERI
13,30105690,SD NEGERI 13 SEBELANTAU,Dusun Sebelantau,Sei Antu Hulu,NEGERI
14,30105702,SD NEGERI 14 MENGARET,Dusun Mengaret,Mengaret,NEGERI
15,30105712,SD NEGERI 15 BELITANG UBAH,Dusun Belitang Ubah,Sebetung,NEGERI
16,30105724,SD NEGERI 16 BALAU NYAWANG,Dusun Balau Nyawang,Sei Tapah,NEGERI
17,30105736,SD NEGERI 17 IJUK,Ijuk,Ijok,NEGERI
18,30105756,SD NEGERI 18 SEBURUK,Dusun Seburuk,Seburuk Satu,NEGERI
19,30105760,SD NEGERI 19 DANDI,Dusun Dandi,BATUK MULAU,NEGERI
20,30105792,SD NEGERI 20 SENGKABANG MUNTIK,Dusun Sengkabang Kiarak,Ijok,NEGERI
21,30105802,SD NEGERI 21 SP 8 KUMPANG ILONG,SP VIII,Kumpang Ilong,NEGERI
22,30105814,SD NEGERI 22 SP XI KUMPANG DANAU,Sp Xi Kumpang Danau,KUMPANG ILONG,NEGERI
23,30105820,SD NEGERI 23 ENGKUDU,Rt. 5 Engkudu Mulau,TERDUK DAMPAK,NEGERI
24,30105834,SD NEGERI 24 RANDAU,Dusun Randau,Seburuk Satu,NEGERI
25,30108182,SD NEGERI 25 BAK MERAT,Desa Kumpang Ilong,Balai Sepuak,NEGERI
26,30108183,SD NEGERI 26 KEDANG,Dusun  Ngelai,Tabuk Hulu,NEGERI
27,30108184,SD NEGERI 27 RENGAT,Desa Sungai Tapah,Sei Tapah,NEGERI
28,30109726,SD NEGERI 28 TEMEDAK MERAT,Jalan Raya Temedak Merat,IJUK,NEGERI
29,30112107,SD NEGERI 29 GELOMBANG,Dusun Gelombang,Mengaret,NEGERI
30,69829165,SD NEGERI 30 SUNGAI KURA,Dusun Sungai Kurak,Seburuk Satu,NEGERI
31,69829169,SD NEGERI 31 KELIAT,DESA SUNGAI TAPAH,Sei Tapah,NEGERI
32,69899858,SD NEGERI 32 SEMELABAN,Dusun Semelaban,Seburuk Satu,NEGERI
33,69899859,SD NEGERI 33 PAKAN,Dusun Pakan,Balai Sepuak,NEGERI
34,69970680,SD NEGERI 34 SUNGAI TEBELIAN,Dusun Sungai Tebelian,Sebetung,NEGERI
35,30106125,SMAN 1 BELITANG HULU,JL. RAYA BALAI SEPUAK,Balai Sepuak,NEGERI
36,69947899,SMAN 2 BELITANG HULU,Dusun Terduk Dampak,Terduk Dampak,NEGERI
37,69976805,SMKN 1 BELITANG HULU,TEMEDAK MERAT,Ijok,NEGERI
38,30106043,SMP NEGERI 1 BELITANG HULU,Jl. Raya Balai Sepuak,Balai Sepuak,NEGERI
39,30106057,SMP NEGERI 2 BELITANG HULU,Jl. Merdeka Rt. 01 / Rw. 01,Sebetung,NEGERI
40,30106570,SMP NEGERI 3 BELITANG HULU,Dusun Mertawai,Sei Tapah,NEGERI
41,30106571,SMP NEGERI 4 BELITANG HULU,Balau Milut,MENGARET,NEGERI
42,30106573,SMP NEGERI 5 BELITANG HULU,Jl. Poros Pateh,Kumpang Ilong,NEGERI
43,30107724,SMP NEGERI 6 BELITANG HULU,Terduk Dampak,Terduk Dampak,NEGERI
44,30108090,SMP NEGERI 7 BELITANG HULU,Jalan Poros SP. VIII,Kumpang Ilong,NEGERI
45,69888966,SMTK EBEN HAIZER,Jl. Anugerah Desa Balai Sepuak Enternat RT 10/RW 1,Balai Sepuak,SWASTA
