
1,69734294,MIS ILMUL YAQIN,JL. LINTAS SELATAN MENTEBAH,-,SWASTA
2,69728140,MTSS ILMUL YAQIN,JALAN LINTAS SELATAN MENTEBAH,-,SWASTA
3,30103121,SD NEGERI 01 NANGA MENTEBAH,Jl. Pendidikan Rt 01 Rw 01,NANGA MENTEBAH,NEGERI
4,30103065,SD NEGERI 02 SUKA MAJU,DUSUN SUNGAI JAMBU Rt 03 Rw 01,SUKA MAJU,NEGERI
5,30103072,SD NEGERI 03 MENARIN,Jl. Lintas Selatan Km 40,MENAREN,NEGERI
6,30103221,SD NEGERI 04 KEPALA GURUNG,Jl. Lintas Suruk Bukit Sunan,KEPALA GURUNG,NEGERI
7,30103208,SD NEGERI 05 BIANG II,Biang II,TANJUNG,NEGERI
8,30103158,SD NEGERI 06 TEKALONG III,Sei Putih,TEKALONG,NEGERI
9,30103166,SD NEGERI 07 MENTEBAH,MENTEBAH KANAN,TANJUNG INTAN,NEGERI
10,30102842,SD NEGERI 09 SUMEDANG,Jl. Suri Sumedang,TANJUNG INTAN,NEGERI
11,30108091,SD NEGERI 10 PADANG JAYA,Jalan Lintas Timur Dusun Padang Jaya,TANGAI JAYA,NEGERI
12,30108136,SD NEGERI 11 UPT XVI TRANS SUKA MAJU,Kec. Mentebah,Suka Maju,NEGERI
13,30108093,SD NEGERI 12 UPT XVII KEPALA GURUNG,Jalan Lintas Trans Suruk Hulu,Kepala Gurung,NEGERI
14,30110096,SD NEGERI 13 LUBUK TAPANG,Kec. Mentebah,Kepala Gurung,NEGERI
15,30103188,SDN 08 SEI TEKUYUNG,Dusun Sei Tekuyung,Tangai Jaya,NEGERI
16,69984105,SDN No. 14 BANGAN PERMAI,Jalan Asri No. 02,TANJUNG INTAN,NEGERI
17,30102914,SMAN 1 MENTEBAH,JL. LINTAS SELATAN MENTEBAH,Nanga Mentebah,NEGERI
18,30102945,SMP NEGERI 1 MENTEBAH,Jl. Lintas Selatan Km 42,NANGA MENTEBAH,NEGERI
19,30107686,SMP NEGERI 2 MENTEBAH,Jl.lintas Timur Sungai Suruk,SUKA MAJU,NEGERI
