
1,30101126,SD KRISTEN FILADELFIA,Tikalong,Ansiap,SWASTA
2,30101608,SD N 01 SADANIANG,Dusun Barangan,Suak Berangan,NEGERI
3,30101560,SD N 02 SADANIANG,Jl. Raya Sangking,Amawang,NEGERI
4,30101654,SD N 03 SADANIANG,Jl. Sungai Pinggan,PENTEK,NEGERI
5,30101488,SD N 04 SADANIANG,Jl. Sekabuk,SEKABUK,NEGERI
6,30101528,SD N 05 SADANIANG,Jl. Satak Bawing,BUMBUN,NEGERI
7,30100833,SD N 06 SADANIANG,Jl. Gutok,ANSIAP,NEGERI
8,30100796,SD N 07 SADANIANG,Jl. Raya Bawing,BUMBUN,NEGERI
9,30100883,SD N 08 SADANIANG,Jl. Raya Untang,Pentek,NEGERI
10,30100892,SD N 09 SADANIANG,Jl. Raya Pudak,AMAWANG,NEGERI
11,30100868,SD N 10 SADANIANG,Dusun Pendeng,AMAWANG,NEGERI
12,30100848,SD N 11 SADANIANG,Dusun Guro,Suak Berangan,NEGERI
13,30100858,SD N 12 SADANIANG,Dusun Samantakin,Suak Berangan,NEGERI
14,30100718,SD N 13 SADANIANG,Jl. Nangka Sangking,Bumbun,NEGERI
15,30100690,SD N 14 SADANIANG,"jalan Pendeng,Trans aos",Amawang,NEGERI
16,30108559,SD N 15 SADANIANG,Dusun Parasan,Suak Berangan,NEGERI
17,69763292,SD N 16 SADANIANG,Jl.dusun Tampah Desa Bumbun,Bumbun,NEGERI
18,69763293,SD N 17 SADANIANG,Jl.dusun Pelanjau Desa Amawang,Desa Amawang,NEGERI
19,69763294,SD N 18 SADANIANG,Jl.dusun Titi Dahan Desa Sekabuk,sekabuk,NEGERI
20,69973530,SDN 19 SADANIANG,Ansiap,Ansiap,NEGERI
21,69831639,SMA Kristen Filadelfia Sadaniang,Jl. Dusun Tikalong,Desa Ansiap,SWASTA
22,30108558,SMKN 1 SADANIANG,Jalan Raya Pudak,Amawang,NEGERI
23,30101006,SMP NEGERI 1 SADANIANG,Jalan Raya Sungai Pinggan,PENTEK,NEGERI
24,30107246,SMP NEGERI 2 SADANIANG,Bumbun,Bumbun,NEGERI
25,30107707,SMP NEGERI 3 SADANIANG,Jl. Raya Sekabuk,Sekabuk,NEGERI
26,69831637,SMP NEGERI 4 SADANIANG,Jl. Desa Suak Barangan,Suak Berangan,NEGERI
27,30107258,SMPK FILADELFIA,"Tikalong, Rt 01/Rw 01",ANSIAP,SWASTA
