
1,69725151,MAS DARUSSALAM,JL. BANGUN REJO,Kolam Kiri Dalam,SWASTA
2,60722892,MIN 5 BARITO KUALA,DESA SUNGAI KALI RT.07 NO.056,Sungai Kali,NEGERI
3,69726256,MIS DARUL ULUM,JL.A.YANI NO.76 RT.05,Pendalaman,SWASTA
4,69725330,MIS DARUN NAJAH,DS.KOLAM KANAN,Barambai Kolam Kanan,SWASTA
5,69752871,MIS NURUL HUDA,HANDIL BARABAI RT.3,Handil Barabai,SWASTA
6,30315315,MTSN 4 BARITO KUALA,JL. PELITA MAKMUR NO. 4 RT. 6,Barambai,NEGERI
7,69725811,MTSS MIFTAHUSSALAM,DESA KOLAM KIRI DALAM,Barambai Kolam Kiri,SWASTA
8,30315316,MTSS SATU ATAP,JL. SUNGAI KALI RT. 7 RW.03 NO. 56,Sungai Kali,SWASTA
9,30301417,SD NEGERI BAGAGAP 1,Jl. Patih Bardan RT 07,BAGAGAP,NEGERI
10,30301404,SD NEGERI BARAMBAI 1,Jln. Patih Bardan no. 21 A RT. 2,BARAMBAI,NEGERI
11,30301405,SD NEGERI BARAMBAI KOLAM KANAN 1,KOLAM KANAN RT.09,Barambai Kolam Kanan,NEGERI
12,30301406,SD NEGERI BARAMBAI KOLAM KANAN 2,Jl. Ray 4,KOLAM KANAN,NEGERI
13,30301407,SD NEGERI BARAMBAI KOLAM KIRI 1,Jl. Ray 6 RT. 13 Barambai Kolam Kiri,Barambai Kolam Kiri,NEGERI
14,30301408,SD NEGERI BARAMBAI KOLAM KIRI 2,Jl. Bangun Rejo Rt. 1 Rw 1,KOLAM KIRI DALAM,NEGERI
15,30301369,SD NEGERI BARAMBAI KOLAM KIRI 3,Jalan Poros I Kolam Kiri Dalam,KOLAM KIRI DALAM,NEGERI
16,30301314,SD NEGERI BARAMBAI KOLAM KIRI 4,Jl. Ray 6,Barambai Kolam Kiri,NEGERI
17,30301328,SD NEGERI BARAMBAI KOLAM KIRI 5,Jl. Bangun Rejo Rt. 1,KOLAM KIRI DALAM,NEGERI
18,30311611,SD NEGERI KARYA BARU,"Jln. Manuntung, No. 100",KARYA BARU,NEGERI
19,30300945,SD NEGERI KARYA TANI,Handil Karya Tani,KARYA TANI,NEGERI
20,30300975,SD NEGERI PENDALAMAN BARU,Jl. Grilya Rt. 4 Rw. 2,PENDALAMAN BARU,NEGERI
21,30300902,SD NEGERI SUNGAI KALI,Jl. Patih Bardan Rt 02 Rw.01,SUNGAI KALI,NEGERI
22,30311646,SMAN 1 BARAMBAI,Jl. Jenderal Sudirman,Barambai Kolam Kiri,NEGERI
23,30300997,SMP NEGERI 1 BARAMBAI,Jl. Bangunrejo No. 04,KOLAM KIRI DALAM,NEGERI
24,30301028,SMP NEGERI 2 BARAMBAI,Desa Bagagap Rt. 2,BAGAGAP,NEGERI
25,30311658,SMP NEGERI 3 SATU ATAP BARAMBAI,Jalan Manuntung Nomor 100,Karya Baru,NEGERI
