
1,30315143,MAS UBUDIYAH,JL. PESANTREN RT. 07 RW. 02,Padang,SWASTA
2,60729532,MIS DARUL AMAN,JL. A. YANI KM 29,Pandahan,SWASTA
3,60722783,MIS DARUSSALAM,JL.M.NOOR RT.12,Bati Bati,SWASTA
4,60722782,MIS DARUSSALIM,"JL.PAHLAWAN RT.08.RW.III NO,43",Benua Raya,SWASTA
5,69819691,MIS UBUDIYAH,Jl. Pesantren RT. 07 RW. 02 Desa Padang Kecamatan Bati-Bati,Padang,SWASTA
6,60727600,MTSS DARUL AMANAH,JL.A.YANI KM.29,Pandahan,SWASTA
7,30315246,MTSS SA DARUSSALIM,JL.PAHLAWAN RT.08 RW.III NO. 43,Benua Raya,SWASTA
8,30315247,MTSS UBUDIYAH,JL. PESANTREN RT. VII RW. II,Padang,SWASTA
9,69963509,Nahdlatul Ulama Daar El-Musthofa,"Jl. Datu Insad Desa Bentok Kampung, RT. 04 RW. 02",Bentok Kampung,SWASTA
10,30300701,SMAN 1 BATI-BATI,"JL. A. YANI KM. 33,3",NUSA INDAH,NEGERI
11,69758488,SMK NEGERI 1  BATI-BATI,Jalan Imban,Banyu Irang,NEGERI
12,30300743,UPTD SD NEGERI 1 BANYU IRANG,Jalan Ayani Kam 50,Banyu Irang,NEGERI
13,30300736,UPTD SD NEGERI 1 BATI-BATI,Jl.bakhti,Bati Bati,NEGERI
14,30300848,UPTD SD NEGERI 1 BENTOK DARAT,Desa Dentok Darat,Bentok Darat,NEGERI
15,30300843,UPTD SD NEGERI 1 BENUA RAYA,Jl. Pahlawan Kab. Tanah Laut,Benua Raya,NEGERI
16,30300796,UPTD SD NEGERI 1 KAIT-KAIT,Jl.a Yani Km 63 Desa Kait-kait,Kait Kait,NEGERI
17,30300607,UPTD SD NEGERI 1 LIANG ANGGANG,Jl.A.Yani Km.29.700 Rt.01 Kec.Bati-Bati Kab. Tanah Laut,Liang Anggang,NEGERI
18,30300599,UPTD SD NEGERI 1 NUSA INDAH,JL.A.YANI KM 33.500,Nusa Indah,NEGERI
19,30300593,UPTD SD NEGERI 1 PANDAHAN,Jl. A.yani Km 29 Rt. 7,Pandahan,NEGERI
20,30300708,UPTD SD NEGERI 1 UJUNG,Jl. Kamajaya Rt.07 No.226 Rw.02,Ujung,NEGERI
21,30300742,UPTD SD NEGERI 2 BANYU IRANG,Jln.a Yani Km 50,Banyu Irang,NEGERI
22,30300735,UPTD SD NEGERI 2 BATI-BATI,Jl. Bakti Rt X,Bati Bati,NEGERI
23,30300847,UPTD SD NEGERI 2 BENTOK DARAT,Jl. Soebarjo,Bentok Darat,NEGERI
24,30300842,UPTD SD NEGERI 2 BENUA RAYA,Jl. Pelabuhan Telaga Giri,Benua Raya,NEGERI
25,30300813,UPTD SD NEGERI 2 KAIT-KAIT,Jl. Penghijauan,Kait-Kait Baru,NEGERI
26,30312652,UPTD SD NEGERI 2 LIANG ANGGANG,Jln. Kura-Kura Ringgit,Liang Anggang,NEGERI
27,30305449,UPTD SD NEGERI 2 NUSA INDAH,Jl Sabar Menanti,Nusa Indah,NEGERI
28,30300610,UPTD SD NEGERI 2 PANDAHAN,Jl. A. Yani Km.28 Rt.1,Pandahan,NEGERI
29,30300707,UPTD SD NEGERI 2 UJUNG,Jl.tanggul Desa Ujung,Ujung,NEGERI
30,30300741,UPTD SD NEGERI 3 BANYU IRANG,jl. Banyu Irang,Banyu Irang,NEGERI
31,69967839,UPTD SD NEGERI 3 BENTOK DARAT,Jln. Kerasik RT.012/005,Bentok Darat,NEGERI
32,30300846,UPTD SD NEGERI BENTOK KAMPUNG,Desa Bentok Kampung,Bentok Kampung,NEGERI
33,30300597,UPTD SD NEGERI PADANG,Jl. Jaya Fityani,Padang,NEGERI
34,30300558,UPTD SD NEGERI SAMBANGAN,Jalan Datu Insad,Sambangan,NEGERI
35,30300706,UPTD SD NEGERI UJUNG BARU,Desa Ujung Baru,Ujung Baru,NEGERI
36,30304904,UPTD SMP NEGERI 1 BATI-BATI,Jl Tumenggung Sutun,Bati Bati,NEGERI
37,30300635,UPTD SMP NEGERI 2 BATI-BATI,Jl. A.yani Km.50 Banyu Irang,Banyu Irang,NEGERI
38,30304921,UPTD SMP NEGERI 3 BATI BATI,Jl A Yani Km 3,Liang Anggang,NEGERI
39,30300662,UPTD SMP NEGERI 4 BATI-BATI,Jl. A. Yani Km.63,Kait Kait,NEGERI
40,60702926,UPTD SMP NEGERI 5 BATI-BATI,Jl. Soebarjo,Bentok Darat,NEGERI
41,69965913,UPTD SMP NEGERI 6 BATI-BATI,JLN. SABAR MENANTI,Nusa Indah,NEGERI
