
1,69983976,MAS AZ ZIKRA BATULICIN,JL. RAYA BATULICIN KM 09 RT 01 DESA KERSIK PUTIH KECAMATAN BATULICIN,Kersik Putih,SWASTA
2,69955791,MAS Darul Ijabah,Jl. Dharma Praja RT 04 Kel. Gunung Tinggi,GUNUNG TINGGI,SWASTA
3,60723120,MIS AL HIDAYAH,JLN RAYA BATULICIN,Batulicin,SWASTA
4,69994375,MTs SYARIF ABBAS,Jl. Sampurna Gg. Yapisa No. 007,,SWASTA
5,30315446,MTSS AL HIDAYAH,JLN RAYA BATULICIN,Batulicin,SWASTA
6,30315445,MTSS DDI KERSIK PUTIH,JL.RAYA BATULICIN KM. 09,Segumbang,SWASTA
7,30303680,SD ISLAM TERPADU AR RASYID,Jln.  Raya Segumbang km. 251,Segumbang,SWASTA
8,30303695,SD NEGERI 1 BATULICIN,Jl. Raya Batulicin No.33,BATULICIN,NEGERI
9,30303738,SD NEGERI 1 KUSAMBI,Jl. AMD RT. 03 RW. 01 No. 001,Maju Makmur,NEGERI
10,30303694,SD NEGERI 2 BATULICIN,Jl. Pemerintahan No.40 Rt.v,BATULICIN,NEGERI
11,69772846,SD NEGERI 2 KERSIK PUTIH,Jl. Raya Batulicin Ds. Kersik Putih,Kersik Putih,NEGERI
12,30303737,SD NEGERI 2 KUSAMBI,Jl. Sukamaju,KUSAMBI,NEGERI
13,69772847,SD NEGERI 3 BATULICIN,JL. MANGGIS RT7/02,BATULICIN,NEGERI
14,30303687,SD NEGERI BATU BAHALANG,Jl. Desa Danau Indah RT. 02 Km. 27,DANAU INDAH,NEGERI
15,30303745,SD NEGERI KERSIK PUTIH,"Jl, Raya Batulicin",KERSIK PUTIH,NEGERI
16,30303588,SD NEGERI PONDOK BUTUN,Jl  Dharma Praja Rt 04,GUNUNG TINGGI,NEGERI
17,30303559,SD NEGERI SEGUMBANG,Jl. Raya Batulicin Km.10.5,SEGUMBANG,NEGERI
18,69955014,SDIT AL-FATH,Jl. Raya Batulicin RT. 11,Batulicin,SWASTA
19,69985714,SMAIT Plus Ar - Rasyid,Jl. Raya Batulicin Km. 251 Segumbang,Segumbang,SWASTA
20,30312949,SMKS ALHIDAYAH,JL. RAYA BATULICIN,Batulicin,SWASTA
21,30313385,SMKS DDI,Jl. Dharma Praja Gunung Tinggi RT. 07,Kersik Putih,SWASTA
22,30311403,SMKS TUNAS BANGSA,JL. RAYA BATULICIN (GANG MANGGIS) KM. 5,Batulicin,SWASTA
23,30311406,SMP ISLAM TERPADU AR RASYID,Jl. Raya Batulicin - Pagatan KM 251 Segumbang,Segumbang,SWASTA
24,69957168,SMP IT Darul Ijabah,Jl. Dharma Praja RT. 04  Gunung Tinggi,GUNUNG TINGGI,SWASTA
25,30303613,SMP NEGERI 1 BATULICIN,Jl. Raya Batulicin Km.4 No.113,Batulicin,NEGERI
26,30313375,SMP NEGERI 2 BATULICIN,Jl Amd No.01 Rt. 03,Maju Makmur,NEGERI
27,69772855,SMP NEGERI 3 SATU ATAP BATULICIN,Jl. Lokalitbang RT.06,GUNUNG TINGGI,NEGERI
28,69964724,SMP NEGERI 4 BATULICIN,Jl. Yakut RT. 13 RW. 03,Batulicin,NEGERI
