
1,30315155,MAS SABILAL MUHTADIN,JL. P. ANTASARI RT. 62 NO 51,Karang Rejo,SWASTA
2,30401580,MTSS SABILAL MUHTADIEN,JL. P. ANTASARI RT. 62 NO. 51,Karang Rejo,SWASTA
3,30402838,SD ADVENT BALIKPAPAN TENGAH,Jl. Kapten Pierre Tendean Rt 50 No 57,GN SARI ILIR,SWASTA
4,30402840,SD BETHEL,Jl. May. Jend. Sutoyo RT 1 No. 6,Gunungsari Ilir,SWASTA
5,30401537,SD ISLAM COKROAMINOTO,Jl. Cempaka Putih No.6 Rt.16,GN SARI ILR,SWASTA
6,30402839,SD IT AL AULIYA 1,Jl. Sultan Alauddin Rt.2 No.10,MEKAR SARI,SWASTA
7,30402848,SD IT LUQMAN AL HAKIM,Jl. Sultan Alauddin RT 01 No.26 Karang Bugis Dalam,Karang Jati,SWASTA
8,30401529,SD MUHAMMADIYAH BALIKPAPAN,Jl. Pangeran Antasari No.31 Rt.12,Sumber Rejo,SWASTA
9,30401523,SD NEGERI 001 BALIKPAPAN TENGAH,Jl. Jend A. Yani,KARANG REJO,NEGERI
10,30401554,SD NEGERI 002 BALIKPAPAN TENGAH,Jl. Ahmad Yani No.01 Rt.01,KARANG REJO,NEGERI
11,30401552,SD NEGERI 003 BALIKPAPAN TENGAH,Jln. Jend. A. Yani Rt. 49,Gunungsari Ilir,NEGERI
12,30401546,SD NEGERI 004 BALIKPAPAN TENGAH,Jl. Letjen. S. Parman Gg. Bahagia Rt.36,Gunung Sari Ulu,NEGERI
13,30401542,SD NEGERI 005 BALIKPAPAN TENGAH,Jl. Pangeran Antasari Rt. 61 No. 56,Karang Rejo,NEGERI
14,30401649,SD NEGERI 006 BALIKPAPAN TENGAH,Jl.a.yani Rt.49,Gunungsari Ilir,NEGERI
15,30401643,SD NEGERI 007 BALIKPAPAN TENGAH,Jl. Ra Kartini Rt.36,Gunungsari Ilir,NEGERI
16,30401639,SD NEGERI 008 BALIKPAPAN TENGAH,Jl. Jend.ahmad Yani Rt.06 Karang Jawa Balikpapan,KARANG JATI,NEGERI
17,30401652,SD NEGERI 009 BALIKPAPAN TENGAH,Jl.sultan Alauddin RT.01 No.22,KARANG JATI,NEGERI
18,30401667,SD NEGERI 010 BALIKPAPAN TENGAH,Jl. Di Panjaitan Rt.29 No.58,SUMBER REJO,NEGERI
19,30401660,SD NEGERI 011 BALIKPAPAN TENGAH,Jl. Sumber Rejo I Rt.35 No.13,Sumber Rejo,NEGERI
20,30401654,SD NEGERI 012 BALIKPAPAN TENGAH,Jl. Sulawesi RT.37 No.37,Karang Rejo,NEGERI
21,30401632,SD NEGERI 013 BALIKPAPAN TENGAH,Jl. RE. Martadinata Rt. 32 No. 06,Mekar Sari,NEGERI
22,30401609,SD NEGERI 014 BALIKPAPAN TENGAH,Jl. Gunung Rejo Rt. 16 No.54,GUNUNG SARI ULU,NEGERI
23,30401606,SD NEGERI 015 BALIKPAPAN TENGAH,Jl. Wonosari no. 90 rt. 23,Gunungsari Ilir,NEGERI
24,30401601,SD NEGERI 016 BALIKPAPAN TENGAH,Jl. Kamboja Rt.30 no.50,GUNUNG SARI ILIR,NEGERI
25,30401630,SD NEGERI 017 BALIKPAPAN TENGAH,Jl. P. Antasari Rt.05 No.42,KARANG REJO,NEGERI
26,30401628,SD NEGERI 018 BALIKPAPAN TENGAH,Jl.Letjend S.Parman Rt.02.No.02,Gunungsari Ulu,NEGERI
27,30401623,SD NEGERI 019 BALIKPAPAN TENGAH,"Jln. P. Antasari, No. 6, Rt. 76",KARANG REJO,NEGERI
28,30401413,SD NEGERI 020 BALIKPAPAN TENGAH,Jl.Dr.Sutomo Rt.07 No.03,SUMBER REJO,NEGERI
29,30401445,SD NEGERI 021 BALIKPAPAN TENGAH,Jl. Jend. Ahmad Yani No. 20 Rt. 20,Karang jati,NEGERI
30,30401440,SD NEGERI 022 BALIKPAPAN TENGAH,Balikpapan,GUNUNG SARI ILIR,NEGERI
31,30401436,SD NEGERI 023 BALIKPAPAN TENGAH,Jl. Senayan  Rt.87 No. 35,Karang Rejo,NEGERI
32,30401432,SD NEGERI 024 BALIKPAPAN TENGAH,Jln. Pangeran Antasari Rt.17 No. 105,Sumber Rejo,NEGERI
33,30401387,SD NEGERI 025 BALIKPAPAN TENGAH,Jln Letjen S Parman Rt. 14 No.01,Gunung sari Ulu,NEGERI
34,30401382,SD NEGERI 026 BALIKPAPAN TENGAH,S.parman Rt.25 No.52,GUNUNG SARI ULU,NEGERI
35,30401377,SD NEGERI 027 BALIKPAPAN TENGAH,Balikpapan,Sumber Rejo,NEGERI
36,30401380,SD NEGERI 028 BALIKPAPAN TENGAH,Jl. Bonto Bulaeng RT. 03 No. 19 Kel. Sumber Rejo Kec. Balikpapan Tengah,Sumber Rejo,NEGERI
37,30401408,SD NEGERI 029 BALIKPAPAN TENGAH,Jl. RE. Martadinata No. 66 RT. 15,Mekar Sari,NEGERI
38,30401403,SD NEGERI 030 BALIKPAPAN TENGAH,Jl. R.E Martadinata RT.32 NO.05,Mekar Sari,NEGERI
39,69900786,SDIT JAMI YYATUL MUSTAQIM,JL. D.I PANJAITAN NO.01 RT. 82,Karang Rejo,SWASTA
40,69974739,SMAIT TRI SUKSES GENERUS,"Jl. Guntur Damai, RT. 38",Gunungsari Ulu,SWASTA
41,30401409,SMAS ADVENT,JL. KAPTEN PIERE TENDEAN NO.57,Gunungsari Ilir,SWASTA
42,30401499,SMAS MUHAMMADIYAH 1,JL. LETJEND S. PARMAN RT 24 NO.19,Sumber Rejo,SWASTA
43,30401496,SMAS PATRA DHARMA,JL. WARUKIN III PANORAMA,KARANG JATI,SWASTA
44,30401517,SMKS AIRLANGGA BALIKPAPAN,JL. S. PARMAN (GN. GUNTUR) NO. 14,GUNUNG SARI ULU,SWASTA
45,30405585,SMKS HARAPAN BHAKTI BALIKPAPAN,JL. LETJEND. SUPRAPTO,Karang Jati,SWASTA
46,69786293,SMKS KESEHATAN AIRLANGGA,Jl. S Parman No. 14 Gunung Guntur,Gunungsari Ilir,SWASTA
47,30401511,SMKS MUHAMMADIYAH 1 BALIKPAPAN,JL. LETJEND S. PARMAN NO. 19 RT. 24,SUMBER REJO,SWASTA
48,30402922,SMKS MULAWARMAN BALIKPAPAN,JL. HENDRIAWAN SIE MARTADINATA,Mekar Sari,SWASTA
49,30406263,SMKS NAHDLATUL ULAMA BALIKPAPAN,Jl. Ledjend S. Parman No. 47 RT. 22,Sumber Rejo,SWASTA
50,30401485,SMKS PANGERAN ANTASARI BALIKPAPAN,JL. MEKAR SARI 1,Gunungsari Ilir,SWASTA
51,30401463,SMKS SABILAL MUHTADIN BALIKPAPAN,JL. PANGERAN ANTASARI 51,Karang Rejo,SWASTA
52,30402886,SMP ADVENT BALIKPAPAN,Jl. Kapt. P. Tendean No.57 Rt.50,Gunung Sari Ilir,SWASTA
53,69913406,SMP BINA BERSAMA,JL. SUNGAI AMPAL PERUM BALIKPAPAN BARU BLOK VANCOUVER RT 15,Sumber Rejo,SWASTA
54,30402891,SMP GPIB,Jl.yos Sudarso,Karang Jati,SWASTA
55,30402901,SMP MUHAMMADIYAH 1 BALIKPAPAN,Jl. Letjend S. Parman Rt 24 No 19,Sumber Rejo,SWASTA
56,30401453,SMP NEGERI 1 BALIKPAPAN,Jl. Kapten Piere Tendean RT 46 NO 63,Gunungsari Ilir,NEGERI
57,30405707,SMP NEGERI 22 BALIKPAPAN,Sumber Rejo 1 Rt.41,Sumber Rejo,NEGERI
58,30402908,SMP PGRI 2 BALIKPAPAN,Jl. Mayjen Di Panjaitan,Sumber Rejo,SWASTA
59,30402912,SMP PLUS AIRLANGGA,Jl. S. Parman Rt.25 No.14,Gunungsari Ulu,SWASTA
60,30402913,SMP SABILAL MUHTADIN,Jl. Pangeran Antasari Rt.62 No.51,KARANG REJO,SWASTA
61,69965892,SMPIT TRI SUKSES GENERUS,JL. GUNTUR DAMAI RT.38,Gunungsari Ulu,SWASTA
62,30409870,SMPS INTEGRAL LUQMAN AL HAKIM,JL. SULTAN ALAUDDIN RT. 01 NO. 26,Karang Jati,SWASTA
