
1,30410058,MTSS AR-RAHMAN,JALAN POROS TRANS KALIMANTAN,-,SWASTA
2,30402093,SD NEGERI 001 BONGAN,Jl.bhayangkara,Muara Kedang,NEGERI
3,30402102,SD NEGERI 002 BONGAN,Kampung Penawai,PENAWAI,NEGERI
4,30402115,SD NEGERI 003 BONGAN,Kampung Muara Siram Rt. III,MUARA SIRAM,NEGERI
5,30402131,SD NEGERI 004 BONGAN,JLN. TRANS KALIMANTAN,RESAK,NEGERI
6,30402141,SD NEGERI 005 BONGAN,Kampung Muara Kedang,Muara Kedang,NEGERI
7,30402156,SD NEGERI 006 BONGAN,Jalan Jembatan Kampung,MUARA GUSIK,NEGERI
8,30402163,SD NEGERI 007 BONGAN,Jl.Unsa Pati RT 03,Jambuk,NEGERI
9,30406756,SD NEGERI 008 BONGAN,Kampung Muara Kedang,MUARA KEDANG,NEGERI
10,30402180,SD NEGERI 009 BONGAN,Bukit Harapan,BUKIT HARAPAN,NEGERI
11,30402187,SD NEGERI 010 BONGAN,Jl. Sentral RT.07 Kampung Jambuk Makmur,JAMBUK MAKMUR,NEGERI
12,30402196,SD NEGERI 011 BONGAN,Jln. Panca Karya,Siram Makmur,NEGERI
13,30402201,SD NEGERI 012 BONGAN,Jl.perkutut,SIRAM JAYA,NEGERI
14,30402206,SD NEGERI 013 BONGAN,Jl. Flamboyan Rt. 02,Tanjung Sari,NEGERI
15,30402208,SD NEGERI 014 BONGAN,Jl.Beringin Indah RT.01,Tanjung Soke,NEGERI
16,30406834,SD NEGERI 015 BONGAN,Jl.lemper,Lemper,NEGERI
17,30409886,SD NEGERI 016 BONGAN,Pereng Talik,Pereng Talik,NEGERI
18,30407324,SMAN 1 BONGAN,JL. Mulawarman Muara Kedang,Muara Kedang,NEGERI
19,30409920,SMKN 1 BONGAN,JL. POROS PETUNG P4HDR RT OO1,Bukit Harapan,NEGERI
20,30400607,SMP NEGERI 1 BONGAN,Jl. jend. Ahmad Yani RT. III,MUARA KEDANG,NEGERI
21,30400606,SMP NEGERI 2 BONGAN,Jl. Sentral Resak III,Jambuk Makmur,NEGERI
22,30406589,SMP NEGERI 3 BONGAN,Jl. Bukit Harapan Poros BFI Lemper Deraya,Deraya,NEGERI
23,30406585,SMP NEGERI 4 BONGAN,Jl. Poros Trans Kalimantan Timur,Muara Gusik,NEGERI
24,69786869,SMP NEGERI 5 BONGAN,Muara Siram,Muara Siram,NEGERI
