
1,11003334,MAS AL-BARAKAH SINGKEP,JL.TELKOM SETAJAM DABO SINGKEP,DABO,SWASTA
2,60706092,MIN LINGGA,JL. BATU BARDAUN - DABO,BATU BERDAUN,NEGERI
3,40503209,MTSN LINGGA,JL. TELKOM - SETAJAM,DABO,NEGERI
4,69831591,SD IT INSAN CENDEKIA,Komplek Station TVRI Telek RT 003 RW 004,TANJUNG HARAPAN,SWASTA
5,11001408,SD NEGERI 001 SINGKEP,"Jl. Pasar Lama, Gg. Aula Dabo Singkep",DABO,NEGERI
6,11001412,SD NEGERI 002 SINGKEP,Jln. Hangtuah No. 02,DABO,NEGERI
7,11001416,SD NEGERI 003 SINGKEP,Jl.Raja Ali Haji,BATU BERDAUN,NEGERI
8,11001420,SD NEGERI 004 SINGKEP,Jl.MERDEKA,DABO,NEGERI
9,11001424,SD NEGERI 005 SINGKEP,Jl. Bukit Abun,DABO LAMA,NEGERI
10,11001427,SD NEGERI 006 SINGKEP,"Jln. Serayak, Kebun Nyiur",BATU BERDAUN,NEGERI
11,11001448,SD NEGERI 007 SINGKEP,Lapangan Bhakti,DABO,NEGERI
12,11001452,SD NEGERI 008 SINGKEP,Pasir Kuning,TANJUNG HARAPAN,NEGERI
13,11001457,SD NEGERI 009 SINGKEP,"Jl. Telkom, Setajam",DABO,NEGERI
14,11001461,SD NEGERI 010 SINGKEP,Jl. Pagoda,DABO,NEGERI
15,11001473,SD NEGERI 011 SINGKEP,Jl. Garuda,TANJUNG HARAPAN,NEGERI
16,11001477,SD NEGERI 012 SINGKEP,Jln. Mutiara,DABO,NEGERI
17,11001483,SD NEGERI 013 SINGKEP,Air Salak,BATU KACANG,NEGERI
18,11001489,SD NEGERI 014 SINGKEP,Jln. CENDRAWASIH,DABO,NEGERI
19,11002070,SMAN 1 SINGKEP,JL. PELAJAR,DABO,NEGERI
20,11002072,SMAN 2 SINGKEP,JL. KARTINI,SUNGAI LUMPUR,NEGERI
21,69968697,SMAS BAITUL QURAN,Kampung Telek Jalan Garuda Dabo Singkep,TANJUNG HARAPAN,SWASTA
22,11002074,SMK MAHARDIKA SINGKEP,JL. NAVIGASI RT. 03 RW. 05,TANJUNG HARAPAN,SWASTA
23,11002814,SMKN 1 SINGKEP,JL. GERGAS,BATU BERDAUN,NEGERI
24,11001521,SMP NEGERI 1 SINGKEP,Bukit Kapitan,DABO,NEGERI
25,11001526,SMP NEGERI 2 SINGKEP,Jl. Kartini Setajam,DABO,NEGERI
26,69984162,SMPIT INSAN CENDEKIA,JLN. KOMPLEK STATION TVRI TELEK,TANJUNG HARAPAN,SWASTA
