
1,60705602,MIS DARUS SHOLIHIN,Jalan BJSB Karya Bakti,Marang,SWASTA
2,60705603,MIS MARDHOTILLAH,Jalan Pelita Sari,Bangun Negara,SWASTA
3,60705601,MIS RAUDATUL ULUM,Jalan Banjar Negara Pekon Tanjung Raya,Bangun Negara,SWASTA
4,10816660,MTSS DARUS SHOLIHIN,Jalan BJSB Karya Bakti,Marang,SWASTA
5,10816657,MTSS MARDHOTILLAH,JL. PELITA SARI NO. 4,-,SWASTA
6,10816659,MTSS NU BIHA,Jalan Lintas Barat Lama,Biha,SWASTA
7,10816658,MTSS RAUDHATUL ULUM,Jalan Banjar Negara Pekon Tanjung Raya,Bangun Negara,SWASTA
8,10803760,SD NEGERI 49 KRUI,Tenumbang,Tenumbang,NEGERI
9,10803619,SD NEGERI 50 KRUI,Tanjung Setia,Tanjung Setia,NEGERI
10,10803799,SD NEGERI 51 KRUI,Jl. Bhayangkara No.008,Biha,NEGERI
11,10803840,SD NEGERI 52 KRUI,Pelita Jaya,Pelita Jaya,NEGERI
12,10810028,SD NEGERI 53 KRUI,Pekon Sukarame,Sukarame,NEGERI
13,10803748,SD NEGERI 54 KRUI,Pelita Sari,Ulok Manik,NEGERI
14,10810029,SD NEGERI 55 KRUI,Sumur Jaya Pesisir Selatan,Sumur Jaya,NEGERI
15,10803764,SD NEGERI 56 KRUI,Desa Way Jambu,Bangun Negara,NEGERI
16,10803845,SD NEGERI 57 KRUI,Jln. Lintas Barat Pekon Marang,Marang,NEGERI
17,10803796,SD NEGERI 58 KRUI,Kupang Ilirl Marang,Kupang Ilir,NEGERI
18,10803485,SD NEGERI 59 KRUI,Dusun Bandar Jaya Kupang,Tenumbang,NEGERI
19,10803506,SD NEGERI 60 KRUI,Kupang Ulu,Kupang Ulu,NEGERI
20,10803463,SD NEGERI 61 KRUI,Kota Raja,Kota Raja,NEGERI
21,10803469,SD NEGERI 62 KRUI,Paku Negara Biha,Paku Negara,NEGERI
22,10803497,SD NEGERI 63 KRUI,Usang Pulau,Marang,NEGERI
23,10803411,SD NEGERI 64 KRUI,Bangun Jaya Marang,Marang,NEGERI
24,10809989,SD NEGERI 65 KRUI,"Jln. Kapten Yazid Azis, Tabak Jaya",Sidorejo,NEGERI
25,10803534,SMAN 1 PESISIR SELATAN,JL. Kapten Yazid Aziz Biha  Pesisir Selatan,Biha,NEGERI
26,10803568,SMP NEGERI 12 KRUI,Tanjung Jati,Tanjung Jati,NEGERI
27,10803518,SMP NEGERI 13 KRUI,Jl. Lintas Barat Pekon Biha,Biha,NEGERI
28,10814839,SMP NEGERI 14 KRUI,Jl. Lintas Barat Pekon Negeri Ratu Tenumbang,Negeri Ratu Tenumbang,NEGERI
29,69786197,SMP NEGERI 15 KRUI,Jln. Lintas Barat Pekon Marang,Marang,NEGERI
30,10803526,SMP PGRI 1 PESISIR SELATAN,Bangun Negara,Bangun Negara,SWASTA
