
1,69727817,MAS AL MUHAJIRIN,Jalan Pendidikan No. 244,Bandar Sakti,SWASTA
2,69727822,MAS PLUS AL AMIN,Jalan Gajah Mada No. 01,Sukoharjo,SWASTA
3,60705546,MIS AL ISLAMIYAH,Jalan Raya Bandarsakti,Bandar Sakti,SWASTA
4,60705547,MIS AL MUNAWWARAH,Jalan Sumbawa No 03,Tata Karya,SWASTA
5,60705548,MIS MIFTAHUL HUDA,Jalan Raya Utama Bumiraharja,Bumi Raharja,SWASTA
6,60705549,MIS NURUL HUDA,Jalan Gajah Mada No. 01,Sukoharjo,SWASTA
7,10816632,MTSS AL MUHAJIRIN,Jalan Pendidikan No. 244,Bandar Sakti,SWASTA
8,10816631,MTSS AL MUNAWWARAH,Jalan Sumbawa No. 03,Tata Karya,SWASTA
9,69927788,MTSS PLUS MIFTAHUL HUDA,Jalan Way Sido,Karya Sakti,SWASTA
10,10803053,SD NEGERI 01 BANDAR SAKTI,Jl. Balabus No 552,Bandar Sakti,NEGERI
11,10803061,SD NEGERI 01 BANGUN SARI,jln.Utama Desa BangunSari,Bangun Sari,NEGERI
12,10803114,SD NEGERI 01 BUMI RAHARJA,Jalan Utama,BUMIRAHARJA,NEGERI
13,10810908,SD NEGERI 01 BUMI RESTU,Bumi Restu,BUMI RESTU,NEGERI
14,10803105,SD NEGERI 01 KARYA SAKTI,Jl. Raya Waysido,Karya Sakti,NEGERI
15,10803380,SD NEGERI 01 TATA KARYA,Tata Karya,TATA KARYA,NEGERI
16,10803392,SD NEGERI 02 BANDAR SAKTI,BandarSakti,Bandar Sakti,NEGERI
17,10803391,SD NEGERI 02 BANGUNSARI,SDN 02 Bangunsari,BANGUNSARI,NEGERI
18,10803360,SD NEGERI 02 BUMI RESTU,Jl Raya Bumi Restu,BUMI RESTU,NEGERI
19,10810909,SD NEGERI 02 KARYA SAKTI,Jl Raya Way Sido,KARYA SAKTI,NEGERI
20,10803278,SD NEGERI 02 TATA KARYA,Jl Wono Giri,TATA KARYA,NEGERI
21,10803273,SD NEGERI 03 KARYASAKTI,Jl. Kuningan No. 776 Karyasakti RT 15 RW 05,Karya Sakti,NEGERI
22,10802787,SD NEGERI 3 TATAKARYA,Desa Tatakarya,Tata Karya,NEGERI
23,10802738,SD NEGERI BANDAR ABUNG,Bandar Abung,BANDAR ABUNG,NEGERI
24,10802745,SD NEGERI PURBASAKTI,Purbasakti,PURBASAKTI,NEGERI
25,10802751,SD NEGERI SUKOHARJO,Sukoharjo,Sukoharjo,NEGERI
26,69987800,SMA RIYADUL ULUM,Jl. Majapahit No.01,Sukoharjo,SWASTA
27,10814695,SMKN 1 ABUNG SURAKARTA,"JL. USAHA TANI, TATA KARYA SIDORUKUN",TATA KARYA,NEGERI
28,10809481,SMP AL AMIN ABUNG SURAKARTA,Jl Gajah Mada No 1,SUKOHARJO,SWASTA
29,10802911,SMP MUHAMMADIYAH 1 ABUNG SURAKARTA,Jl Sumbawa No 3,Tata Karya,SWASTA
30,10802887,SMP NEGERI 1 ABUNG SURAKARTA,Jl. Pendidikan No 24,Tata Karya,NEGERI
31,11811850,SMP NEGERI 2 ABUNG SURAKARTA,Jln. Raya Utama Bumiraharja,Bumi Raharja,NEGERI
32,10802875,SMP TAMAN SISWA,Jl. Balabus No.25,BANDAR SAKTI,SWASTA
