
1,69955644,MAS AL MUBAROK,Jalan Kebun Jeruk,Bukit Kemuning,SWASTA
2,69728155,MAS DARUL HUDA,Jalan Darma Bakti No. 109,Bukit Kemuning,SWASTA
3,69728160,MAS FUTUHIYYAH I,Jalan Baturaja Melungun Dalam,Muara Aman,SWASTA
4,69728161,MAS FUTUHIYYAH II,Jalan Raya Kotabumi Gunung Batu,Bukit Kemuning,SWASTA
5,69728162,MAS MIFTAHUL ULUM,BUKIT KEMUNING,-,SWASTA
6,69956113,MIS DARUL HIKMATUL KHAIR,Jalan SMEA RT 004/004 Tanjung Anom,Bukit Kemuning,SWASTA
7,69733794,MIS DARUL HUDA,"KADURONYOK, BUKIT KEMUNING",-,SWASTA
8,60705554,MIS FUTUHIYYAH 2,Jalan Raya Kotabumi Gunung Batu,Bukit Kemuning,SWASTA
9,69726281,MIS NURUL FALAH,Jalan Talang Sebaris,Muara Aman,SWASTA
10,69726282,MIS NURUL IMAN,Sukadatang,Tanjung Waras,SWASTA
11,69983140,MTSS AL-MUBAROK,JL. KEBUN JERUK,Bukit Kemuning,SWASTA
12,69955865,MTSS AS SYAHRA,Dusun IV Talang Kiara,Muara Aman,SWASTA
13,69726333,MTSS DARUL HUDA,Jalan Darma Bakti No. 109,Bukit Kemuning,SWASTA
14,69726335,MTSS FUTUHIYYAH 2,Jalan Raya Kotabumi Gunung Batu,Bukit Kemuning,SWASTA
15,69726755,MTSS FUTUHIYYAH I,Jalan Melungun Dalam,Muara Aman,SWASTA
16,69787288,MTsS HIDAYATUL QUR`AN,Jalan Sumber Jaya Marga Rahayu,Bukit Kemuning,SWASTA
17,69726345,MTSS MIFTAHUL ULUM,JL. M. SOLEH DUSUN III SUKAMENANTI,-,SWASTA
18,69881632,MTSS NURUL FALAH,Jalan Dusun V Talang Sebaris,Muara Aman,SWASTA
19,69726754,MTSS NURUL IMAN,Dusun IV Sukadatang,Tanjung Waras,SWASTA
20,69925983,SD AISYIYAH,Jl. Bakti Karya LK. 3 Bukit Kemuning Lampung Utara,Bukit Kemuning,SWASTA
21,69940408,SD ISLAM MIFTAHUL ULUM,Jl. M. Saleh Dusun III Suka Menanti Bukit Kemuning,Suka Menanti,SWASTA
22,10803383,SD NEGERI 01 TANJUNG BARU,Jl.Sumber Jaya,Tanjung Baru Timur,NEGERI
23,10802792,SD NEGERI 03 TANJUNG BARU,Jl. Sumber Jaya,Tanjung Baru,NEGERI
