
1,10816256,MAS AL IKHLAS TANJUNG BINTANG,JLN.VETERAN DUSUN TOTOHARJO RT 04 RW 02,Lematang,SWASTA
2,10816257,MAS DARUL ULUM,JL.IR. SUTAMI KM 10,Lematang,SWASTA
3,60705458,MIN 2 LAMPUNG SELATAN,JL. PERUMNAS SUKANEGARA NO. 27,Sukanegara,NEGERI
4,10816531,MTSS AL IKHLAS TANJUNG BINTANG,JL. VETERAN DUSUN TOTOHARJO RT 04 RW 02,Jatibaru,SWASTA
5,10816530,MTSS DARUL ULUM,JL. IR. SUTAMI KM 10,Lematang,SWASTA
6,10816532,MTSS NURUL KAWAKIB,JLN. BUDI SANTOSO,Jatibaru,SWASTA
7,69979232,SD IT Tunas Insan Cendekia,Jl. Veteran RT/RW 03/04,Jatibaru,SWASTA
8,10801356,SD N 1 BUDI LESTARI,Jl. Seraten,Budilestari,NEGERI
9,10801340,SD N 1 GALIH LUNIK,Jl. Tambang Besi Galih Lunik,Galih Lunik,NEGERI
10,10801365,SD N 1 JATI INDAH,Jati Indah,JATI INDAH,NEGERI
11,10801366,SD N 1 JATIBARU,Jl. Budi Santoso No. 4,JATI BARU,NEGERI
12,10801361,SD N 1 KALI ASIN,Jl. Ir. Sutami Kali Asin,KALI ASIN,NEGERI
13,10801493,SD N 1 LEMATANG,Desa Lematang,LEMATANG,NEGERI
14,10801442,SD N 1 SABAH BALAU,Sabah Balau,SABAH BALAU,NEGERI
15,10801441,SD N 1 SERDANG,Jl. Raya Serdang,SERDANG,NEGERI
16,10801132,SD N 1 SINAR OGAN,Jl. Sinar Ogan,SINAR OGAN,NEGERI
17,10801129,SD N 1 SINDANG SARI,Jln Ontowiryo,SINDANGSARI,NEGERI
18,10801153,SD N 1 SUKANEGARA,Tanjung Bintang,Sukanegara,NEGERI
19,10801072,SD N 1 TRI MULYO,Tanjung Bintang,Trimulyo,NEGERI
20,10801105,SD N 1 WAY GALIH,Jalan Raya Way Galih,WAY GALIH,NEGERI
21,10800274,SD N 2 BUDI LESTARI,Desa Budi Lestari,BUDI LESTARI,NEGERI
22,10801331,SD N 2 GALIH LUNIK,Purwosari,Galih Lunik,NEGERI
23,10801175,SD N 2 JATI BARU,Jatibaru,JATIBARU,NEGERI
24,10801177,SD N 2 JATI INDAH,Gunung Batu,SRIKATON,NEGERI
25,10801173,SD N 2 KALIASIN,Jl.ir Sutami Kaliasin,KALIASIN,NEGERI
26,10801186,SD N 2 LEMATANG,Dusun Lubuk Bais Desa Lematang Kecamatan Tanjung Bintang,Lematang,NEGERI
27,10800287,SD N 2 SABAH BALAU,Desa Sabah Balau,SABAH BALAU,NEGERI
28,10800286,SD N 2 SERDANG,Serdang,SERDANG,NEGERI
29,10800275,SD N 2 SINAR OGAN,Sidomulyo Sinar Ogan,SINAR OGAN,NEGERI
30,10801304,SD N 2 SINDANG SARI,Sindang Sari,SINDANG SARI,NEGERI
31,10800299,SD N 2 SUKA NEGARA,Jl Raya Tanjung Bintang,SUKA NEGARA,NEGERI
32,10800391,SD N 2 TRIMULYO,Dusun Sukajaya,TRIMULYO,NEGERI
33,10800425,SD N 2 WAY GALIH,Way Galih,WAY GALIH,NEGERI
34,10800364,SD N 3 BUDI LESTARI,Dusun Sinar Jaya,Budi Lestari,NEGERI
35,10800385,SD N 3 JATI BARU,Jl. Sri Bungur,JATIBARU,NEGERI
36,10800183,SD N 3 SABAH BALAU,Dusun 3 Sabah Balau,Sabah Balau,NEGERI
37,10800182,SD N 3 SERDANG,Jl Raya Serdang,SERDANG,NEGERI
38,10800174,SD N 3 SINDANG SARI,Jl. Ir. Sutami,REJOMULYO,NEGERI
39,10800117,SD N 3 SUKA NEGARA,Suka Negara,SUKA NEGARA,NEGERI
40,10800130,SD N 3 WAY GALIH,Way Galih,WAY GALIH,NEGERI
41,10800139,SD N 4 BUDI LESTARI,Jl Purwosari,BUDI LESTARI,NEGERI
42,10800269,SD N 4 JATIBARU,Totoharjo,JATIBARU,NEGERI
43,10800256,SD N 4 WAY GALIH,Way Galih,WAY GALIH,NEGERI
44,10800228,SD N 5 WAY GALIH,Jln Way Galih,WAY GALIH,NEGERI
45,10800596,SD N PURWODADI SIMPANG,Purwodadi Simpang,PURWODADI SIMPANG,NEGERI
46,69971769,SD PUTRA BANGSA,JL. Raya Gunung Langgar No.63,Sabah Balau,SWASTA
47,10810520,SD S SEJAHTERA,Sindangsari,sindangsari,SWASTA
48,10800701,SMAN 1 TANJUNG BINTANG,JL. ANTARA KALIAYU,Jatibaru,NEGERI
49,10800695,SMKS BHAKTI PEMUDA,JL. FLAMBOYAN NO.6,Sindang Sari,SWASTA
50,10800670,SMKS DIPONEGORO,SRIBUNGUR NO.46 JATIBARU TANJUNGBINTANG,Jatibaru,SWASTA
51,10800472,SMKS YP SERDANG,"FAMILI I NO.70, SERDANG",SERDANG,SWASTA
52,10800471,SMKS YPI TANJUNG BINTANG,JL. SATRIA JATIBARU TANJUNGBINTANG,Jatibaru,SWASTA
53,10800503,SMP 17 SERDANG,Jl. Raya Serdang,Serdang,SWASTA
54,10800495,SMP BHAKTI PEMUDA,Sindang Sari,SINDANGSARI,SWASTA
55,10800494,SMP BINAPUTRA,"Jl.ir Sutami Km 12,5 Suka Negara Tanjung Bintang",SUKA NEGARA,SWASTA
56,10800437,SMP DIPONEGORO,Jl. Lintas Gunung Batu,Srikaton,SWASTA
57,69994956,SMP IT Tunas Insan Cendekia,Jl. Veteran RT/RW 03/04,Jatibaru,SWASTA
58,10800467,SMP LESTARI,Budi Lestari,BUDI LESTARI,SWASTA
59,10800511,SMP N 1 TANJUNG BINTANG,Jl. Cendana No. 10,Jatibaru,NEGERI
60,10800532,SMP N 2 TANJUNGBINTANG,Jl. Jati Revita No.16 Sinarogan,SINAROGAN,NEGERI
61,10811095,SMP N SATU ATAP TANJUNG BINTANG,Rejomulyo,REJOMULYO,NEGERI
62,10810568,SMP PURNAMA,Purwodadi Simpang Jl.sutami/sri Bawono,PURWODADI SIMPANG,SWASTA
63,10800588,SMP SEJAHTERA,Sindangsari,SINDANGSARI,SWASTA
64,10800580,SMP TRI MULYA,Jl.printis No 1,Trimulyo,SWASTA
65,10800577,SMP TUNAS DHARMA WAYGALIH,Jl. Seno No.08,Way Galih,SWASTA
