
1,69894933,Alkhairaat Maffa,JLN. POROS DESA FOYA,-,SWASTA
2,60205761,MTSS AL-KHAERAT,MAFFA,-,SWASTA
3,60201531,SD NEGERI 11 HALMAHERA SELATAN,Jl. SISWA,Maffa,NEGERI
4,60201510,SD NEGERI 147 HALMAHERA SELATAN,Jl. SISWA JAYA,Tanjung Jere,NEGERI
5,60201386,SD NEGERI 149 HALMAHERA SELATAN,Jl. SISWA BATONAM,Wosi,NEGERI
6,60201378,SD NEGERI 151 HALMAHERA SELATAN,Jl. Akesama,Foya Tobaru,NEGERI
7,60201441,SD NEGERI 154 HALMAHERA SELATAN,Jl. Tobaru,Tobaru,NEGERI
8,60201434,SD NEGERI 227 HALMAHERA SELATAN,Jl. TRANSMIGRASI SP 2,Sumber Makmur,NEGERI
9,60201954,SD NEGERI 230 HALMAHERA SELATAN,Jl. Transmigrasi SP. 1A,Sumber Makmur,NEGERI
10,60201438,SD NEGERI 231 HALMAHERA SELATAN,Jl. Upt Nusliku C Sp.4 Kesayangan,Foya Tobaru,NEGERI
11,60201433,SD NEGERI 233 HALMAHERA SELATAN,Jl. TRANS,Sumber Makmur,NEGERI
12,60201436,SD NEGERI 237 HALMAHERA SELATAN,Jl. TRANSMIGRASI SP 3B,Sumber Makmur,NEGERI
13,60202396,SD NEGERI 259 HALMAHERA SELATAN,JL. TRANSMIGRASI SP 3A LALUBI,Sumber Makmur,NEGERI
14,60201497,SD NEGERI 30 HALMAHERA SELATAN,Kota Loow,Kota Loow,NEGERI
15,60201582,SD NEGERI 51 HALMAHERA SELATAN,Jl. SISWA,Wosi,NEGERI
16,60201521,SD NEGERI 60 HALMAHERA SELATAN,Jl. SISWA NO.01,Lalubi,NEGERI
17,60201404,SD NEGERI 91 HALMAHERA SELATAN,Jl. Dusun Kotalow,Foya,NEGERI
18,60203073,SD NEGERI 93 HALMAHERA SELATAN,Jl. TURI,Akelamo,NEGERI
19,60202395,SD NEGERI 94 HALMAHERA SELATAN,Jl. SISWA,Maffa,NEGERI
20,60729099,SMA LIMA NEGERI,JL. WOSI,Wosi,SWASTA
21,60202426,SMA NEGERI 4 HALMAHERA SELATAN,Jalan Inpres,Maffa,NEGERI
22,60203264,SMP MEFENG,Jl.Poros no.1 Trans Lalubi,Sumber Makmur,SWASTA
23,60201636,SMP NEGERI 18 HALMAHERA SELATAN,JL. Siswa No.1 Desa Foya Tobaru Dusun Waimili,Foya Tobaru,NEGERI
24,60201655,SMP NEGERI 33 HALMAHERA SELATAN,Jl. Fida,Wosi,NEGERI
25,60203317,SMP NEGERI 51 SATAP HALMAHERA SELATAN,Jalan Raya Desa Foya,Kota Loow,NEGERI
26,60203633,SMP NEGERI 68 HALMAHERA SELATAN,Jl. Kebun Raja,Wosi,NEGERI
27,60203269,SMP NEGERI 7 HALMAHERA SELATAN,Jl. Siswa,Maffa,NEGERI
