
1,60205746,MAS AL-MUNAWWARAH LOLEOJAYA,JL. TARBIYAH NO.02 RT.01/RW.01,-,SWASTA
2,69941415,MIS Kenari 2 Ake Ici,DESA LOLEOMEKAR,-,SWASTA
3,60205762,MTSS AL-MUNAWWARAH,JLN.TARBIYAH NO.2,-,SWASTA
4,60201413,SD NEGERI 119 HALMAHERA SELATAN,Jl. TARBIAH NO.02,Loleo Jaya,NEGERI
5,60201401,SD NEGERI 173 HALMAHERA SELATAN,Jl. PUSAKA,Kasiruta Dalam,NEGERI
6,60201574,SD NEGERI 179 HALMAHERA SELATAN,Jl. MERPATI,Tawa Bacan Barat,NEGERI
7,60201575,SD NEGERI 218 HALMAHERA SELATAN,Jl. BUNGA CENGKEH NO.01,Tutuhu,NEGERI
8,60203055,SD NEGERI 241 HALMAHERA SELATAN,Jl. SISWA,Koubalabala,NEGERI
9,60203095,SD NEGERI 243 HALMAHERA SELATAN,Jl. Bukit Siswa,Jeret,NEGERI
10,60201534,SD NEGERI 86 HALMAHERA SELATAN,Jl. RIJANG,Maritosu,NEGERI
11,60203175,SD NEGERI 92 HALMAHERA SELATAN,Jl. POTAKOS,Loleo Jaya,NEGERI
12,69929783,SMP NURUL HASAN MARITUSO,DESA MARITUSO KEC. KASIRUTA TIMUR,Maritosu,SWASTA
