
1,60100780,SD INPRES SELAYAR,OHOI SELAYAR,Selayar,NEGERI
2,60100910,SD NASKAT DEBUT,Desa Debut,Debut,SWASTA
3,60100874,SD NASKAT DON BOSCO NGILNGOF,Ngilngof,Ngilngof,SWASTA
4,60100892,SD NASKAT NAMAR,Desa Namar,Namar,SWASTA
5,60100873,SD NASKAT NGAYUB,DESA NGAYUB,Ngayub,SWASTA
6,60100875,SD NASKAT OHOILILIR,Ohoililir,Ohoililir,SWASTA
7,60103254,SD NEGERI INPRES RUMADIAN,Jln. Karel Sadsuitubun Rumadian,Rumadian,NEGERI
8,60100755,SD NEGERI OHOILUK,Dusun Ohoiluk,Ohoiluk,NEGERI
9,60103293,SMP NEGERI 1 KEI KECIL,Desa Debut,Debut,NEGERI
10,60103305,SMP NEGERI 9 KEI KECIL,Ngilngof,Ngilngof,NEGERI
