
1,50222394,MAN Lombok Barat,"Jl. Imam Bonjol No.5 Pohdana, Gerung Utara",Gerung Utara,NEGERI
2,50222405,MAS AL-MAHMUD AIK AMPAT,"AIK AMPAT, DASAN GERES, GERUNG",-,SWASTA
3,50222402,MAS AL-MUJAHIDIN TEMPOS,"TEMPOS, BANYU URIP, GERUNG",-,SWASTA
4,50222401,MAS AL-MUSLIMUN NW KEBON KONGOK,"KEBON KONGOK, SUKA MAKMUR, GERUNG",-,SWASTA
5,69883295,MAS As-Sa`idiyah Nw Tempos Daye,Jl. Gunung Sasak Tempos Daye,Tempos,SWASTA
6,50222397,MAS DARUSSALAM BERMI,"BERMI, BABUSSALAM, GERUNG",-,SWASTA
7,50222406,MAS FATHUL AKBAR NW TEMPOS,"JLN RAYA BANYU URIP, KESUA, BANYU URIP, GERUNG",-,SWASTA
8,50222396,MAS HIDAYATUDDARAIN DASAN GERES,"JL. JENDRAL SUDIRMAN DASAN GERES, GERUNG",-,SWASTA
9,50222403,MAS ISHLAAH AL-UMMAH BATU MULIK,"BATU MULIK, GAPUK, GERUNG",-,SWASTA
10,50222395,MAS ITTIHAAD AL-UMAM EGOK,"EGOK, SUKA MAKMUR, GERUNG",-,SWASTA
11,50222399,MAS MANBA`UL ULUM DASAN KETUJUR,"JL. TGH. IHSAN ISMAIL DASAN KETUJUR, GAPUK, GERUNG",-,SWASTA
12,50222404,MAS MI`ROJUSSALAM BILE KEDIT,"BILE KEDIT, BABUSSALAM, GERUNG",Dasan Geres,SWASTA
13,50222400,MAS NURUL HUDA TEMPOS,JLN. RAYA TEMPOS KESUMA,-,SWASTA
14,50222398,MAS NW DASAN TAPEN,"JL. TGH. ABD. SAMAD NO.1 DASAN TAPEN, GERUNG",Dasan Tapen,SWASTA
15,69983587,MAS PLUS ASSHOHWAH AL ISLAMIYAH BILATEPUNG,JL. DR. SOETOMO,Kec. Gerung,SWASTA
16,60721593,MIS AL-MUJAHIDIN TEMPOS,TEMPOS KEMUNING,Banyu Urip,SWASTA
17,60721590,MIS AL-MUSLIMUN NW KEBON KONGOK,KEBON KONGOK,Suka Makmur,SWASTA
18,60721594,MIS DARUNNAWAWI DASAN TAPEN,DASAN TAPEN,-,SWASTA
19,60721588,MIS DARUSSALAM BERMI,"BERMI DESA BABUSSALAM, GERUNG",Babussalam,SWASTA
20,69956241,MIS Fityatul Ulum Pelepok,"Jl. TGH. Ihsan Ismail Pelepok, Mesanggok",MESANGGOK,SWASTA
21,60721587,MIS MARAQITTA`LIMAT BONGOR,BONGOR,-,SWASTA
22,60727084,MIS MI MIFTAHUL FALAH BARAK BOKONG,"JL. TGH. RIDWAN BARAK BOKONG, BELEKE, GERUNG",-,SWASTA
23,60721592,MIS MI`ROJUSSALAM BILE KEDIT,BILE KEDIT,BABUSSALAM,SWASTA
24,69819651,MIS Mizabul Ulum NW Pesanggrahan,"Jl. Pesanggrahan, Banyu Urip, Gerung",Gerung,SWASTA
25,60721589,MIS NAJMUL HUDA BATU BOKAH,BATU BOKAH DESA BANYU URIF KEC.GERUNG,BANYUURIP,SWASTA
26,60721591,MIS NURUL HUDA TEMPOS,JL.TEMPOS KESUMA,BANYUURIP,SWASTA
27,60721584,MIS NURUL KARIM NW KEBON AYU,KEBON AYU,KEBON AYU,SWASTA
28,60721585,MIS NW DASAN TAPEN,DASAN TAPEN,-,SWASTA
29,60721586,MIS NW TEMPOS,"KESUMA BANYU URIP, GERUNG",BANYUURIP,SWASTA
30,69975802,MTS MIZABUL ULUM NW PESANGGRAHAN,PESANGGRAHAN DESA BANYU URIP,Banyu Urip,SWASTA
31,50222720,MTSN 4 LOMBOK BARAT,JL. IMAM BONJOL GERUNG,Gerung Utara,NEGERI
32,50222717,MTSS AL-MAHMUD AIK AMPAT,"JL. MENANG AIK AMPAT, DASAN GERES, GERUNG",-,SWASTA
33,50222714,MTSS AL-MUJAHIDIN TEMPOS,"TEMPOS KEMUNING, BANYU URIP, GERUNG",-,SWASTA
34,50222715,MTSS AL-MUSLIMUN NW KEBON KONGOK,"KEBON KONGOK, SUKA MAKMUR, GERUNG",-,SWASTA
35,50222721,MTSS AS-SA`IDIYAH NW TEMPOS DAYE,JL. GUNUNG SASAK TEMPOS DAYE,-,SWASTA
36,50222707,MTSS DARUN NAWAWI,"DASAN TAPEN, GERUNG",-,SWASTA
37,50222712,MTSS DARUNNAJAH BELEKE,"JL. TGH.M. MUNIR BELEKE, GERUNG",-,SWASTA
38,50222710,MTSS DARUSSALAM BERMI,"JLN DIPONEGORO BERMI, BABUSSALAM, GERUNG, KABUPATEN LOMBOK BARAT",-,SWASTA
39,50222719,MTSS FATHUL AKBAR NW TEMPOS,Dusun Kesuma Desa Banyu Urip Kec. Gerung Lombok Barat,Banyu Urip,SWASTA
40,50222705,MTSS HIDAYATUDDARAIN DASAN GERES,"JL. JENDRAL SUDIRMAN DASAN GERES, GERUNG",-,SWASTA
41,50222706,MTSS ISHLAAH AL-UMMAH BATU MULIK,"Batu Mulik, Gapuk, Gerung, Lombok Barat",Gapuk,SWASTA
42,50222716,MTSS ITTIHAAD AL-UMAM EGOK,"EGOK, SUKA MAKMUR, GERUNG",Suka Makmur,SWASTA
43,50222709,MTSS MANBA`UL ULUM DASAN KETUJUR,"DASAN KETUJUR, GAPUK, GERUNG",MESANGGOK,SWASTA
44,50222704,MTSS MARAQITTA`LIMAT BONGOR,"BONGOR, KEBON AYU, GERUNG",-,SWASTA
45,50222718,MTSS MI`ROJUSSALAM BILE KEDIT,"BILE KEDIT, BABUSSALAM, GERUNG",-,SWASTA
46,50222713,MTSS NAJMUL HUDA BATU BOKAH,"BATU BOKAH, BANYU URIP, GERUNG",Banyu Urip,SWASTA
47,50222711,MTSS NURUL HUDA TEMPOS,"TEMPOS KESUMA, BANYU URIP, GERUNG",Dasan Geres,SWASTA
48,50222703,MTSS NURUL KARIM NW KEBON AYU,"KEBON AYU, GERUNG",-,SWASTA
49,50222708,MTSS NW DASAN TAPEN,JLN. TGH. ABDUSSHAMAD NO. 01 DASAN TAPEN,-,SWASTA
50,50200892,SD NEGERI 1 BABUSSALAM,Jl. Soekarno - Hatta,Babussalam,NEGERI
51,50200885,SD NEGERI 1 BANYU URIP,Kesuma,BANYU URIP,NEGERI
