
1,69726251,MIS AL-HASANIYAH NW,DESA LABANGKA,Labangka,SWASTA
2,60721975,MIS DARUL AMANI,DUSUN KEMBAN KUNING,-,SWASTA
3,50223097,MTSS AL-HASANIYAH NW,JL. LINGKAR SELATAN LABANGKA,Labangka,SWASTA
4,50223098,MTSS AL-HIDAYAH,JL. POROS NO. 09,Suka Mulya,SWASTA
5,50223099,MTSS DARUL AMANI,JL. JENDERAL SOEDIRMAN,-,SWASTA
6,50205265,SD NEGERI JAYA MAKMUR,Dusun Jaya Makmur,JAYA MAKMUR,NEGERI
7,50205228,SD NEGERI LABANGKA,Dusun Labangka,LABANGKA,NEGERI
8,50203217,SD NEGERI SEKOKAT,Sekokat,SEKOKAT,NEGERI
9,50205296,SD NEGERI SUKA DAMAI,Jln. Lingkar Selatan,Suka Damai,NEGERI
10,50203359,SD NEGERI SUKAMULYA,Jln. Lingkar Selatan No.14,SUKAMULYA,NEGERI
11,50205478,SMAN 1 LABANGKA,Jalan Lintas Selatan Kecamatan Labangka,Labangka,NEGERI
12,50205304,SMP NEGERI 1 LABANGKA,Jalan Pendidikan,Suka Damai,NEGERI
