
1,69983059,MIS DARUL ILMI,DUSUN MANTUN BARAT,Maluk,SWASTA
2,69983058,MIS NW MALUK,JL. AMANAH,Mantun,SWASTA
3,50223168,MTSS NW MALUK,JL AMANAH,Mantun,SWASTA
4,50204350,SD ISLAM TERPADU AL AZHAR,"Pondok Pesantren Al-Azhar, Jl. Imam Robbaniy no.3/79",MALUK,SWASTA
5,50204324,SD NEGERI 1 MALUK,Jln. Groto No. 17 Maluk,Maluk,NEGERI
6,50204370,SD NEGERI 2 MALUK,Jl. Pendididkan No 09 Desa Maluk,Maluk,NEGERI
7,50219785,SD NEGERI 3 MALUK,Jl. Lingkar Mantun,Mantun,NEGERI
8,50219786,SD NEGERI 4 MALUK,Desa Maluk,Maluk,NEGERI
9,50204284,SD NEGERI BENETE,Dusun Tatar RT.04. RW.02,BENETE,NEGERI
10,69989958,SD NEGERI BUKIT DAMAI,Jalan Pangeran Adipatih No. 205,Bukit Damai,NEGERI
11,69872332,SDIT BINA UL UMMAH,jalan kesehatan no:09 pasir putih,Pasir Putih,SWASTA
12,69964676,SMA TAHFIZH AL-QURAN,PONDOK PESANTREN AL AZHAR JL. IMAM ROBBANIY NO 3/79 RT/RW 02/01 MALUK UTARA,Maluk,SWASTA
13,50219805,SMK NEGERI 1 MALUK,JL. RAYA MALUK-BENETE,Benete,NEGERI
14,50205591,SMP NEGERI 1 MALUK,"Jl. Raya Benete - Maluk, Kec. Maluk. KSB",Benete,NEGERI
15,69788257,SMP TAHFIZHUL QURAN,JL. IMAM ROBBANIY NO.3/79 RT 03 RW 01,MALUK,SWASTA
16,69965796,SMPIT BINAUL UMMAH MALUK,Jl Kesehatan No 9 Pasir Putih,Pasir Putih,SWASTA
