
1,50222640,MAN 2 SUMBAWA,DESA BERARE,Berare,NEGERI
2,69982808,MAS AL MAJIDIYAH NW SUMBAWA,JL. LINTAS SUMBAWA MOYO KM. 07,Moyo,SWASTA
3,60721982,MIN 1 SUMBAWA,DUSUN BEKAT,Poto,NEGERI
4,60721985,MIS AL AMIN,DUSUN UNTER PODONG,Moyo,SWASTA
5,60721984,MIS GUNUNG GALESA,DUSUN AINUNUK,Serading,SWASTA
6,60721983,MIS NURUL IMAN BERARE,JALAN PENDIDIKAN,Moyo,SWASTA
7,69982787,MTSS AL MAJIDIYAH NW SUMBAWA,JL. LINTAS SUMBAWA MOYO KM. 07,Moyo,SWASTA
8,60729704,MTSS GUNUNG GALESA,JL. PENDIDIKAN 1/5,Moyo,SWASTA
9,50223102,MTSS POTO,Jln. PENDIDIKAN NO.1 DUSUN BEKAT DESA POTO KEC. MOYO HILIR,Moyo,SWASTA
10,69928092,MTsSGunung Galesa Putri,Jl. Pendidikan I/10,Moyo,SWASTA
11,50203406,SD NEGERI 1 KARANG JATI,Serading,SERADING,NEGERI
12,50203397,SD NEGERI 1 MOYO,Moyo Hilir,DESA MOYO,NEGERI
13,50203571,SD NEGERI 2 KARANG JATI,Karang Jati,Serading,NEGERI
14,50203430,SD NEGERI 2 MOYO,Jl.gunung Galesa no.2,Moyo,NEGERI
15,50203512,SD NEGERI AI PUNTUK,Jln. Lintas Sumbawa-Bima KM.17,AI PUNTUK,NEGERI
16,50203504,SD NEGERI BATU BANGKA,Jl.aimata No.07,BATU BANGKA,NEGERI
17,50203497,SD NEGERI BERARE,Berare,BERARE,NEGERI
18,50203518,SD NEGERI KAKIANG,Dusun Kakiang,Kakiang,NEGERI
19,50220341,SD NEGERI KAPASSARI,Dusun Kapassari,moyo,NEGERI
20,50203244,SD NEGERI LABUHAN IJUK,Labuhan Ijuk,Lab Ijuk,NEGERI
21,50203268,SD NEGERI MALILI,Malili,BERARE,NEGERI
22,50219980,SD NEGERI NANGA LIDAM,Dusun Nanga Lidam,OLAT RAWA,NEGERI
23,50203266,SD NEGERI NGERU,Dusun Ngeru,NGERU,NEGERI
24,50203196,SD NEGERI OLAT RAWA,Dusun Olat Rawa B,Olat Rawa,NEGERI
25,50203194,SD NEGERI PANGENYAR,Dusun Pangenyar,KAKIANG,NEGERI
26,50205460,SD NEGERI PELITA,Dusun Pelita,SERADING,NEGERI
27,50203188,SD NEGERI POTO,Poto,POTO,NEGERI
28,50203190,SD NEGERI PRAJAK,Dusun Prajak,Batu Bangka,NEGERI
29,50203228,SD NEGERI SAMRI,Dusun Samri,Poto,NEGERI
30,50203216,SD NEGERI SENGKAL,Dusun Sengkal,Batu Bangka,NEGERI
31,50203340,SD NEGERI TANJUNG BELE,Tanjung Bele,Olat Rawa,NEGERI
32,50203348,SD NEGERI TENGKE,Poto Moyo Hilir,POTO,NEGERI
33,50219663,SMKS ISLAM GUNUNG GALESA MOYO,PENDIDIKAN NO.1/5 MOYO MEKAR,Moyo Mekar,SWASTA
34,50205306,SMP NEGERI 1 MOYO HILIR,Jln Pendidikan,MOYO,NEGERI
35,50203297,SMP NEGERI 2 MOYO HILIR,Jalan Raya Lintas Sumbawa-Bima Km. 14,Serading,NEGERI
36,50203283,SMP NEGERI 3 MOYO HILIR,Jl. Mere Balas No.3,Ngeru,NEGERI
37,50220469,SMP NEGERI 4 Satu Atap Moyo Hilir,Tanjung Bele,Olat Rawa,NEGERI
38,69786305,SMPN 5 MOYO HILIR,MOYO HILIR,MOYO HILIR,NEGERI
