
1,69975859,MA AL-HIJRAH,DUSUN DOROMBOLO,Nangamiro,SWASTA
2,60728184,MAS BERINGIN JAYA,DESA BERINGIN JAYA,-,SWASTA
3,50223268,MAS DARUSSALAM,JL. LINTAS PASAR SENIN - PEKAT,Doropeti,SWASTA
4,60728185,MAS MA ABDUL KADIR JAILANI NW.,JL. PASAR SABTU UPT. NANGA KARA,-,SWASTA
5,50223269,MAS NURUL HIKMAH,JLN.DATUQ ANGGARAT DUSUN SUKA JAYA DESA KADINDI PEKAT,Kadindi,SWASTA
6,50223266,MAS RAODLATUL ABROR NW,JL. PRAMUKA LATONDA - PEKAT,-,SWASTA
7,50223267,MAS ZAINUL WATHONI NW.,DESA SORINOMO,-,SWASTA
8,69975771,MI RIYADUSH SHOLIHIN,DUSUN DOROPETI,Doropeti,SWASTA
9,60722026,MIS ABDUL KADIR JAILANI,DESA NANGA KARA,Doropeti,SWASTA
10,60722023,MIS AL-AZHAR,DESA CALABAI KEC. PEKAT,-,SWASTA
11,60722022,MIS AL-HIJRAH,DUSUN DOROMBOLO DESA NANGA MIRO KEC.PEKAT KAB.DOMPU,-,SWASTA
12,60722019,MIS AL-MUTMAINNAH,Jalan. Logging PT.Veneer Dusun Gunung Batu,Pekat,SWASTA
13,60722014,MIS DARUSSALAM,JLN. DATOK AGGRAT,Kadindi,SWASTA
14,60722021,MIS DARUSSHOLIHIN NW.,DSN. SAMADA DESA DOROPETI,-,SWASTA
15,60722024,MIS IBADURRAHMAN,DUSUN AIK AMPAT DESA PEKAT KEC. PEKAT,-,SWASTA
16,60722016,MIS MIFTAHUL JANAH PEKAT,DUSUN LATONDA IIDESA CALABAI,-,SWASTA
17,60727083,MIS MIS RAODLATUL ABROR NW.,JL. PRAMUKA LATONDA,Pekat,SWASTA
18,60722020,MIS NURUL HIKMAH,JL. DATUK ANGGRAT DESA KADINDI KEC.PEKAT KAB. DOMPU,-,SWASTA
19,60722017,MIS NW KADINDI,DUSUN PUSAKA DESA KADINDI KEC. PEKAT KAB. DOMPU,-,SWASTA
20,60722015,MIS RAODATUL ISLAMIYAH,SUKAMULIA KEC. PEKAT,Kadindi Barat,SWASTA
21,60722018,MIS ZAINUL WATHAN,DSN. PADE ANGEN,Sorinomo,SWASTA
22,69975816,MTS DARUSSHOLIHIN NW SAMADA,DUSUN SAMADA,Doropeti,SWASTA
23,50223140,MTSS ABDUL KADIR JAILANI,DUSUN NANGA KARA DESA NANGA KARA KECAMATAN PEKAT,-,SWASTA
24,50223136,MTSS AL-HIJRAH,JL. LINTAS TAMBORA DOROMBOLO,Nangamiro,SWASTA
25,50223139,MTSS DAERAH BERINGIN JAYA,DESA BERINGIN JAYA,-,SWASTA
26,50223133,MTSS DARUSSALAM,JLN. LINTAS PASAR SENIN KADINDI BARAT KEC. PEKAT KAB. DOMPU,Kadindi,SWASTA
27,50223134,MTSS MIFTAHUL JANNAH PEKAT,LATONDA II DESA CALABAI,-,SWASTA
28,60729708,MTSS MTS AL-MUKMINUN,JL. LINTAS CALABAI DESA KAROMBO,PERSIAPAN KAROMBO,SWASTA
29,60730150,MTSS MTS IBADURRAHMAN,DUSUN AIK AMPAT DESA PEKAT,-,SWASTA
30,50223135,MTSS NW KARANG JULI,Dusun. Pusaka Desa Kadindi,Kadindi,SWASTA
31,50223137,MTSS RAODLATUL ABROR NW,JL. PRAMUK LATONDA I TIMUR DESA PEKAT KEC.PEKAT KAB. DOMPU NTB.,-,SWASTA
32,50223138,MTSS ZAINUL WATHONI NW SORINOMO,JALAN LINTAS KUBURAN UMUM DESA SORINOMO KECAMATAN PEKAT KABUPATEN DOMPU.,-,SWASTA
33,50203756,SD NEGERI 01 PEKAT,Pekat,PEKAT,NEGERI
34,50203765,SD NEGERI 02 PEKAT,Dusun Safahu,Doropeti,NEGERI
35,50203758,SD NEGERI 03 PEKAT,Dusun Nangamiro,NANGAMIRO,NEGERI
36,50203863,SD NEGERI 04 PEKAT,Dusun Calabai Atas,Calabai,NEGERI
37,50203855,SD NEGERI 05 PEKAT,Jl. Pasar Senin,Kadindi Barat,NEGERI
38,50203878,SD NEGERI 06 PEKAT,Kadindi,Kadindi,NEGERI
39,50203876,SD NEGERI 07 PEKAT,Jln. Lintas Tambora,Tambora,NEGERI
40,50203868,SD NEGERI 08 PEKAT,DESA SORI TATANGA,DESA SORI TATANGA,NEGERI
41,50203825,SD NEGERI 09 PEKAT,Dusun Karombo I,PERSIAPAN KAROMBO,NEGERI
42,50203817,SD NEGERI 10 PEKAT,"Jln. Lintas Calabai, Dusun Karang Mente",BERINGIN JAYA,NEGERI
43,50203845,SD NEGERI 11 PEKAT,Calabai,CALABAI,NEGERI
