
1,50222577,MAS HIZBUL WATHAN NW SEMAYA,"JALAN RAYA SIKUR-SAKRA, DESA DARMA SARI",DARMA SARI,SWASTA
2,50222578,MAS NURUSSALAM TETEBATU,JLN. PARIWISATA TETEBATU NO.05 DESA TETEBATU KEC. SIKUR KAB. LOMBOK TIMUR,TETEBATU SELATAN,SWASTA
3,50222576,MAS NW KOTARAJA,JLN. JURUSAN KOTARAJA-PAOKMOTONG,Kotaraja,SWASTA
4,50222575,MAS NW MONTONG BAAN,JLN. PENDIDIKAN NO. 05,Montongbaan,SWASTA
5,50222579,MAS NW SIKUR,JL. Jurusan Sikur-Sakra,Sikur,SWASTA
6,60721908,MIS DARUL FIKRI GELOGOR KEMONG,JL. JURUSAN SIKUR SEMAYA-GELOGOR KEMONG,Semaya,SWASTA
7,60721903,MIS NW AJAN,Jalan Gunung Siu Ajan Desa Loyok,Loyok,SWASTA
8,60721909,MIS NW KEMBANG KUNING,JALAN PARIWISATA JERUK MANIS DESA KEMBANG KUNING,Kembang Kuning,SWASTA
9,60721905,MIS NW KOTARAJA,KEBON DALEM,-,SWASTA
10,60721902,MIS NW LENDANG PENYONGGOK,LENDANG PENYONGGOK,TETEBATU SELATAN,SWASTA
11,60721907,MIS NW LOYOK,Gunung Siu-Kotaraja Loyok Desa Loyok,Loyok,SWASTA
12,60721906,MIS NW PENYENGGIR,PENYENGGIR,SIKUR BARAT,SWASTA
13,60721904,MIS NW SEMAYA,JLN GUNUNG RUBUH DESA DARMASARI KEC SIKUR,DARMA SARI,SWASTA
14,69927831,MISNurussalam Kembang Sri,Jl. Perempungan Dusun Kembang Sri,-,SWASTA
15,69788449,MTsS AL-BAQIYATUSSHOLIHAT NW SIKUR,JL.RAYA SIKUR-MATARAM KM 42 RT 02/01 DESA SIKUR,DESA SIKUR,SWASTA
16,50223033,MTSS Al-Manshuriyah NW Tetebatu,Gr. Mustamin Otak Bangket,TETEBATU SELATAN,SWASTA
17,50223034,MTSS AZZAINIYAH AL MAJIDIYAH NW DASAN REBAN,"Jln. Gunung Siu-Loyok, Dasan Reban",Loyok,SWASTA
18,50223035,MTSS HIZBUL WATHAN NW SEMAYA,BAGI SEMAYA  JLN. JURUSAN SIKUR SAKRA,Semaya,SWASTA
19,50223032,MTSS NURUSSALAM TETEBATU,Jln. Pariwisata Baru No. 5 Dusun Lekong Pituk Desa Tetebatu Selatan Kec. Sikur K,TETEBATU SELATAN,SWASTA
20,50223030,MTSS NW KEMBANG KUNING,JL. PARIWISATA JERUK MANIS,Kembang Kuning,SWASTA
21,50223037,MTSS NW KONDOK BAROKAH MONTONG BAAN,JL. H. M. NUR KM. 38 MATARAM,-,SWASTA
22,50223031,MTSS NW KOTARAJA,Jln. Jurusan Kotaraja - Paokmotong Kecamatan Sikur Kab Lotim,Kotaraja,SWASTA
23,50223029,MTSS NW LOYOK,Jln.Jurusan  Gunung Siu Kotaraja Desa Loyok,Loyok,SWASTA
24,50223038,MTSS NW MONTONG BAAN,JLN. PENDIDIKAN NO. 05 MONTONG BAAN,Montongbaan,SWASTA
25,60727638,MTSS NW SEMAYA,JL. GUNUNG RUBUH DESA DARMASARI KEC. SIKUR KAB LOMBOK TIMUR,DARMA SARI,SWASTA
26,50223028,MTSS NW SIKUR,JL. JURUSAN SIKUR-SAKRA,Sikur,SWASTA
27,50220443,SD Islam NW Kotaraja,Tibu Karang,Kotaraja,SWASTA
28,50219981,SD Islam Yaroja Kembang Kuning,jalan air terjun jeruk manis,Kembang Kuning,SWASTA
29,50219627,SD ISLAM ZIADATUL KHAIR SEMAT,Semat,Sikur selatan,SWASTA
30,50205757,SD NEGERI 1 KEMBANG KUNING,Dasan Benteng,KEMBANG KUNING,NEGERI
31,50205750,SD NEGERI 1 KOTARAJA,Kotaraja Kecamatan Sikur Kabupaten Lombok Timur,Kotaraja,NEGERI
32,50205747,SD NEGERI 1 LOYOK,Loyok,LOYOK,NEGERI
33,50205743,SD NEGERI 1 MONTONG BAAN,Molek Desa Montong Baan Selatan Kecamatan Sikur Kabupaten Lombok Timur - NTB,MONTONGBAAN SELATAN,NEGERI
34,50205741,SD NEGERI 1 SEMAYA,Dusun Semaya Timur,SEMAYA,NEGERI
35,50205737,SD NEGERI 1 SIKUR,Jln.negara Mataram Sikur,SIKUR,NEGERI
36,50219646,SD NEGERI 1 TETEBATU,Jln. Pariwisata Baru Lekong Pituk Tetebatu Selatan,TETEBATU SELATAN,NEGERI
37,50219985,SD NEGERI 2 KEMBANG KUNING,Jln. Pariwisata Jeruk Manis,JERUK MANIS,NEGERI
38,50219339,SD NEGERI 2 KOTARAJA,Otak Desa,KOTARAJA,NEGERI
39,50219340,SD NEGERI 2 LOYOK,Gerami,GELORA,NEGERI
40,50219341,SD NEGERI 2 MONTONG BAAN,Batumora,MONTONG BAAN,NEGERI
41,50205762,SD NEGERI 2 Semaya,Langer,DARMA SARI,NEGERI
42,50205761,SD NEGERI 2 SIKUR,DUSUN TINGGAR,SIKUR SELATAN,NEGERI
43,50205753,SD NEGERI 2 TETEBATU,Tetebatu,TETEBATU,NEGERI
44,50205751,SD NEGERI 3 KOTARAJA,Marang Selatan,KOTARAJA,NEGERI
45,50205748,SD NEGERI 3 LOYOK,Wengkang,LOYOK,NEGERI
46,50219402,SD NEGERI 3 MONTONG BAAN,MONTONG BAAN,MONTONG BAAN,NEGERI
47,50205763,SD NEGERI 3 SEMAYA,Loang Sorok,SEMAYA,NEGERI
48,50219984,SD NEGERI 3 SIKUR,Jl. Sikur Sakra,SIKUR,NEGERI
49,50205754,SD NEGERI 3 TETEBATU,Lingkung Selatan,TETEBATU,NEGERI
50,50219342,SD NEGERI 4 KOTARAJA,Petak,KOTARAJA,NEGERI
51,50219343,SD NEGERI 4 LOYOK,Rungkang,Gelora,NEGERI
52,50205745,SD NEGERI 4 MONTONG BAAN,Lendang Bao,MONTONG BAAN SELATAN,NEGERI
53,50205764,SD NEGERI 4 SEMAYA,Gunung Urip,SEMAYA,NEGERI
54,50205738,SD NEGERI 4 SIKUR,Kebon Pancor,SIKUR,NEGERI
55,50219344,SD NEGERI 4 TETEBATU,Orong Gerisak,Tetebatu,NEGERI
56,50219346,SD NEGERI 5 KOTARAJA,Lingkok Marang Kotaraja,KOTARAJA,NEGERI
57,50219347,SD NEGERI 5 Loyok,Loyok,Loyok,NEGERI
58,50219401,SD NEGERI 5 MONTONG BAAN,Montong Atas,Montongbaan,NEGERI
59,50205742,SD NEGERI 5 SEMAYA,Semaya,SEMAYA,NEGERI
60,50219983,SD NEGERI 5 SIKUR,BAGEK BILANG,SIKUR SELATAN,NEGERI
61,50205755,SD NEGERI 5 TETEBATU,Lingkung Deye,TETEBATU,NEGERI
62,50205752,SD NEGERI 6 KOTARAJA,Kedondong,KOTARAJA,NEGERI
63,50205749,SD NEGERI 6 Loyok,Gerami,GELORA,NEGERI
64,50219348,SD NEGERI 6 MONTONG BAAN,Dasan Buwuh,MONTONG BAAN SELATAN,NEGERI
65,50205765,SD NEGERI 6 SEMAYA,Gunung Sele,SEMAYA,NEGERI
66,50205739,SD NEGERI 6 SIKUR,Montong Tanggak Sikur Selatan,SIKUR,NEGERI
67,50205756,SD NEGERI 6 TETEBATU,Penyonggok,TETEBATU SELATAN,NEGERI
68,50219349,SD NEGERI 7 LOYOK,Mangkling,Loyok,NEGERI
69,50219352,SD NEGERI 7 MONTONG BAAN,Tibu Pace,MONTONG BAAN,NEGERI
70,50205740,SD NEGERI 7 SIKUR,Sikur,SIKUR,NEGERI
71,50219399,SD NEGERI 8 MONTONGBAAN,Mentaum Montongbaan Sikur,Montongbaan,NEGERI
72,50219350,SD NEGERI 9 MONTONG BAAN,Dasan Lendang,MONTONGBAAN SELATAN,NEGERI
73,69985874,SDI AL BANAWA SIKUR,Karang Anyar,Sikur,SWASTA
74,P9962772,SKB LOMBOK TIMUR,Jl. Raya Mataram KM 42 Montong Baan,Montongbaan,NEGERI
75,69889124,SMA ISLAM TERPADU ASH-SHIDDIQ JERUK MANIS,Jl. Pariwisata Air Terjun Jeruk Manis,JERUK MANIS,SWASTA
76,69982228,SMA IT DARUN NIKMAH KOTARAJA,Desa Kotaraja,Kotaraja,SWASTA
77,50202504,SMAN 1 SIKUR,GERAMI,GELORA,NEGERI
78,69982229,SMK ISLAM AL LATHIFIYAH TINGGAR,TINGGAR BAT DESA SIKUR SELATAN LOMBOK TIMUR,SIKUR SELATAN,SWASTA
79,50220292,SMK NEGERI 1 SIKUR,JALAN RAYA MATARAM SIKUR KM 41,SIKUR,NEGERI
80,50220568,SMKN 1 KOTARAJA,JLN. PARIWISATA KOTARAJA - TETEBATU,Kotaraja,NEGERI
81,50219659,SMKS AL BANAWA SIKUR,JLN. RAYA SIKUR - MATARAM KM.02 DESA SIKUR LOMBOK TMUR,SIKUR,SWASTA
82,50222288,SMKS BAJANG NW AJAN,"Jln. Gunung Siu - Kotaraja, Ajan Loyok",Loyok,SWASTA
83,50222287,SMKS NW SEMAYA,JL. GUNUNG RUBUH SEMAYA,DARMA SARI,SWASTA
84,50202401,SMP ISLAM AL LATHIFIYAH TINGGAR,JL. JURUSAN SIKUR-SAKRA KM 2 TINGGAR,SIKUR SELATAN,SWASTA
85,69974851,SMP ISLAM AL PURQAN OTAK BANGKET,JL. JURUSAN LEKONG PITUK,Tetebatu,SWASTA
86,50219897,SMP Islam Darul Muttaqien Kotaraja,Kotaraja,Kotaraja,SWASTA
87,50220597,SMP Islam NW Ajan,Loyok,Loyok,SWASTA
88,69995705,SMP IT SYAIKH ABDURRAHMAN KOTARAJA,Jln. TGH Lalu Abdurrahman Kotaraja,Kotaraja,SWASTA
89,50202511,SMP NEGERI 1 SIKUR,Jln. Raya Mataram - Selong Km. 47,SIKUR,NEGERI
90,50202462,SMP NEGERI 2 SIKUR,Dasan Tinggi,Gelora,NEGERI
91,50202481,SMP NEGERI 3 SIKUR,Jalan Pariwisata Tetebatu,Tetebatu Selatan,NEGERI
92,50202477,SMP NEGERI 4 SIKUR,Jalan Pariwisata Air Terjun Jeruk Manis,Jeruk Manis,NEGERI
93,50219580,SMP NEGERI 5 SIKUR,Sikur,MONTONGBAAN SELATAN,NEGERI
94,50219636,SMP NEGERI 6 SIKUR,"Jln. Perempungan, Lingkung Deye, Desa Tetebatu",Tetebatu,NEGERI
95,50202493,SMP NW SEMAYA,Semaya,SEMAYA,SWASTA
96,69896863,SMP PLUS HANDAYANI KELANJUH,JL. SIKUR SAKRA,DARMA SARI,SWASTA
