
1,69881518,MAS DARUL FALAH,Jl Raya Kokar KM 09 Dulolong,Dulolong,SWASTA
2,60722148,MIN 1 ALOR,"Jl. Raya Kokar KM.12, Ampera",Ampera,NEGERI
3,60722149,MIN 2 ALOR,Jln. Ijtihad Pulau Buaya,Pulau Buaya,NEGERI
4,60722150,MIN 4 ALOR,Jl. Raya Kokar KM.9 Dulolong,Dulolong,NEGERI
5,60722152,MIS AL-ISLAMIYAH BAMPALOLA,Bampalola,Bampalola,SWASTA
6,69854335,MIS Jabal Nur Tulta,Tulta,Alila,SWASTA
7,60722153,MIS SYAHBULLAH WAHING,Wahing,Aimoli,SWASTA
8,60722151,MIS ZAADIL MAAD ALOINDONU,Aloindonu,Alila Selatan,SWASTA
9,50310732,MTs DARUL FALAH,Jl. Raya Kokar KM.9 Dulolong,Dulolong,SWASTA
10,60727643,MTsS AL-HIKMATUL BAHRI TERNATE,Ternate,Pulau Buaya,SWASTA
11,69941522,MTsS AL-ISLAMIYAH BAMPALOLA,Jln. Lahbo no 02 Bampalola,Bampalola,SWASTA
12,69941523,MTsS BABURAHMAN ALOINDONU,"Aloindonu, RT 04 RW 02",Alila Selatan,SWASTA
13,50305808,SD GMIT AIMOLI,SEIENG,Aimoli,SWASTA
14,50305807,SD GMIT KOKAR,Kokar,ADANG,SWASTA
15,50305805,SD GMIT PITUNGBANG,Pitungbang,Otvai,SWASTA
16,50305809,SD GMIT TERNATE,Bogakele,TERNATE SELATAN,SWASTA
17,50305806,SD GMIT TOPBANG,Bota,Alila,SWASTA
18,50305843,SD INPRES ALOR BESAR,Sebanjar,Alor Besar,NEGERI
19,50305844,SD INPRES ALOR KECIL II,Jln. Ataurung 01 Alukae,Lefokisu,NEGERI
20,50305845,SD INPRES AMPERA,Jln.Kalabahi-Kokar KM 12,Ampera,NEGERI
21,50301738,SD INPRES AWAALAH,Awaalah,ALILA SELATAN,NEGERI
22,50301744,SD INPRES BEARUHING,Bearuhing,Alila,NEGERI
23,50305849,SD INPRES HULNANI,Hulnani,Hulnani,NEGERI
24,50301649,SD INPRES KOKAR II,JLN.MELATI NO.1 KOKAR,Adang,NEGERI
25,50305877,SD INPRES TERNATE II,"Biatabang, Rt.01 Rw.01",Ternate Selatan,NEGERI
26,50305878,SD INPRES UMAPURA,Umapura,Ternate,NEGERI
27,50308944,SD NEGERI ALAANG,ALAANG,ALAANG,NEGERI
28,50305779,SD NEGERI ALOR KECIL,Jln. Kalabahi Kokar Km 14,Alor Kecil,NEGERI
29,50301637,SD NEGERI ANLAWENING,"Ihingdon, Rt.03/rw.ii",OA MATE,NEGERI
30,50305778,SD NEGERI DULOLONG,Dulolong,DULOLONG,NEGERI
31,69771087,SD Negeri Dulolong Barat,Folbo,Dulolong Barat,NEGERI
32,50308945,SD NEGERI LADON,Ladon,Dulolong,NEGERI
33,50301685,SD NEGERI SEBANJAR,Alor Besar,Alor Besar,NEGERI
34,69774846,SMA NEGERI ALOR KECIL,"Jln. Kalabahi - Kokar, Km 14",Lefokisu,NEGERI
35,69759213,SMAN AWAALAH,JL. POTMO,Otvai,NEGERI
36,69864625,SMKN Alor Besar,Jalan Raya Kalabahi Kokar KM. 17,Alor Besar,NEGERI
37,69754734,SMKN AMPERA,JL BUDI MULIA NO 2 DESA AMPERA,Ampera,NEGERI
38,50301671,SMKN KOKAR,ADANG,ADANG,NEGERI
39,50308964,SMP KRISTEN KOKAR,Jln. Nanat Sey Eng,Aimoli,SWASTA
40,50305887,SMP MUHAMMADIYAH EKOSARI,RT.12 / RW.06/Dusun III / Desa Alor Kecil,Alor Kecil,SWASTA
41,50308968,SMP Negeri Alor Besar,JALAN RAYA WATANG BALU NO.01 SEBANJAR,Alor Besar,NEGERI
42,50305893,SMP NEGERI AMPERA,Jln. Budi Mulia,Ampera,NEGERI
43,50308965,SMP Negeri Awaalah,Jln. Nuri,Alila Selatan,NEGERI
44,69950373,SMP NEGERI BEARUHING,Bearuhing,Alila,NEGERI
45,50309406,SMP NEGERI KOKAR,Kokar,Adang,NEGERI
46,69962818,SMP NEGERI SATU ATAP ANLAWENING,Ihingdon,Oamate,NEGERI
47,69771361,SMP Negeri Satu Atap Dulolong,Ds.Dulolong,Dulolong,NEGERI
48,50308967,SMP NEGERI SATU ATAP HULNANI,Jl. Sultan Najamudin Oilelang - Hulnani,Hulnani,NEGERI
49,50308966,SMP NEGERI TERNATE,"JLN,Gomang Being,Ternate Umapura",Ternate,NEGERI
50,69888509,SMTK ALOR,Jalan Oikumene No. 1  Seydon,Adang,SWASTA
