
1,50301732,SD GMIT 023 TAKALELANG,LEMBUR BARAT,Lembur Barat,SWASTA
2,50305829,SD GMIT 024 LIKWATANG,JL.SIBONE - LIKWATANG,Likuwatang,SWASTA
3,50305814,SD GMIT ATENGMELANG,Fuimelang,LEMBUR TENGAH,SWASTA
4,50305372,SD GMIT MAINANG,"Mainang, Rt.04/rw.ii",Welai Selatan,SWASTA
5,50305831,SD GMIT No.027 MEBUNG,Mebung,Alim Mebung,SWASTA
6,50305848,SD INPRES FUISAMA,Fuisama,Fuisama,NEGERI
7,50305856,SD INPRES LAKWATI,Lakwati,Lakwati,NEGERI
8,50305861,SD INPRES LEMBUR BARAT III,"Jln. Sibone, KM 15-Mabu",Fungafeng,NEGERI
9,50305841,SD INPRES LIKUTAU,Rt.01  Dusun I Likutau,WELAI SELATAN,NEGERI
10,50301632,SD INPRES PETLENG,Petleng,PETLENG,NEGERI
11,50305882,SD KATHOLIK ST YOHANIS DON BOSKO LETKAMENG,Tominuku,TOMINUKU,SWASTA
12,50308946,SD NEGERI BENLELANG,Jln. Sibone,Nurbenlelang,NEGERI
13,50308947,SD NEGERI DAPITAU,Walhawa,Dapitau,NEGERI
14,50305788,SD NEGERI KAFAKBEKA,Kafakbeka,KAFAKBEKA,NEGERI
15,69982054,SD NEGERI KANAIPEA,Kanaipea,Tominuku,NEGERI
16,50305787,SD NEGERI MANETWATI,Manetwati,MANETWATI,NEGERI
17,69787527,SD NEGERI RUALKAMENG,Jl. Lakmelang- Rualkameng,Dapitau,NEGERI
18,69830597,SDN LUBA,Luba,Lembur Tengah,NEGERI
19,69864673,SDN Mahuting,Desa Welai Selatan,Welai Selatan,NEGERI
20,69898964,SMA KRISTEN 3 KALABAHI MEBUNG,Jl. Sibone Mebung,Alim Mebung,SWASTA
21,69864623,SMA NEGERI LIKWATANG,jl. sibone-Likwatang,Likuwatang,NEGERI
22,69762590,SMAN ATENGMELANG,ATENGMELANG,Lembur Tengah,NEGERI
23,50308996,SMKN 3 KALABAHI,KOTALOHI,Alim Mebung,NEGERI
24,50308970,SMP KRISTEN 04 Mebung,Mebung,Desa Alim Mebung,SWASTA
25,50308971,SMP NEGERI ATENGMELANG,Atengmelang,Lembur Tengah,NEGERI
26,69864712,SMP Negeri Kafakbeka,Desa Kafakbeka,Kafakbeka,NEGERI
27,50301672,SMP NEGERI LIKWATANG,Likwatang,Likuwatang,NEGERI
28,50305895,SMP NEGERI MAINANG,Jln. Hati Mulia Mainang,Welai Selatan,NEGERI
29,69979468,SMP NEGERI TAKALELANG,Takalelang,Lembur Barat,NEGERI
30,69774844,SMPN SATAP MANETWATI,MANETWATI,Manetwati,NEGERI
